gRNA_id,Gene,bm2,bm3,bm4,bm5,LFC_avg_bm,LFC_median_bm,LFC_concordant_mean_bm,LFC_directional_bm,z_score_avg_bm,z_score_median_bm,z_score_concordant_mean_bm,Input_median,d15-1,d15-2,d15-3,LFC_avg_d15,LFC_median_d15,LFC_concordant_mean_d15,LFC_directional_d15,z_score_avg_d15,z_score_median_d15,z_score_concordant_mean_d15,input,LFC_avg_input,LFC_median_input,LFC_concordant_mean_input,LFC_directional_input,z_score_avg_input,z_score_median_input,z_score_concordant_mean_input,spleen2,spleen3,spleen4,spleen5,LFC_avg_spleen,LFC_median_spleen,LFC_concordant_mean_spleen,LFC_directional_spleen,z_score_avg_spleen,z_score_median_spleen,z_score_concordant_mean_spleen,gene_name_m_corrected,gene_name_h,HGVSp_m,HGVSp_h,classification,classification_m,sensor_reads_input,corr_perc_input,target_base_edit_perc_input,byproduct_INDEL_perc_input,byproduct_sub_perc_input,sensor_reads_d15,corr_perc_d15,target_base_edit_perc_d15,byproduct_INDEL_perc_d15,byproduct_sub_perc_d15,sensor_reads_bm,corr_perc_bm,target_base_edit_perc_bm,byproduct_INDEL_perc_bm,byproduct_sub_perc_bm,sensor_reads_spleen,corr_perc_spleen,target_base_edit_perc_spleen,byproduct_INDEL_perc_spleen,byproduct_sub_perc_spleen,p_high_unadjusted_d15_fishers,p_low_unadjusted_d15_fishers,FDR_high_d15_fishers,FDR_low_d15_fishers,p_high_unadjusted_d15_stouffers,p_low_unadjusted_d15_stouffers,FDR_high_d15_stouffers,FDR_low_d15_stouffers,FDR_d15_fishers,FDR_d15_stouffers,p_high_unadjusted_spleen_fishers,p_low_unadjusted_spleen_fishers,FDR_high_spleen_fishers,FDR_low_spleen_fishers,p_high_unadjusted_spleen_stouffers,p_low_unadjusted_spleen_stouffers,FDR_high_spleen_stouffers,FDR_low_spleen_stouffers,FDR_spleen_fishers,FDR_spleen_stouffers,p_high_unadjusted_bm_fishers,p_low_unadjusted_bm_fishers,FDR_high_bm_fishers,FDR_low_bm_fishers,p_high_unadjusted_bm_stouffers,p_low_unadjusted_bm_stouffers,FDR_high_bm_stouffers,FDR_low_bm_stouffers,FDR_bm_fishers,FDR_bm_stouffers
gRNA_4,Abl1,1.4252962138279994,-0.5721873996751706,-1.9810665107879357,-0.09514074559597732,-0.30577461055777105,-0.33366407263557396,-0.8827982186863612,True,0.5533577013259228,0.48963688519952875,0.3138696425531679,1401.127677420841,0.2945800244070593,0.6225083758364841,0.363789962183932,0.42695945414249187,0.363789962183932,0.42695945414249187,True,0.971780121059213,0.8224737171205366,0.9084394176558295,0.0,0.0,0.0,0.0,True,,,,0.03949235204225001,-0.3120699891522353,-1.6407843459896174,-1.3032834179314827,-0.8041613502577714,-0.807676703541859,-1.085379251024445,True,-0.2556795688826686,-0.35172037485215885,-0.26401309792463906,Abl1,ABL1,E1060K,E1048K,targeting guide,Missense,30,6.666666666666667,23.33333333333333,0.0,33.333333333333336,1954,42.88638689866939,72.26202661207779,0.8188331627430911,36.131013306038895,2210,23.0316742081448,44.57013574660633,0.0,37.33031674208145,14381,54.7667060705097,90.77950073013004,0.0,40.85251373339823,0.05241096507406397,0.9909978631863221,0.4816224432789104,0.9999999804138854,0.02395562863537159,0.9760929322555174,0.2181108460978465,1.0,0.4816224432789104,0.2181108460978465,0.8218894897975322,0.33302418965135827,0.9999999972820464,0.8456861212901727,0.7595529662122059,0.2406502900080595,1.0,0.7227409501148743,0.8456861212901727,0.7227409501148743,0.3608298553453891,0.7180549228819417,0.9999992545164936,0.9998484753758466,0.3106991888540695,0.6895561668661925,1.0,0.9716244165223428,0.9998484753758466,0.9716244165223428
gRNA_19,Abl1,0.6858042867524116,0.11041845402067939,0.5826866502849875,-3.02435934497176,-0.4113624884784204,0.3465525521528334,0.4596364636860262,True,0.4460332920243316,1.1461048698152487,1.4083789199770584,604.354878268564,-0.9097078089399016,-0.9899843688213584,-0.7087214330858106,-0.8694712036156901,-0.9097078089399016,-0.8694712036156901,True,-1.164774291296816,-1.16222640312396,-1.0609362004080545,0.0,0.0,0.0,0.0,True,,,,0.49925289002000517,-0.09557469197694914,0.06366365301493838,-1.1261768705306685,-0.16470875486816852,-0.015955519481005376,,False,0.40929742074845465,0.4962340042142584,,Abl1,ABL1,P592L,P573L,targeting guide,Missense,34,0.0,0.0,0.0,38.23529411764706,2335,2.78372591006424,43.683083511777305,1.0706638115631693,91.00642398286938,4229,0.0,20.09931425869,0.0,99.00685741310002,8665,0.1154068090017311,1.5002885170225044,0.0,88.07847663012117,0.9989239485392476,0.008502242551431604,0.9999999621363628,0.19107168797624732,0.9967855798482853,0.003230238777810213,1.0,0.08410090692808112,0.19107168797624732,0.08410090692808112,0.4642199483874375,0.7599084804522935,0.9999999972820464,0.9999999999670912,0.3384671041172951,0.6617486127071327,1.0,0.9916307578421812,0.9999999972820464,0.9916307578421812,0.33975226541225084,0.6141911072253784,0.9999992545164936,0.9806380221285202,0.3270225685508398,0.6732637668391919,1.0,0.9716244165223428,0.9806380221285202,0.9716244165223428
gRNA_21,Abl1,-0.6695288968987508,2.4117446624648617,0.7437788820418242,-0.1042423368997987,0.595438077677034,0.31976827257101276,,False,1.4693920162932854,1.120255719124568,,620.6155476390186,0.1259888843272361,-0.06899351204358986,0.015208421714566033,0.02406793133273742,0.015208421714566033,0.07059865302090107,True,0.30780348983040867,0.2792220201238171,0.3671005741451731,0.0,0.0,0.0,0.0,True,,,,0.6788313712847848,0.27440155294994695,0.13467645918179902,0.9201563511889332,0.502016433651366,0.47661646211736586,0.502016433651366,True,1.102635616526418,1.023791656087898,1.051441296253945,Abl1,ABL1,A737T,A719T,targeting guide,Missense,0,0.0,0.0,0.0,0.0,2057,0.6319883325230918,93.58288770053476,3.840544482255712,90.22848808945064,268,0.0,99.25373134328358,0.0,100.0,717,0.0,99.442119944212,0.0,99.442119944212,0.365799199931135,0.8626428692484287,0.9999999621363628,0.9999999804138854,0.23827900395659102,0.7618702667840764,0.7923722433159653,1.0,0.9999999621363628,0.7923722433159653,0.118529305488609,0.9801038986409603,0.8536707521703752,0.9999999999670912,0.05261955342587274,0.9474613131300129,0.575154597011496,1.0,0.8536707521703752,0.575154597011496,0.079058968768352,0.9513393491472121,0.908521058208417,0.9998484753758466,0.054041266782688904,0.9460966427442153,0.7148303910765526,1.0,0.908521058208417,0.7148303910765526
gRNA_289,Apc,-0.6023105525613193,-0.1554435784459236,-2.541494760104427,1.7406965096636267,-0.3896380953620109,-0.37887706550362144,-1.0997496303705567,True,0.468114971328526,0.4460024293145895,0.13698555578410124,968.864883322922,0.07435448210102771,0.0914749781180498,0.1122175349403981,0.0926823317198252,0.0914749781180498,0.0926823317198252,True,0.42088196342320155,0.39808068410958164,0.4006473420548611,0.0,0.0,0.0,0.0,True,,,,-0.7118919727375292,-0.014115472127792218,-1.763176239629083,0.31964019629043006,-0.5423858720509935,-0.3630037224326607,-0.8297278948314681,True,0.016544941131449626,0.12453617754935045,-0.05215810604815116,Apc,APC,R403*,R405delins*,targeting guide,Nonsense,65,0.0,4.615384615384615,0.0,69.23076923076923,9183,7.306980289665686,58.0202548186867,0.1197865621256669,82.09735380594577,1578,0.6337135614702155,33.90367553865653,1.267427122940431,77.82002534854246,5609,0.4278837582456766,43.66197183098591,0.0,87.52005705116777,0.2756312828640399,0.9178159195952597,0.9910178916207525,0.9999999804138854,0.16358250606589675,0.8365433242033253,0.624994559649946,1.0,0.9910178916207525,0.624994559649946,0.6611923810235567,0.4696435935647294,0.9999999972820464,0.9374134978211149,0.5976636067841122,0.40259197751403086,1.0,0.8519496897897926,0.9374134978211149,0.8519496897897926,0.32181362260458346,0.6170433509759056,0.9999992545164936,0.9806380221285202,0.3385918617268483,0.6617280239820977,1.0,0.9694546924772691,0.9806380221285202,0.9694546924772691
gRNA_295,Apc,3.7576616670785135,-2.557814665888607,-0.8036881894988502,-1.8121740806337192,-0.35400381723566576,-1.3079311350662848,-1.7245589786737254,True,0.5043353019773975,-0.4506152516110303,-0.3724318760796656,94.85390466098538,0.6432645775368176,0.3221040545733946,0.566485035510777,0.5106178892069964,0.566485035510777,0.5106178892069964,True,1.1096515895394095,1.1383666425158792,1.035522868880528,0.0,0.0,0.0,0.0,True,,,,3.344292871000221,-2.1654247954027577,0.635143864704827,-0.1596163337667919,0.41359890163387464,0.23776376546901754,,False,1.0106888096864486,0.7679740852658671,,Apc,APC,S2355L,S2355L,targeting guide,Missense,0,0.0,0.0,0.0,0.0,2410,29.95850622406639,75.97510373443983,0.6639004149377593,52.19917012448133,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.03689137050967266,0.9943413456341837,0.3864371060888211,0.9999999804138854,0.016041288812576156,0.9839972317400175,0.16944453812948093,1.0,0.3864371060888211,0.16944453812948093,0.014947141635832604,0.5735846682388855,0.3239406385558894,0.9876656547620263,0.08439065441991084,0.9178893708890763,0.6631709213558631,1.0,0.3239406385558894,0.6631709213558631,0.11644603766297922,0.40431504750357444,0.9996533960306755,0.8966796476831552,0.3562091664731046,0.6453819225837247,1.0,0.9601460968278328,0.8966796476831552,0.9601460968278328
gRNA_303,Apc,-1.7323334830305792,-2.072387838718365,1.6085287907176151,-2.3267472534634774,-1.1307349461237015,-1.902360660874472,-2.0438228584041407,True,-0.2851701908473975,-1.024291252142132,-0.6327330161647456,406.51673426136585,0.11488560518202899,-0.31607492252875263,-0.623001568542204,-0.2747302952963092,-0.31607492252875263,-0.4695382455354783,True,-0.18462444350185314,-0.23707106500226527,-0.4534079752846976,0.0,0.0,0.0,0.0,True,,,,-2.787859754132793,-1.1356774520087056,-1.0998193765502313,-4.1177961580721645,-2.2852881851909737,-1.9617686030707495,-2.2852881851909737,True,-1.7959270728523251,-1.5877833977349511,-1.25836220401148,Apc,APC,P2448S,P2448S,targeting guide,Missense,3,0.0,0.0,0.0,33.333333333333336,1752,0.1141552511415525,96.46118721461188,0.1712328767123287,98.23059360730592,3277,0.0,94.56820262435154,0.0,99.05401281660056,1176,0.1700680272108843,93.5374149659864,0.0,98.21428571428572,0.7069073882365962,0.3549364842487727,0.9999999621363628,0.9391935994621283,0.6887461319694106,0.3114611984824115,1.0,0.7331586638434293,0.9391935994621283,0.7331586638434293,0.9948341507506392,0.010370318031166354,0.9999999972820464,0.3108658529971648,0.9949437792191853,0.005087197407418789,1.0,0.15762649920030342,0.3108658529971648,0.15762649920030342,0.5867701677108732,0.2940250624274781,0.9999992545164936,0.8881524991232316,0.6935602837447861,0.30674679188726306,1.0,0.7842658602732848,0.8881524991232316,0.7842658602732848
gRNA_304,Apc,-0.020866693146952258,-2.5207014928715075,-2.9365000179240632,-1.0746211894755275,-1.6381723483545125,-1.7976613411735176,-1.6381723483545125,True,-0.8009530678636724,-0.9232473362923797,-0.3019994225895089,416.00212472746443,-0.6188302678333617,-0.3431309829982694,-0.685824762049263,-0.5492620042936314,-0.6188302678333617,-0.5492620042936314,True,-0.6370604690461342,-0.7089042977376941,-0.5745143574418522,0.0,0.0,0.0,0.0,True,,,,1.7070084597142199,-0.5300522990510441,-2.0122411365501445,-1.6806077543338305,-0.6289731825551999,-1.1053300266924373,-1.4076337299783397,True,-0.07349858906059101,-0.6705149756415757,-0.5310612412930046,Apc,APC,T487I,T489I,targeting guide,Missense,29,0.0,3.4482758620689653,0.0,44.82758620689656,1473,40.936863543788185,74.8133061778683,0.4073319755600815,45.89273591310251,4846,1.2174989682212134,5.633512174989682,0.0206355757325629,48.968221213371855,10914,43.16474253252703,67.96774784680227,0.0,42.36760124610592,0.9710008103586785,0.1057333305430804,0.9999999621363628,0.5679777627891114,0.943058622190986,0.05702279558367744,1.0,0.31437567565211644,0.5679777627891114,0.31437567565211644,0.3808609887883956,0.2329210889487511,0.9999999972820464,0.8022419301206318,0.6396572618879153,0.3608520031534331,1.0,0.8159051669101934,0.8022419301206318,0.8159051669101934,0.8812756581148756,0.19773208270837328,0.9999992545164936,0.8608761996274411,0.8602099665501133,0.1399597639037714,1.0,0.692635524515908,0.8608761996274411,0.692635524515908
gRNA_311,Apc,-3.8422511751086144,-3.072387838718365,1.264552671813971,-1.6263075353223848,-1.8190984693338486,-2.3493476870203747,-2.846982183049788,True,-0.9848547566155591,-1.4556724644061692,-1.2875621438811562,474.26952330492685,-0.7526640987943214,-0.6482988797712312,-0.8424589702886393,-0.7478073162847306,-0.7526640987943214,-0.7478073162847306,True,-0.9642687619452924,-0.9174794726801634,-0.876119610431088,0.0,0.0,0.0,0.0,True,,,,-2.064023431910222,-1.48735289029012,0.008095962616656063,0.11179176466848716,-0.8578721487287998,-0.739628463836732,,False,-0.31153428795873594,-0.27883890596211003,,Apc,APC,Q997*,Q999delins*,targeting guide,Nonsense,17,0.0,11.764705882352942,0.0,58.8235294117647,633,3.949447077409163,13.11216429699842,0.0,43.28593996840442,198,3.0303030303030303,9.595959595959595,0.0,41.41414141414141,651,3.840245775729647,10.599078341013826,0.0,43.62519201228879,0.9962343649353148,0.0261926273269832,0.9999999621363628,0.2939654691965882,0.9890455645619053,0.010985754390822217,1.0,0.13024094873375097,0.2939654691965882,0.13024094873375097,0.7750990413740126,0.2584631444014479,0.9999999972820464,0.8022419301206318,0.7734472621656074,0.22679030420072704,1.0,0.7204563140108105,0.8022419301206318,0.7204563140108105,0.7312000686494478,0.07891841929449815,0.9999992545164936,0.6686694617189787,0.8938572826452384,0.10638284019416483,1.0,0.6608640938608062,0.6686694617189787,0.6608640938608062
gRNA_319,Apc,1.4310211138346314,-1.3270344590594398,-3.5729079826696832,-1.9964313730833956,-1.3663381752444719,-1.6617329160714176,-2.298791271604173,True,-0.5246482246226086,-0.7920646276861004,-0.8406129952519302,464.7841328388283,-0.3275890768036659,-1.1542362006467748,-1.1362406237086813,-0.8726886337197074,-1.1362406237086813,-0.8726886337197074,True,-1.1700767071599771,-1.5152695845927109,-1.065823718580938,0.0,0.0,0.0,0.0,True,,,,0.2649685105583838,-0.6508516225729996,-1.5533012247082834,-0.7119889848468604,-0.6627933303924398,-0.68142030370993,-0.9720472773760478,True,-0.10866870215393924,-0.21649642319089343,-0.17009634851180286,Apc,APC,H1843Y,H1845Y,targeting guide,Missense,17,0.0,0.0,0.0,52.94117647058823,1695,66.01769911504425,88.023598820059,0.4129793510324483,28.613569321533923,129688,73.14323607427056,99.91055456171736,0.0,26.796619579298007,5957,76.90112472721168,98.18700688265906,0.0,21.94057411448716,0.9900778178066018,0.0056648477335901355,0.9999999621363628,0.14532068573720003,0.9962467960078396,0.0037840358008477443,1.0,0.08808394447528917,0.14532068573720003,0.08808394447528917,0.7685158962071462,0.4365132774334455,0.9999999972820464,0.9149949824309246,0.6788342205687967,0.3213834809141645,1.0,0.7844253116681646,0.9149949824309246,0.7844253116681646,0.6322414856455167,0.17560784145387168,0.9999992545164936,0.8388590675175357,0.7805849967704244,0.21974211464858634,1.0,0.783958326406944,0.8388590675175357,0.783958326406944
gRNA_324,Apc,1.4241449732037428,-2.6509240702800883,-0.6488700804467461,-0.27754696061375284,-0.5382990345342111,-0.46320852053024947,-1.192447037113529,True,0.3170091076907841,0.3646152677787146,0.06140782153335962,910.5974847454596,-0.0075858588407957525,-0.47453117457793176,-0.32756652961346516,-0.2698945210107309,-0.32756652961346516,-0.2698945210107309,True,-0.17665495062910952,-0.25498031814740774,-0.15013415109236872,0.0,0.0,0.0,0.0,True,,,,0.5176379962571587,0.4633245019817587,-0.8891227043287756,-1.4213253421340184,-0.33237138705596914,-0.21289910117350846,,False,0.2349423657690551,0.28530220664807543,,Apc,APC,S2025F,S2026F,targeting guide,Missense,40,2.5,22.5,0.0,80.0,2225,4.089887640449438,64.98876404494382,0.3595505617977528,85.12359550561797,28584,0.0,99.77609851665268,0.0,99.9790092359362,4978,0.1004419445560466,79.99196464443551,0.0,92.56729610285257,0.7723219255921854,0.40187341952261096,0.9999999621363628,0.9795800391804016,0.6959205195078167,0.3042575535804989,1.0,0.720980220497981,0.9795800391804016,0.720980220497981,0.4925107193270406,0.5921571288731704,0.9999999972820464,0.9999999999670912,0.4447763229103383,0.5554872927308583,1.0,0.9350894171350824,0.9999999972820464,0.9350894171350824,0.40955812398693603,0.5765399307448424,0.9999992545164936,0.9748163332703639,0.40757210978855757,0.592732788432093,1.0,0.9376747839277264,0.9748163332703639,0.9376747839277264
