Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,89186,3,89183,89080,17,86,56142,5,17,33036,0,32950,86,0.0056064496596885055,0.019061928842940917,62.95145935884642,37.04293419149389,0.0,36.94650325734725,0.09643093414664229
gRNA_1004,5,0,5,4,0,1,4,0,0,1,0,0,1,0.0,0.0,80.0,20.0,0.0,0.0,20.0
gRNA_10049,33768,516,33252,33195,30,27,25721,3,30,7528,2,7498,28,0.009022013713460843,0.09022013713460844,77.3517382413088,22.639239744977747,0.006014675808973896,22.54901960784314,0.08420546132563456
gRNA_1006,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,10725,2785,7940,7926,9,5,5679,3,9,2258,22,2231,5,0.03778337531486146,0.11335012594458438,71.52392947103274,28.438287153652393,0.2770780856423174,28.09823677581864,0.06297229219143577
gRNA_10107,24657,95,24562,24532,14,16,22903,6,14,1653,17,1231,405,0.024427978177672827,0.05699861574790326,93.24566403387347,6.729907987948865,0.06921260483673969,5.011806856119208,1.6488885269929157
gRNA_1019,7,0,7,6,0,1,5,0,0,2,0,1,1,0.0,0.0,71.42857142857143,28.57142857142857,0.0,14.285714285714285,14.285714285714285
gRNA_1023,16,0,16,16,0,0,15,0,0,1,0,1,0,0.0,0.0,93.75,6.25,0.0,6.25,0.0
gRNA_10271,40,0,40,40,0,0,40,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,3,0,3,3,0,0,2,0,0,1,0,1,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10278,4,0,4,2,0,2,1,0,0,3,0,1,2,0.0,0.0,25.0,75.0,0.0,25.0,50.0
gRNA_1032,21,0,21,12,8,1,12,0,8,9,0,8,1,0.0,38.095238095238095,57.14285714285714,42.857142857142854,0.0,38.095238095238095,4.761904761904762
gRNA_1034,21,0,21,21,0,0,18,0,0,3,0,3,0,0.0,0.0,85.71428571428571,14.285714285714285,0.0,14.285714285714285,0.0
gRNA_10342,18881,2,18879,18803,73,3,14143,66,73,4670,88,4573,9,0.3495947878595264,0.38667302293553685,74.91392552571641,24.73647968642407,0.466126383812702,24.22268128608507,0.04767201652629906
gRNA_10343,51039,291,50748,50456,83,209,38971,27,83,11750,0,11540,210,0.053204067155355875,0.16355324347757547,76.79317411523607,23.153621817608574,0.0,22.739812406400254,0.41380941120832354
