Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,13172,47,13125,13107,1,17,10304,0,1,2821,31,2741,49,0.0,0.007619047619047618,78.50666666666667,21.493333333333332,0.2361904761904762,20.883809523809525,0.37333333333333335
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,12600,76,12524,12475,11,38,9353,3,11,3168,65,3001,102,0.02395400830405621,0.08783136378153944,74.68061322261258,25.29543276908336,0.5190035132545513,23.961992973490897,0.8144362823379112
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,3288,127,3161,3157,1,3,2885,0,1,276,35,209,32,0.0,0.03163555836760519,91.26858589054096,8.731414109459031,1.1072445428661817,6.6118316988294845,1.012337867763366
gRNA_10107,5334,59,5275,5264,3,8,4885,1,3,389,37,298,54,0.01895734597156398,0.05687203791469195,92.60663507109005,7.374407582938389,0.7014218009478673,5.649289099526066,1.0236966824644549
gRNA_1019,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1023,8,0,8,8,0,0,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10271,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1032,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,4235,79,4156,4153,1,2,3850,1,1,305,21,247,37,0.024061597690086624,0.024061597690086624,92.6371511068335,7.338787295476419,0.505293551491819,5.943214629451395,0.8902791145332051
gRNA_10343,14488,97,14391,14303,24,64,11777,5,24,2609,80,2347,182,0.03474393718296157,0.16677089847821555,81.83586964074769,18.12938642206935,0.5559029949273852,16.308804113682164,1.2646793134598013
gRNA_1036,1289,80,1209,1194,2,13,933,0,2,276,25,167,84,0.0,0.1654259718775848,77.1712158808933,22.8287841191067,2.0678246484698097,13.813068651778329,6.9478908188585615
gRNA_10363,6288,91,6197,6148,11,38,5684,7,11,506,41,398,67,0.11295788284653865,0.17750524447313218,91.72180087138938,8.16524124576408,0.6616104566725834,6.422462481846054,1.0811683072454412
gRNA_10424,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,9,0,9,9,0,0,9,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10429,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10432,3,0,3,2,1,0,2,0,1,1,0,1,0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,8,0,8,8,0,0,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,9119,99,9020,8998,3,19,7969,0,3,1051,47,888,116,0.0,0.03325942350332594,88.34811529933481,11.651884700665189,0.5210643015521065,9.84478935698448,1.2860310421286032
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,3276,27,3249,3236,7,6,2857,1,7,391,22,345,24,0.03077870113881194,0.21545090797168356,87.93474915358573,12.034472145275469,0.6771314250538628,10.61865189289012,0.7386888273314866
gRNA_10548,1897,10,1887,1883,1,3,1738,0,1,149,18,115,16,0.0,0.052994170641229466,92.10386857445681,7.8961314255431905,0.9538950715421303,6.094329623741388,0.8479067302596714
gRNA_1055,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10596,3846,35,3811,3683,10,118,2818,3,10,990,21,826,143,0.07871949619522435,0.26239832065074786,73.94384675938073,25.977433744424033,0.5510364733665705,21.67410128575177,3.752295985305694
gRNA_10598,4065,64,4001,3960,5,36,3030,1,5,970,23,842,105,0.024993751562109475,0.12496875781054737,75.73106723319171,24.243939015246188,0.5748562859285179,21.044738815296178,2.6243439140214946
gRNA_10617,19761,65,19696,19678,4,14,17650,2,4,2044,46,1948,50,0.010154346060113728,0.020308692120227456,89.61210398050366,10.37774167343623,0.23354995938261575,9.890333062550772,0.2538586515028432
gRNA_1062,4,0,4,4,0,0,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,8173,85,8088,7906,44,138,5182,21,44,2885,20,2683,182,0.25964391691394656,0.5440158259149357,64.0702274975272,35.67012858555885,0.2472799208704253,33.17260138476756,2.2502472799208704
gRNA_10657,1954,44,1910,1898,5,7,1001,0,5,909,13,870,26,0.0,0.2617801047120419,52.40837696335079,47.59162303664922,0.6806282722513088,45.54973821989529,1.3612565445026177
gRNA_10664,8225,67,8158,8150,2,6,5823,1,2,2334,48,2223,63,0.012257906349595489,0.024515812699190977,71.37778867369452,28.60995341995587,0.5883795047805834,27.249325815150772,0.7722481000245158
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10752,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10775,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10781,5,0,5,5,0,0,3,0,0,2,0,2,0,0.0,0.0,60.0,40.0,0.0,40.0,0.0
gRNA_10784,3,0,3,2,1,0,2,0,1,1,0,1,0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10909,3560,66,3494,3320,40,134,2642,9,40,843,24,646,173,0.25758443045220375,1.1448196908986834,75.61534058385804,24.127074985689752,0.6868918145392101,18.48883800801374,4.951345163136806
gRNA_10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10969,8823,49,8774,8766,2,6,7601,2,2,1171,34,1028,109,0.022794620469569184,0.022794620469569184,86.63095509459767,13.346250284932756,0.3875085479826761,11.716434921358559,1.2423068155915202
gRNA_10971,3368,63,3305,3296,2,7,2866,2,2,437,32,366,39,0.0605143721633888,0.0605143721633888,86.71709531013616,13.222390317700453,0.9682299546142208,11.074130105900151,1.1800302571860817
gRNA_10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11071,2203,98,2105,2076,0,29,1782,0,0,323,35,191,97,0.0,0.0,84.65558194774346,15.34441805225653,1.66270783847981,9.073634204275534,4.608076009501188
gRNA_11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11100,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11110,4,0,4,4,0,0,3,0,0,1,0,1,0,0.0,0.0,75.0,25.0,0.0,25.0,0.0
gRNA_11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11120,4,0,4,4,0,0,3,0,0,1,0,1,0,0.0,0.0,75.0,25.0,0.0,25.0,0.0
gRNA_11149,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_11151,6,0,6,5,1,0,5,1,1,0,0,0,0,16.666666666666664,16.666666666666664,83.33333333333334,0.0,0.0,0.0,0.0
gRNA_1116,7,0,7,7,0,0,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11160,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,19143,67,19076,19056,0,20,18247,0,0,829,40,742,47,0.0,0.0,95.65422520444538,4.3457747955546235,0.20968756552736423,3.889704340532606,0.24638288949465295
gRNA_1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11284,2556,53,2503,2488,1,14,2003,0,1,500,11,448,41,0.0,0.03995205753096284,80.02397123451857,19.97602876548142,0.43947263284059124,17.898521773871355,1.6380343587694766
