Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,12915,30,12885,12695,179,11,10431,0,179,2454,0,2443,11,0.0,1.3892122623205276,80.9545983701979,19.045401629802097,0.0,18.960031043849437,0.08537058595265813
gRNA_1004,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10049,10016,0,10016,10001,9,6,7273,1,9,2742,0,2736,6,0.009984025559105431,0.08985623003194888,72.6138178913738,27.37619808306709,0.0,27.31629392971246,0.05990415335463259
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,4044,0,4044,3946,97,1,3772,0,97,272,0,271,1,0.0,2.3986152324431256,93.27398615232443,6.726013847675569,0.0,6.701285855588527,0.024727992087042534
gRNA_10107,4826,0,4826,4818,1,7,4469,1,1,356,0,349,7,0.020721094073767096,0.020721094073767096,92.60256941566514,7.376709490261086,0.0,7.2316618317447166,0.14504765851636967
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1032,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,5776,0,5776,4930,846,0,4750,825,846,201,0,201,0,14.283240997229917,14.646814404432133,82.23684210526316,3.479916897506925,0.0,3.479916897506925,0.0
gRNA_10343,12128,0,12128,12093,10,25,9972,2,10,2154,0,2129,25,0.016490765171503958,0.08245382585751979,82.22295514511873,17.760554089709764,0.0,17.554419525065963,0.20613456464379948
gRNA_1036,655,0,655,653,1,1,567,1,1,87,0,86,1,0.15267175572519084,0.15267175572519084,86.56488549618321,13.282442748091603,0.0,13.129770992366412,0.15267175572519084
gRNA_10363,5263,0,5263,3273,1972,18,3156,833,1972,1274,0,1256,18,15.827474824244728,37.46912407372221,59.96579897396922,24.206726201786054,0.0,23.864715941478245,0.34201026030780923
gRNA_10424,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,67,0,67,67,0,0,64,0,0,3,0,3,0,0.0,0.0,95.5223880597015,4.477611940298507,0.0,4.477611940298507,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,2,0,2,1,1,0,0,0,1,2,0,2,0,0.0,50.0,0.0,100.0,0.0,100.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,3424,0,3424,3265,157,2,3034,3,157,387,0,385,2,0.08761682242990654,4.585280373831775,88.60981308411215,11.302570093457945,0.0,11.244158878504672,0.05841121495327103
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,2603,0,2603,2312,286,5,2106,274,286,223,0,218,5,10.526315789473685,10.987322320399539,80.90664617748752,8.567038033038802,0.0,8.374951978486362,0.1920860545524395
gRNA_10548,1813,0,1813,1811,1,1,1732,0,1,81,0,80,1,0.0,0.05515719801434087,95.53226696083838,4.467733039161611,0.0,4.4125758411472695,0.05515719801434087
gRNA_1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10596,5620,0,5620,5487,30,103,4293,10,30,1317,146,1014,157,0.17793594306049823,0.5338078291814946,76.38790035587189,23.434163701067614,2.597864768683274,18.04270462633452,2.793594306049822
gRNA_10598,2352,0,2352,2124,226,2,1789,0,226,563,0,561,2,0.0,9.608843537414966,76.06292517006803,23.937074829931973,0.0,23.852040816326532,0.08503401360544217
gRNA_10617,36016,0,36016,32833,3174,9,29916,2902,3174,3198,0,3189,9,8.05752998667259,8.81274988893825,83.06308307418925,8.879386939138161,0.0,8.854398045313195,0.02498889382496668
gRNA_1062,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,9532,0,9532,9332,60,140,5974,28,60,3530,0,3338,192,0.2937473772555602,0.6294586655476291,62.6731011330256,37.03315148971884,0.0,35.01888375996643,2.014267729752413
gRNA_10657,1460,0,1460,1454,2,4,822,1,2,637,0,633,4,0.0684931506849315,0.136986301369863,56.3013698630137,43.63013698630137,0.0,43.35616438356164,0.273972602739726
gRNA_10664,7359,0,7359,7352,6,1,5361,4,6,1994,0,1993,1,0.05435521130588395,0.08153281695882593,72.84957195271096,27.09607283598315,0.0,27.08248403315668,0.013588802826470988
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,2,0,2,1,1,0,1,0,1,1,0,1,0,0.0,50.0,50.0,50.0,0.0,50.0,0.0
gRNA_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10781,3,0,3,3,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10909,3243,46,3197,1435,1692,70,1145,1539,1692,513,91,351,71,48.13888020018768,52.92461682827651,35.81482639974976,16.04629340006256,2.846418517360025,10.979042852674382,2.220832030028151
gRNA_10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10942,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10961,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10969,6779,0,6779,5748,1031,0,5160,1015,1031,604,0,604,0,14.972709839209323,15.208732851453016,76.11742144859124,8.90986871219944,0.0,8.90986871219944,0.0
gRNA_10971,2473,0,2473,2340,133,0,2123,132,133,218,0,218,0,5.337646583097452,5.37808329963607,85.84714921148402,8.815204205418521,0.0,8.815204205418521,0.0
gRNA_10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11071,23668,0,23668,23665,1,2,22906,1,1,761,0,759,2,0.004225114078080108,0.004225114078080108,96.78046307250295,3.215311813418962,0.0,3.206861585262802,0.008450228156160216
gRNA_11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11101,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11110,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
