Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,75145,0,75145,46468,28648,29,686,4,28648,74455,10,74414,31,0.0053230421185707635,38.123627653203805,0.912901723334886,99.08177523454654,0.013307605296426907,99.0272140528312,0.04125357641892342
gRNA_1004,6,0,6,5,0,1,5,0,0,1,0,0,1,0.0,0.0,83.33333333333334,16.666666666666664,0.0,0.0,16.666666666666664
gRNA_10049,253884,1,253883,24733,228592,558,748,265,228592,252870,0,252312,558,0.1043787886546165,90.0383247401362,0.29462390156095525,99.60099730978443,0.0,99.38121103027773,0.21978627950670193
gRNA_1006,468,0,468,462,3,3,446,2,3,20,0,17,3,0.4273504273504274,0.641025641025641,95.2991452991453,4.273504273504273,0.0,3.632478632478633,0.641025641025641
gRNA_10106,94003,0,94003,1511,92463,29,376,3642,92463,89985,66,89889,30,3.8743444358158783,98.36175441209323,0.39998723444996437,95.72566832973416,0.07021052519600439,95.62354392944906,0.0319138750890929
gRNA_10107,56317,0,56317,23939,30805,1573,2431,11287,30805,42599,0,40223,2376,20.041905641280607,54.699291510556314,4.316636184455848,75.64145817426355,0.0,71.4224834419447,4.218974732318838
gRNA_1019,11,0,11,11,0,0,7,0,0,4,0,4,0,0.0,0.0,63.63636363636363,36.36363636363637,0.0,36.36363636363637,0.0
gRNA_1023,464,0,464,463,0,1,415,0,0,49,0,48,1,0.0,0.0,89.4396551724138,10.560344827586206,0.0,10.344827586206897,0.21551724137931033
gRNA_10271,88,0,88,88,0,0,88,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,10,0,10,10,0,0,9,0,0,1,0,1,0,0.0,0.0,90.0,10.0,0.0,10.0,0.0
gRNA_10278,4,0,4,3,0,1,2,0,0,2,0,1,1,0.0,0.0,50.0,50.0,0.0,25.0,25.0
gRNA_1032,6,0,6,5,1,0,5,0,1,1,0,1,0,0.0,16.666666666666664,83.33333333333334,16.666666666666664,0.0,16.666666666666664,0.0
gRNA_1034,6,0,6,6,0,0,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,53420,0,53420,1014,52391,15,782,47133,52391,5505,81,5405,19,88.23099962560839,98.07375514788468,1.463871209284912,10.305129165106703,0.15162860351928117,10.117933358292774,0.0355672032946462
gRNA_10343,58142,292,57850,21015,36705,130,14918,29111,36705,13821,0,13691,130,50.32152117545377,63.44857389801209,25.787381158167676,23.891097666378567,0.0,23.66637856525497,0.22471910112359553
gRNA_1036,14276,0,14276,271,14004,1,196,10851,14004,3229,0,3228,1,76.00868590641636,98.09470439899131,1.3729335948444943,22.618380498739143,0.0,22.61137573550014,0.007004763239002522
