Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,157595,3,157592,104245,53296,51,1417,259,53296,155916,811,154974,131,0.16434844408345603,33.81897558251688,0.8991573176303366,98.93649423828622,0.5146200314736789,98.33874815980506,0.08312604700746232
gRNA_1004,4,0,4,3,0,1,3,0,0,1,0,0,1,0.0,0.0,75.0,25.0,0.0,0.0,25.0
gRNA_10049,187879,29,187850,42019,145241,590,1071,5269,145241,181510,5,177799,3706,2.8048975246207077,77.317540590897,0.5701357466063348,96.62496672877296,0.002661698163428267,94.6494543518765,1.9728506787330315
gRNA_1006,7,0,7,7,0,0,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,98261,189,98072,10476,87564,32,302,4922,87564,92848,4613,88007,228,5.018761726078799,89.285422954564,0.30793702585855287,94.67330124806264,4.7036870870380945,89.73713190309161,0.23248225793294722
gRNA_10107,58775,327,58448,16629,41769,50,2880,12459,41769,43109,655,41745,709,21.316383794141803,71.4635231316726,4.927456884752258,73.75615932110594,1.1206542567752533,71.42246099096633,1.2130440733643582
gRNA_1019,8,0,8,8,0,0,7,0,0,1,0,1,0,0.0,0.0,87.5,12.5,0.0,12.5,0.0
gRNA_1023,14,0,14,14,0,0,12,0,0,2,0,2,0,0.0,0.0,85.71428571428571,14.285714285714285,0.0,14.285714285714285,0.0
gRNA_10271,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10272,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10278,5,0,5,1,3,1,1,0,3,4,0,3,1,0.0,60.0,20.0,80.0,0.0,60.0,20.0
gRNA_1032,6,0,6,5,1,0,5,0,1,1,0,1,0,0.0,16.666666666666664,83.33333333333334,16.666666666666664,0.0,16.666666666666664,0.0
gRNA_1034,5,0,5,5,0,0,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,87905,469,87436,1062,86046,328,368,74705,86046,12363,36,11994,333,85.4396358479345,98.41026579440963,0.420879271695869,14.13948488036964,0.04117297223111761,13.717461915000687,0.38084999313783796
gRNA_10343,73555,58,73497,24282,49075,140,8371,35628,49075,29498,2,29356,140,48.47544797746847,66.77143284759921,11.389580527096344,40.13497149543519,0.00272119950474169,39.941766330598526,0.1904839653319183
gRNA_1036,34214,0,34214,1113,32822,279,860,16202,32822,17152,5686,10876,590,47.354883965628105,95.93149003331969,2.5135909276904194,50.13152510668147,16.61892792424154,31.78815689483837,1.7244402876015665
gRNA_10363,85377,83,85294,1910,83256,128,399,53845,83256,31050,76,30843,131,63.12870776373485,97.61061739395502,0.46779374868103263,36.403498487584116,0.08910357117733955,36.16080849766689,0.15358641873988793
gRNA_10424,16,0,16,10,5,1,9,0,5,7,0,6,1,0.0,31.25,56.25,43.75,0.0,37.5,6.25
gRNA_10425,1608,0,1608,1605,0,3,1539,0,0,69,0,66,3,0.0,0.0,95.7089552238806,4.291044776119403,0.0,4.104477611940299,0.18656716417910446
gRNA_10429,4,0,4,4,0,0,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10432,6,0,6,5,0,1,5,0,0,1,0,0,1,0.0,0.0,83.33333333333334,16.666666666666664,0.0,0.0,16.666666666666664
gRNA_10438,5,0,5,0,5,0,0,0,5,5,0,5,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10461,43,0,43,43,0,0,39,0,0,4,0,4,0,0.0,0.0,90.69767441860465,9.30232558139535,0.0,9.30232558139535,0.0
gRNA_10465,60,0,60,59,1,0,53,0,1,7,0,7,0,0.0,1.6666666666666667,88.33333333333333,11.666666666666666,0.0,11.666666666666666,0.0
gRNA_10473,8,0,8,8,0,0,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10504,114621,0,114621,692,113832,97,395,31421,113832,82805,6,82698,101,27.41295225133265,99.31164446305651,0.3446139887106202,72.24243375995673,0.0052346428664904335,72.14908262883765,0.08811648825258897
gRNA_1052,3,0,3,3,0,0,1,0,0,2,0,2,0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,66.66666666666666,0.0
