Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,74620,0,74620,43129,31470,21,809,0,31470,73811,69,73713,29,0.0,42.17367997855803,1.084159742696328,98.91584025730367,0.09246850710265345,98.78450817475208,0.038863575448941305
gRNA_1004,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10049,141980,1,141979,36550,104529,900,1943,982,104529,139054,4,138089,961,0.6916515822762521,73.62285971869079,1.3685122447685925,97.93983617295515,0.00281731805407842,97.26015819240874,0.6768606624923404
gRNA_1006,22,0,22,22,0,0,19,0,0,3,0,3,0,0.0,0.0,86.36363636363636,13.636363636363637,0.0,13.636363636363637,0.0
gRNA_10106,89622,0,89622,2756,86832,34,319,1789,86832,87514,104,87370,40,1.9961616567360694,96.8869250853585,0.3559393898819486,97.64789895338198,0.11604293588627793,97.48722411907791,0.0446318984177992
gRNA_10107,34643,1,34642,12038,21914,690,3928,10433,21914,20281,0,19591,690,30.116621442180012,63.25847237457422,11.338837249581433,58.54454130823856,0.0,56.55273944922349,1.9918018590150683
gRNA_1019,5,0,5,5,0,0,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1023,4,0,4,4,0,0,3,0,0,1,0,1,0,0.0,0.0,75.0,25.0,0.0,25.0,0.0
gRNA_10271,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10278,5,0,5,4,1,0,2,0,1,3,0,3,0,0.0,20.0,40.0,60.0,0.0,60.0,0.0
gRNA_1032,3,0,3,1,2,0,0,0,2,3,0,3,0,0.0,66.66666666666667,0.0,100.0,0.0,100.0,0.0
gRNA_1034,46,0,46,46,0,0,44,0,0,2,0,2,0,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,4.3478260869565215,0.0
gRNA_10342,51106,1531,49575,335,48519,721,11,43047,48519,6517,176,5617,724,86.8320726172466,97.86989409984871,0.022188603126575897,13.145738779626829,0.35501765002521435,11.330307614725164,1.4604135148764499
gRNA_10343,52278,968,51310,12686,38513,111,6324,29498,38513,15488,0,15377,111,57.48976807639836,75.05944260378094,12.325082829857728,30.18514909374391,0.0,29.968816994737868,0.2163320990060417
gRNA_1036,20053,0,20053,494,19558,1,307,11072,19558,8674,92,8568,14,55.21368373809405,97.53154141524959,1.530943001047225,43.255373260858725,0.4587842218121977,42.72677404877076,0.0698149902757692
gRNA_10363,40346,0,40346,2270,38065,11,682,27417,38065,12247,0,12236,11,67.95469191493581,94.34640360878402,1.6903782283249889,30.354929856739204,0.0,30.32766569176622,0.02726416497298369
gRNA_10424,165,0,165,158,6,1,154,0,6,11,0,10,1,0.0,3.6363636363636362,93.33333333333333,6.666666666666667,0.0,6.0606060606060606,0.6060606060606061
gRNA_10425,9,0,9,9,0,0,9,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10429,738,0,738,735,0,3,682,0,0,56,0,53,3,0.0,0.0,92.41192411924119,7.588075880758808,0.0,7.181571815718157,0.4065040650406504
gRNA_10432,3,0,3,1,2,0,1,0,2,2,0,2,0,0.0,66.66666666666667,33.333333333333336,66.66666666666667,0.0,66.66666666666667,0.0
gRNA_10438,7,0,7,0,7,0,0,0,7,7,0,7,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10461,7,0,7,7,0,0,5,0,0,2,0,2,0,0.0,0.0,71.42857142857143,28.571428571428573,0.0,28.571428571428573,0.0
gRNA_10465,80,0,80,79,0,1,78,0,0,2,0,1,1,0.0,0.0,97.5,2.5,0.0,1.25,1.25
gRNA_10473,6,0,6,6,0,0,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10504,72849,0,72849,2055,70727,67,1819,23274,70727,47756,0,47575,181,31.94827657208747,97.08712542382187,2.4969457370725747,65.55477769083996,0.0,65.30631854932807,0.24845914151189447
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,23980,264,23716,823,22878,15,751,3197,22878,19768,0,19753,15,13.480350818013155,96.46652049249452,3.166638556248946,83.3530106257379,0.0,83.28976218586608,0.0632484398718165
gRNA_10548,38824,0,38824,371,38427,26,361,25887,38427,12576,0,12550,26,66.67782814753761,98.97743663713167,0.9298372140943746,32.39233463836802,0.0,32.325365753142385,0.06696888522563363
gRNA_1055,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10596,47423,0,47423,2193,45057,173,410,7564,45057,39449,0,39276,173,15.950066423465406,95.0108597094237,0.8645593910127997,83.1853741855218,0.0,82.82057229614323,0.36480188937857155
gRNA_10598,76351,1,76350,3219,73086,45,10,4,73086,76336,435,75699,202,0.005239030779305829,95.72495088408644,0.01309757694826457,99.98166339227242,0.5697445972495089,99.14734774066798,0.2645710543549443
gRNA_10617,86512,5,86507,8971,77498,38,5133,52887,77498,28487,1319,26004,1164,61.13609303293375,89.58581386477395,5.933623868588669,32.93028309847758,1.5247321026044136,30.059995144901567,1.3455558509715977
gRNA_1062,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,22604,0,22604,1188,20635,781,579,19276,20635,2749,0,1701,1048,85.27694213413555,91.28915236241373,2.5614935409662007,12.161564324898247,0.0,7.525216775791895,4.636347549106353
