Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1004,11563,0,11563,10071,689,803,9523,580,689,1460,0,657,803,5.015999308138026,5.958661247081207,82.35751967482487,12.6264810170371,0.0,5.681916457666696,6.944564559370406
gRNA_10049,383,0,383,0,383,0,0,0,383,383,0,383,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1006,3711,0,3711,3595,52,64,3068,25,52,618,0,554,64,0.6736728644570197,1.401239558070601,82.67313392616545,16.653193209377527,0.0,14.928590676367556,1.7246025330099704
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,2569,0,2569,0,2569,0,0,2069,2569,500,0,500,0,80.53717399766445,100.0,0.0,19.46282600233554,0.0,19.46282600233554,0.0
gRNA_1019,12904,0,12904,12899,3,2,12048,3,3,853,0,851,2,0.02324860508369498,0.02324860508369498,93.36639801611904,6.610353378797272,0.0,6.594854308741476,0.015499070055796652
gRNA_1023,11222,1,11221,11205,12,4,8546,2,12,2673,0,2669,4,0.017823723375813207,0.10694234025487924,76.16076998484984,23.821406291774352,0.0,23.785758845022727,0.03564744675162641
gRNA_10271,5143,0,5143,5130,1,12,4894,1,1,248,1,235,12,0.019443904335990667,0.019443904335990667,95.15846782033832,4.822088275325685,0.019443904335990667,4.569317518957806,0.233326852031888
gRNA_10272,1475,7,1468,1463,3,2,154,0,3,1314,550,296,468,0.0,0.20435967302452315,10.490463215258854,89.50953678474114,37.46594005449591,20.16348773841962,31.88010899182561
gRNA_10278,1642,0,1642,1220,172,250,613,40,172,989,0,739,250,2.4360535931790497,10.475030450669914,37.332521315468945,60.23142509135201,0.0,45.006090133982944,15.225334957369064
gRNA_1032,2702,0,2702,2545,67,90,2203,38,67,461,0,371,90,1.4063656550703183,2.4796447076239825,81.53219837157661,17.061435973353074,0.0,13.730569948186528,3.3308660251665434
gRNA_1034,20061,0,20061,20047,12,2,19091,10,12,960,0,958,2,0.04984796371068241,0.0598175564528189,95.16474752006381,4.785404516225513,0.0,4.775434923483376,0.009969592742136484
gRNA_10342,75,0,75,0,75,0,0,73,75,2,0,2,0,97.33333333333334,100.0,0.0,2.666666666666667,0.0,2.666666666666667,0.0
gRNA_10343,1014,0,1014,626,386,2,266,164,386,584,0,582,2,16.173570019723865,38.06706114398422,26.232741617357004,57.59368836291914,0.0,57.396449704142015,0.19723865877712032
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,10889,0,10889,10578,126,185,8478,53,126,2358,0,2173,185,0.48672972724768115,1.1571310496831666,77.8583892001102,21.654881072642116,0.0,19.955918817154927,1.6989622554871888
gRNA_10425,18232,0,18232,17979,93,160,16415,57,93,1760,0,1600,160,0.3126371215445371,0.5100921456779289,90.0340061430452,9.653356735410268,0.0,8.77577885037297,0.8775778850372972
gRNA_10429,9307,0,9307,9260,10,37,7420,7,10,1880,0,1843,37,0.07521220586655206,0.10744600838078866,79.72493821854518,20.199849575588267,0.0,19.80229934457935,0.39755023100891806
gRNA_10432,102922,0,102922,102901,6,15,85643,3,6,17276,0,17261,15,0.0029148287052330893,0.005829657410466179,83.21155826742583,16.78552690386895,0.0,16.770952760342784,0.014574143526165446
gRNA_10438,41,0,41,37,4,0,33,1,4,7,0,7,0,2.4390243902439024,9.75609756097561,80.48780487804879,17.073170731707318,0.0,17.073170731707318,0.0
gRNA_10461,16652,0,16652,16552,38,62,15390,23,38,1239,0,1177,62,0.13812154696132595,0.22820081671871248,92.42133077107854,7.440547681960124,0.0,7.0682200336295935,0.3723276483305309
gRNA_10465,661,0,661,437,153,71,275,90,153,296,0,225,71,13.61573373676248,23.14674735249622,41.6036308623298,44.78063540090771,0.0,34.039334341906205,10.741301059001513
gRNA_10473,9400,0,9400,8700,283,417,8446,247,283,707,0,290,417,2.627659574468085,3.0106382978723407,89.85106382978724,7.5212765957446805,0.0,3.0851063829787235,4.4361702127659575
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,2663,0,2663,2604,25,34,1697,7,25,959,0,925,34,0.26286143447239957,0.938790837401427,63.725122042808856,36.01201652271874,0.0,34.7352609838528,1.2767555388659406
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,10027,0,10027,8558,505,964,8400,487,505,1140,0,176,964,4.856886406701904,5.036401715368505,83.77381071108009,11.369302882218012,0.0,1.7552607958512016,9.61404208636681
gRNA_10596,60,0,60,0,60,0,0,49,60,11,0,11,0,81.66666666666667,100.0,0.0,18.333333333333332,0.0,18.333333333333332,0.0
gRNA_10598,1178,0,1178,0,1176,2,0,0,1176,1178,0,1176,2,0.0,99.830220713073,0.0,100.0,0.0,99.830220713073,0.1697792869269949
gRNA_10617,254,0,254,253,1,0,62,1,1,191,0,191,0,0.39370078740157477,0.39370078740157477,24.409448818897637,75.19685039370079,0.0,75.19685039370079,0.0
gRNA_1062,12144,0,12144,10694,579,871,9463,469,579,2212,0,1341,871,3.8619894598155464,4.767786561264822,77.92325428194994,18.21475625823452,0.0,11.042490118577074,7.172266139657444
gRNA_10634,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,2199,0,2199,0,2199,0,0,978,2199,1221,0,1221,0,44.474761255115965,100.0,0.0,55.52523874488404,0.0,55.52523874488404,0.0
gRNA_10738,2481,0,2481,2480,1,0,2450,1,1,30,0,30,0,0.04030632809351068,0.04030632809351068,98.75050382910116,1.2091898428053205,0.0,1.2091898428053205,0.0
gRNA_10745,1549,0,1549,1256,3,290,1205,1,3,343,0,53,290,0.06455777921239508,0.19367333763718528,77.79212395093609,22.143318269851516,0.0,3.4215622982569402,18.72175597159458
gRNA_10750,5128,0,5128,5126,0,2,4923,0,0,205,0,203,2,0.0,0.0,96.00234009360375,3.997659906396256,0.0,3.9586583463338534,0.0390015600624025
gRNA_10752,18244,0,18244,18238,3,3,18164,3,3,77,0,74,3,0.01644376233282175,0.01644376233282175,99.56149967112475,0.42205656654242496,0.0,0.40561280420960316,0.01644376233282175
gRNA_10775,13757,0,13757,13747,6,4,9472,4,6,4281,0,4277,4,0.02907610670931162,0.043614160063967435,68.85222068764992,31.118703205640763,0.0,31.089627098931455,0.02907610670931162
gRNA_10777,11120,0,11120,10984,45,91,10908,41,45,171,0,80,91,0.36870503597122306,0.40467625899280574,98.09352517985612,1.5377697841726619,0.0,0.7194244604316548,0.8183453237410073
gRNA_10781,25677,0,25677,16649,4765,4263,13946,3500,4765,8231,0,3968,4263,13.630875881138763,18.557463878178915,54.313198582388914,32.05592553647233,0.0,15.453518713245318,16.60240682322701
