Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,434,0,434,217,217,0,10,0,217,424,0,424,0,0.0,50.0,2.3041474654377883,97.6958525345622,0.0,97.6958525345622,0.0
gRNA_1004,17046,0,17046,16332,214,500,15902,166,214,978,0,478,500,0.9738355039305409,1.25542649301889,93.28874809339435,5.737416402675114,0.0,2.8041769330048103,2.933239469670304
gRNA_10049,250,0,250,56,193,1,3,4,193,243,0,240,3,1.6,77.2,1.2,97.2,0.0,96.0,1.2
gRNA_1006,12503,0,12503,12414,22,67,11814,14,22,675,52,553,70,0.1119731264496521,0.17595777013516756,94.48932256258497,5.398704310965368,0.4159001839558506,4.422938494761257,0.5598656322482605
gRNA_10106,722,1,721,469,252,0,443,3,252,275,0,274,1,0.4160887656033287,34.95145631067961,61.44244105409153,38.141470180305134,0.0,38.00277392510402,0.13869625520110956
gRNA_10107,138,0,138,28,104,6,16,73,104,49,0,43,6,52.89855072463768,75.36231884057972,11.594202898550725,35.507246376811594,0.0,31.15942028985507,4.3478260869565215
gRNA_1019,25221,0,25221,24780,1,440,20673,0,1,4548,105,3994,449,0.0,0.003964949843384481,81.96740811228737,18.03259188771262,0.4163197335553705,15.83600967447762,1.780262479679632
gRNA_1023,19470,0,19470,19462,0,8,17232,0,0,2238,0,2230,8,0.0,0.0,88.50539291217258,11.494607087827427,0.0,11.453518233179249,0.04108885464817669
gRNA_10271,7769,2,7767,7765,1,1,7475,1,1,291,68,218,5,0.012874983906270118,0.012874983906270118,96.24050469936913,3.746620316724604,0.8754989056263679,2.806746491566886,0.06437491953135058
gRNA_10272,3965,0,3965,3955,1,9,3140,1,1,824,110,702,12,0.025220680958385876,0.025220680958385876,79.19293820933166,20.781841109709962,2.7742749054224465,17.704918032786885,0.3026481715006305
gRNA_10278,13410,0,13410,12587,181,642,6066,22,181,7322,69,6599,654,0.16405667412378822,1.3497390007457122,45.234899328859065,54.60104399701715,0.5145413870246085,49.209545115585385,4.876957494407159
gRNA_1032,16878,0,16878,16702,31,145,15920,18,31,940,148,632,160,0.10664770707429791,0.18367105107240195,94.32397203460125,5.569380258324446,0.8768811470553383,3.744519492830904,0.9479796184382037
gRNA_1034,24000,0,24000,23976,0,24,22686,0,0,1314,66,1223,25,0.0,0.0,94.525,5.475,0.27499999999999997,5.095833333333333,0.10416666666666667
gRNA_10342,162,1,161,10,151,0,8,141,151,12,0,12,0,87.5776397515528,93.7888198757764,4.968944099378882,7.453416149068323,0.0,7.453416149068323,0.0
gRNA_10343,135,0,135,68,67,0,49,49,67,37,0,37,0,36.2962962962963,49.629629629629626,36.2962962962963,27.40740740740741,0.0,27.40740740740741,0.0
gRNA_1036,76,0,76,0,76,0,0,62,76,14,1,13,0,81.57894736842105,100.0,0.0,18.421052631578945,1.3157894736842104,17.105263157894736,0.0
gRNA_10363,349,0,349,14,335,0,7,302,335,40,0,40,0,86.53295128939828,95.98853868194843,2.005730659025788,11.461318051575931,0.0,11.461318051575931,0.0
gRNA_10424,24157,0,24157,23888,49,220,22723,17,49,1417,1,1196,220,0.07037297677691766,0.2028397565922921,94.06383242952353,5.865794593699549,0.004139586869230451,4.950945895599619,0.9107091112306991
gRNA_10425,29114,47,29067,28984,15,68,27143,8,15,1916,443,1198,275,0.027522620153438607,0.05160491278769738,93.38080985309801,6.591667526748546,1.5240650909966629,4.121512367977431,0.9460900677744521
