Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,14,0,14,9,5,0,2,0,5,12,0,12,0,0.0,35.714285714285715,14.285714285714285,85.71428571428571,0.0,85.71428571428571,0.0
gRNA_1004,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10049,17,0,17,5,12,0,2,1,12,14,0,14,0,5.88235294117647,70.58823529411765,11.76470588235294,82.35294117647058,0.0,82.35294117647058,0.0
gRNA_1006,8,0,8,8,0,0,8,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,11,0,11,4,7,0,4,0,7,7,0,7,0,0.0,63.63636363636363,36.36363636363637,63.63636363636363,0.0,63.63636363636363,0.0
gRNA_10107,67985,0,67985,9,67956,20,1,63753,67956,4231,0,4211,20,93.77509744796646,99.9573435316614,0.001470912701331176,6.223431639332206,0.0,6.194013385305582,0.02941825402662352
gRNA_1019,19,0,19,18,0,1,13,0,0,6,0,5,1,0.0,0.0,68.42105263157895,31.57894736842105,0.0,26.31578947368421,5.263157894736842
gRNA_1023,6,0,6,6,0,0,4,0,0,2,0,2,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10271,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10272,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10278,6,0,6,6,0,0,3,0,0,3,0,3,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_1032,9,0,9,4,5,0,4,0,5,5,0,5,0,0.0,55.55555555555556,44.44444444444444,55.55555555555556,0.0,55.55555555555556,0.0
gRNA_1034,11,0,11,11,0,0,8,0,0,3,0,3,0,0.0,0.0,72.72727272727273,27.27272727272727,0.0,27.27272727272727,0.0
