Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,1462,0,1462,11,1451,0,10,0,1451,1452,0,1452,0,0.0,99.24760601915185,0.6839945280437756,99.31600547195623,0.0,99.31600547195623,0.0
gRNA_1004,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10049,409,0,409,60,348,1,2,0,348,407,0,406,1,0.0,85.08557457212714,0.4889975550122249,99.51100244498777,0.0,99.26650366748166,0.24449877750611246
gRNA_1006,6,0,6,6,0,0,6,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,3,0,3,1,2,0,1,0,2,2,0,2,0,0.0,66.66666666666666,33.33333333333333,66.66666666666666,0.0,66.66666666666666,0.0
gRNA_10107,7,0,7,6,1,0,6,0,1,1,0,1,0,0.0,14.285714285714285,85.71428571428571,14.285714285714285,0.0,14.285714285714285,0.0
gRNA_1019,6631,0,6631,6627,1,3,5467,0,1,1164,0,1161,3,0.0,0.015080681646810435,82.44608656311266,17.55391343688735,0.0,17.50867139194692,0.045242044940431304
gRNA_1023,3253,0,3253,3252,1,0,2844,0,1,409,0,409,0,0.0,0.03074085459575776,87.42699047033507,12.573009529664924,0.0,12.573009529664924,0.0
gRNA_10271,378,0,378,378,0,0,375,0,0,3,0,3,0,0.0,0.0,99.20634920634922,0.7936507936507936,0.0,0.7936507936507936,0.0
gRNA_10272,1084,0,1084,1083,0,1,853,0,0,231,0,230,1,0.0,0.0,78.69003690036901,21.309963099630995,0.0,21.217712177121772,0.09225092250922509
gRNA_10278,5143,0,5143,4883,58,202,2403,11,58,2729,0,2527,202,0.21388294769589733,1.1277464514874587,46.72370211938557,53.062414932918536,0.0,49.13474625704842,3.9276686758701147
gRNA_1032,10021,0,10021,9930,10,81,9576,2,10,443,0,362,81,0.019958088015168147,0.09979044007584073,95.55932541662509,4.420716495359745,0.0,3.6124139307454346,0.8083025646143099
gRNA_1034,278,0,278,278,0,0,271,0,0,7,0,7,0,0.0,0.0,97.48201438848922,2.5179856115107913,0.0,2.5179856115107913,0.0
gRNA_10342,5,0,5,4,1,0,2,1,1,2,0,2,0,20.0,20.0,40.0,40.0,0.0,40.0,0.0
gRNA_10343,11,0,11,6,5,0,5,3,5,3,0,3,0,27.27272727272727,45.45454545454545,45.45454545454545,27.27272727272727,0.0,27.27272727272727,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10424,37,0,37,35,2,0,32,0,2,5,1,4,0,0.0,5.405405405405405,86.48648648648648,13.513513513513514,2.7027027027027026,10.81081081081081,0.0
gRNA_10425,32014,0,32014,31854,10,150,30734,3,10,1277,0,1127,150,0.009370900231148872,0.031236334103829578,96.0017492347098,3.988879865059037,0.0,3.520334853501593,0.4685450115574436
gRNA_10429,72,0,72,72,0,0,66,0,0,6,0,6,0,0.0,0.0,91.66666666666666,8.333333333333332,0.0,8.333333333333332,0.0
gRNA_10432,2,0,2,1,1,0,1,0,1,1,0,1,0,0.0,50.0,50.0,50.0,0.0,50.0,0.0
gRNA_10438,14,0,14,0,14,0,0,0,14,14,0,14,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10461,39442,0,39442,39381,7,54,36985,5,7,2452,0,2398,54,0.012676841945134628,0.017747578723188478,93.77059986816084,6.216723289894022,0.0,6.079813396886568,0.136909893007454
