Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1004,7160,0,7160,6182,429,549,5818,359,429,983,0,434,549,5.0139664804469275,5.9916201117318435,81.25698324022346,13.729050279329607,0.0,6.06145251396648,7.667597765363128
gRNA_10049,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1006,3889,0,3889,3791,46,52,3226,20,46,643,0,591,52,0.5142710208279764,1.1828233479043457,82.95191565955258,16.53381331961944,0.0,15.196708665466701,1.3371046541527385
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,19607,0,19607,19602,5,0,18278,5,5,1324,0,1324,0,0.025501096547151526,0.025501096547151526,93.22180853776713,6.752690365685725,0.0,6.752690365685725,0.0
gRNA_1023,19829,0,19829,19808,14,7,15314,0,14,4515,0,4508,7,0.0,0.0706036613041505,77.23031922941146,22.769680770588533,0.0,22.734378939936455,0.03530183065207525
gRNA_10271,10558,0,10558,10533,2,23,10200,1,2,357,0,332,25,0.009471490812653912,0.018942981625307824,96.6092062890699,3.3813222201174464,0.0,3.1445349498010984,0.2367872703163478
gRNA_10272,1263,9,1254,1252,1,1,352,0,1,902,90,462,350,0.0,0.07974481658692185,28.07017543859649,71.9298245614035,7.177033492822966,36.84210526315789,27.91068580542265
gRNA_10278,3235,0,3235,2413,339,483,1219,72,339,1944,0,1461,483,2.2256568778979906,10.479134466769706,37.68160741885626,60.09273570324575,0.0,45.162287480680064,14.930448222565687
gRNA_1032,17037,0,17037,16136,326,575,14196,207,326,2634,0,2059,575,1.2150026413100898,1.913482420613958,83.32452896636731,15.460468392322593,0.0,12.08546105535012,3.3750073369724714
gRNA_1034,21114,0,21114,21105,7,2,19903,5,7,1206,0,1204,2,0.023680969972530073,0.033153357961542104,94.26446907265321,5.7118499573742545,0.0,5.702377569385241,0.00947238798901203
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,724,0,724,0,724,0,0,658,724,66,0,66,0,90.88397790055248,100.0,0.0,9.116022099447514,0.0,9.116022099447514,0.0
gRNA_10424,27312,0,27312,26630,295,387,21003,137,295,6172,0,5785,387,0.5016110134739309,1.0801113063854717,76.90026362038664,22.598125366139428,0.0,21.181165787932045,1.4169595782073814
gRNA_10425,17715,0,17715,17499,95,121,15962,61,95,1692,0,1571,121,0.34434095399379056,0.5362686988427886,90.10443127293254,9.551227773073666,0.0,8.868190798758114,0.6830369743155518
gRNA_10429,8713,0,8713,8672,8,33,7603,5,8,1105,0,1072,33,0.05738551589578791,0.09181682543326064,87.26041547113509,12.682199012969125,0.0,12.303454608056926,0.3787444049122002
gRNA_10432,17954,0,17954,17950,0,4,14504,0,0,3450,0,3446,4,0.0,0.0,80.78422635624374,19.215773643756265,0.0,19.19349448590843,0.022279157847833353
gRNA_10438,5,0,5,4,1,0,3,0,1,2,0,2,0,0.0,20.0,60.0,40.0,0.0,40.0,0.0
gRNA_10461,29278,0,29278,29137,49,92,27160,33,49,2085,0,1992,93,0.11271261698203429,0.16736115854908123,92.76589931006217,7.121388072955803,0.0,6.803743425097343,0.3176446478584603
gRNA_10465,398,0,398,288,63,47,160,32,63,206,0,159,47,8.040201005025125,15.829145728643216,40.20100502512563,51.75879396984925,0.0,39.949748743718594,11.809045226130653
gRNA_10473,5624,0,5624,5178,160,286,5002,130,160,492,4,202,286,2.3115220483641536,2.844950213371266,88.9402560455192,8.748221906116644,0.07112375533428165,3.591749644381223,5.085348506401138
gRNA_10504,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1052,4361,0,4361,4277,23,61,2646,1,23,1714,289,1356,69,0.022930520522815866,0.5274019720247649,60.67415730337079,39.302912176106396,6.626920431093786,31.09378582893832,1.582205916074295
gRNA_10547,118,0,118,2,114,2,2,102,114,14,0,12,2,86.4406779661017,96.61016949152543,1.694915254237288,11.864406779661017,0.0,10.16949152542373,1.694915254237288
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,12583,0,12583,10867,622,1094,10685,596,622,1302,0,207,1095,4.736549312564571,4.943177302710006,84.9161567193833,10.347293968052133,0.0,1.6450766907732655,8.70221727727887
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,60,0,60,60,0,0,24,0,0,36,0,36,0,0.0,0.0,40.0,60.0,0.0,60.0,0.0
gRNA_10617,468,0,468,0,467,1,0,396,467,72,0,71,1,84.61538461538461,99.78632478632478,0.0,15.384615384615385,0.0,15.17094017094017,0.2136752136752137
gRNA_1062,13250,0,13250,11706,641,903,8972,428,641,3850,0,2947,903,3.2301886792452827,4.837735849056603,67.7132075471698,29.056603773584904,0.0,22.241509433962264,6.815094339622642
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,4621,0,4621,4621,0,0,4574,0,0,47,0,47,0,0.0,0.0,98.98290413330449,1.0170958666955203,0.0,1.0170958666955203,0.0
gRNA_10745,4368,0,4368,4330,20,18,4156,12,20,200,0,182,18,0.27472527472527475,0.4578754578754579,95.14652014652015,4.5787545787545785,0.0,4.166666666666666,0.4120879120879121
gRNA_10750,5745,0,5745,5744,1,0,5572,0,1,173,0,173,0,0.0,0.017406440382941687,96.98868581375109,3.0113141862489123,0.0,3.0113141862489123,0.0
gRNA_10752,15405,0,15405,15391,8,6,15339,8,8,58,0,52,6,0.0519311911716975,0.0519311911716975,99.5715676728335,0.3765011359948069,0.0,0.33755274261603374,0.03894839337877313
gRNA_10775,8511,0,8511,8511,0,0,5905,0,0,2606,2,2604,0,0.0,0.0,69.38080131594407,30.619198684055927,0.02349900129244507,30.595699682763485,0.0
gRNA_10777,14186,0,14186,14005,64,117,13929,63,64,194,0,77,117,0.4440998167207106,0.4511490201607219,98.1883547159171,1.367545467362188,0.0,0.5427886648808684,0.8247568024813197
gRNA_10781,21366,0,21366,14305,3711,3350,12106,2708,3711,6552,0,3202,3350,12.674342413179819,17.368716652625668,56.66011420013105,30.66554338668913,0.0,14.986427033604793,15.679116353084341
gRNA_10784,5982,0,5982,5550,162,270,2976,39,162,2967,0,2697,270,0.6519558676028084,2.708124373119358,49.74924774322969,49.598796389167504,0.0,45.08525576730191,4.513540621865597
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,492,0,492,492,0,0,313,0,0,179,0,179,0,0.0,0.0,63.617886178861795,36.38211382113821,0.0,36.38211382113821,0.0
gRNA_10917,39,0,39,33,3,3,14,2,3,23,0,20,3,5.128205128205128,7.6923076923076925,35.8974358974359,58.97435897435898,0.0,51.28205128205128,7.6923076923076925
gRNA_10925,111,0,111,111,0,0,66,0,0,45,1,44,0,0.0,0.0,59.45945945945946,40.54054054054054,0.9009009009009009,39.63963963963964,0.0
gRNA_10942,9106,0,9106,9059,19,28,8877,17,19,212,0,184,28,0.18669009444322424,0.2086536349659565,97.48517461014715,2.32813529540962,0.0,2.020645728091368,0.30748956731825167
gRNA_10945,232,0,232,225,4,3,118,0,4,114,0,111,3,0.0,1.7241379310344827,50.86206896551724,49.137931034482754,0.0,47.8448275862069,1.293103448275862
gRNA_10946,26,0,26,23,2,1,15,2,2,9,0,8,1,7.6923076923076925,7.6923076923076925,57.692307692307686,34.61538461538461,0.0,30.76923076923077,3.8461538461538463
gRNA_10949,1826,0,1826,815,478,533,462,261,478,1103,0,570,533,14.29353778751369,26.177437020810512,25.301204819277107,60.4052573932092,0.0,31.2157721796276,29.1894852135816
gRNA_10961,2845,0,2845,2843,2,0,2437,2,2,406,1,403,2,0.070298769771529,0.070298769771529,85.65905096660809,14.270650263620388,0.0351493848857645,14.165202108963094,0.070298769771529
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,1042,0,1042,876,56,110,522,23,56,497,3,384,110,2.2072936660268714,5.3742802303262955,50.09596928982726,47.69673704414588,0.28790786948176583,36.85220729366603,10.556621880998081
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,4043,0,4043,4036,3,4,3662,1,3,380,0,375,5,0.02473410833539451,0.07420232500618353,90.5763047242147,9.398961167449913,0.0,9.275290625772941,0.12367054167697256
gRNA_11100,25879,0,25879,25305,230,344,23885,168,230,1826,0,1482,344,0.6491750067622396,0.8887514973530661,92.29491093164341,7.0559140615943425,0.0,5.726650952509757,1.329263109084586
gRNA_11101,568,0,568,474,41,53,451,26,41,91,0,38,53,4.577464788732395,7.21830985915493,79.40140845070422,16.02112676056338,0.0,6.690140845070422,9.330985915492958
gRNA_11110,23149,0,23149,21956,485,708,21661,461,485,1027,1,318,708,1.9914467147608967,2.0951228994772992,93.57207654758305,4.436476737656054,0.004319841029850101,1.3737094474923324,3.058447449133872
gRNA_11118,2309,408,1901,1901,0,0,1006,0,0,895,0,895,0,0.0,0.0,52.91951604418726,47.08048395581273,0.0,47.08048395581273,0.0
gRNA_11120,8592,0,8592,8567,13,12,8058,10,13,524,3,509,12,0.11638733705772812,0.15130353817504655,93.78491620111731,6.098696461824953,0.034916201117318434,5.924115456238361,0.13966480446927373
gRNA_11149,35293,0,35293,35274,12,7,30807,4,12,4482,2,4473,7,0.011333692233587397,0.034001076700762196,87.28926416003173,12.699402147734679,0.0056668461167936985,12.673901340209106,0.019833961408777946
gRNA_11151,15567,0,15567,9682,2164,3721,9106,1965,2164,4496,0,775,3721,12.622856041626518,13.90120125907368,58.49553542750691,28.881608530866576,0.0,4.978480118198754,23.903128412667822
gRNA_1116,15635,0,15635,15588,14,33,14297,9,14,1329,0,1296,33,0.05756315957787016,0.08954269267668692,91.44227694275664,8.500159897665494,0.0,8.289094979213303,0.2110649184521906
gRNA_11160,13677,0,13677,11779,790,1108,735,50,790,12892,13,11551,1328,0.36557724647217954,5.776120494260438,5.373985523141039,94.26043723038678,0.09505008408276669,84.45565548000292,9.70973166630109
gRNA_11163,4015,0,4015,1915,727,1373,1767,665,727,1583,0,210,1373,16.562889165628892,18.107098381070983,44.00996264009962,39.42714819427148,0.0,5.230386052303861,34.196762141967625
gRNA_11165,4935,1,4934,4930,2,2,3004,2,2,1928,0,1926,2,0.040535062829347386,0.040535062829347386,60.88366436967977,39.07580056749088,0.0,39.03526550466153,0.040535062829347386
gRNA_11186,459,0,459,356,47,56,288,31,47,140,0,84,56,6.753812636165578,10.239651416122005,62.745098039215684,30.501089324618736,0.0,18.30065359477124,12.200435729847495
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1128,29721,0,29721,26598,1167,1956,25622,1024,1167,3075,0,1118,1957,3.445375323845093,3.9265166044211166,86.20840483160055,10.346219844554355,0.0,3.7616500117761853,6.58456983277817
gRNA_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,5743,0,5743,0,5743,0,0,0,5743,5743,0,5743,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,806,0,806,782,10,14,689,5,10,112,0,98,14,0.620347394540943,1.240694789081886,85.48387096774194,13.895781637717123,0.0,12.158808933002481,1.7369727047146404
gRNA_11371,14663,142,14521,14486,3,32,12375,1,3,2145,0,2113,32,0.006886578059362302,0.02065973417808691,85.22140348460849,14.771709937332139,0.0,14.551339439432546,0.22037049789959368
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,3,0,3,0,1,2,0,0,1,3,0,1,2,0.0,33.33333333333333,0.0,100.0,0.0,33.33333333333333,66.66666666666666
gRNA_11380,9370,0,9370,3728,1834,3808,1467,660,1834,7243,0,3435,3808,7.043756670224119,19.573105656350055,15.656350053361793,77.29989327641408,0.0,36.659551760939166,40.64034151547492
gRNA_11386,121,0,121,118,2,1,73,0,2,48,1,46,1,0.0,1.6528925619834711,60.33057851239669,39.66942148760331,0.8264462809917356,38.01652892561984,0.8264462809917356
gRNA_11398,797,0,797,290,261,246,175,138,261,484,2,236,246,17.314930991217064,32.747804265997495,21.9573400250941,60.727728983688834,0.2509410288582183,29.611041405269763,30.865746549560853
