Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,4295,0,4295,3673,291,331,3466,248,291,581,0,250,331,5.774155995343422,6.775320139697323,80.69848661233993,13.527357392316647,0.0,5.820721769499418,7.706635622817229
gRNA_10049,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1006,1655,0,1655,1614,16,25,1396,7,16,252,0,227,25,0.4229607250755287,0.9667673716012085,84.35045317220543,15.226586102719033,0.0,13.716012084592146,1.5105740181268883
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1019,10493,0,10493,10489,2,2,9817,2,2,674,0,672,2,0.01906032593157343,0.01906032593157343,93.55760983512818,6.423329838940246,0.0,6.404269513008672,0.01906032593157343
gRNA_1023,7859,1,7858,7851,6,1,5914,2,6,1942,0,1941,1,0.025451768897938407,0.07635530669381523,75.26088063120388,24.713667599898194,0.0,24.700941715449225,0.012725884448969204
gRNA_10271,2501,0,2501,2493,1,7,2389,1,1,111,1,103,7,0.03998400639744103,0.03998400639744103,95.5217912834866,4.4382247101159535,0.03998400639744103,4.118352658936425,0.2798880447820872
gRNA_10272,1417,7,1410,1407,1,2,140,0,1,1270,550,252,468,0.0,0.07092198581560284,9.929078014184396,90.0709219858156,39.00709219858156,17.872340425531913,33.191489361702125
gRNA_10278,939,0,939,706,89,144,359,20,89,560,0,416,144,2.1299254526091587,9.478168264110757,38.2321618743344,59.63791267305644,0.0,44.3024494142705,15.335463258785943
gRNA_1032,774,0,774,731,17,26,633,7,17,134,0,108,26,0.9043927648578811,2.1963824289405687,81.78294573643412,17.31266149870801,0.0,13.953488372093023,3.359173126614987
gRNA_1034,14014,0,14014,14003,9,2,13337,8,9,669,0,667,2,0.057085771371485655,0.06422149279292136,95.16911659768803,4.773797630940488,0.0,4.759526188097617,0.014271442842871414
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,386,0,386,0,386,0,0,164,386,222,0,222,0,42.487046632124354,100.0,0.0,57.512953367875646,0.0,57.512953367875646,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,10140,0,10140,9855,115,170,7895,50,115,2195,0,2025,170,0.4930966469428008,1.1341222879684418,77.85996055226825,21.646942800788956,0.0,19.97041420118343,1.6765285996055226
gRNA_10425,9471,0,9471,9351,38,82,8554,22,38,895,0,813,82,0.23228803716608595,0.4012247914686939,90.31781226903178,9.449899693802132,0.0,8.584098828001267,0.8658008658008658
gRNA_10429,5947,0,5947,5914,7,26,4325,4,7,1618,0,1592,26,0.06726080376660501,0.11770640659155877,72.72574407264167,27.206995123591728,0.0,26.769799899108794,0.4371952244829326
gRNA_10432,8372,0,8372,8368,2,2,6784,0,2,1588,0,1586,2,0.0,0.023889154323936932,81.03201146679407,18.967988533205926,0.0,18.944099378881987,0.023889154323936932
gRNA_10438,38,0,38,36,2,0,32,1,2,5,0,5,0,2.6315789473684212,5.2631578947368425,84.21052631578948,13.157894736842104,0.0,13.157894736842104,0.0
gRNA_10461,11552,0,11552,11490,22,40,10738,17,22,797,0,757,40,0.1471606648199446,0.1904432132963989,92.95360110803324,6.899238227146815,0.0,6.55297783933518,0.3462603878116344
