Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,290,0,290,182,108,0,110,0,108,180,0,180,0,0.0,37.24137931034483,37.93103448275862,62.06896551724138,0.0,62.06896551724138,0.0
gRNA_1004,15502,44,15458,14861,137,460,14078,104,137,1276,414,401,461,0.672790787941519,0.8862724802691162,91.07258377539138,8.254625436667098,2.678224867382585,2.594126018889895,2.9822745503946178
gRNA_10049,142,0,142,37,104,1,16,0,104,126,0,125,1,0.0,73.23943661971832,11.267605633802818,88.73239436619718,0.0,88.02816901408451,0.7042253521126761
gRNA_1006,12541,0,12541,12466,11,64,11660,6,11,875,10,801,64,0.04784307471493501,0.08771230364404753,92.97504186269038,6.97711506259469,0.07973845785822502,6.387050474443824,0.5103261302926402
gRNA_10106,951,0,951,21,930,0,20,1,930,930,1,929,0,0.10515247108307045,97.79179810725552,2.1030494216614093,97.79179810725552,0.10515247108307045,97.68664563617246,0.0
gRNA_10107,52,0,52,30,22,0,7,5,22,40,0,40,0,9.615384615384617,42.30769230769231,13.461538461538462,76.92307692307693,0.0,76.92307692307693,0.0
gRNA_1019,25084,0,25084,24840,0,244,20594,0,0,4490,474,3728,288,0.0,0.0,82.10014351778025,17.899856482219743,1.8896507734013714,14.862063466751716,1.148142242066656
gRNA_1023,22001,0,22001,21995,0,6,19681,0,0,2320,110,2190,20,0.0,0.0,89.45502477160129,10.544975228398709,0.4999772737602836,9.95409299577292,0.0909049588655061
gRNA_10271,6800,10,6790,6790,0,0,6632,0,0,158,2,109,47,0.0,0.0,97.67304860088365,2.3269513991163477,0.029455081001472753,1.605301914580265,0.6921944035346097
gRNA_10272,3322,0,3322,3314,0,8,2651,0,0,671,41,602,28,0.0,0.0,79.80132450331125,20.198675496688743,1.2341962673088502,18.121613485851896,0.8428657435279951
gRNA_10278,15388,0,15388,14536,197,655,7017,31,197,8340,0,7685,655,0.20145567975045492,1.2802183519625683,45.60046789706264,54.198076423186905,0.0,49.94151286716922,4.256563556017676
gRNA_1032,22198,0,22198,22020,46,132,21223,19,46,956,0,817,139,0.0855932966933958,0.20722587620506353,95.60771240652312,4.306694296783494,0.0,3.6805117578160194,0.6261825389674746
gRNA_1034,26046,0,26046,26032,1,13,24951,0,1,1095,86,994,15,0.0,0.003839361130307917,95.79589956231284,4.204100437687169,0.33018505720648084,3.8163249635260694,0.05759041695461876
gRNA_10342,69,1,68,18,49,1,17,40,49,11,0,10,1,58.82352941176471,72.05882352941177,25.0,16.176470588235293,0.0,14.705882352941178,1.4705882352941175
gRNA_10343,158,2,156,128,28,0,101,19,28,36,1,35,0,12.179487179487179,17.94871794871795,64.74358974358975,23.076923076923077,0.641025641025641,22.435897435897438,0.0
