Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,20783,0,20783,3784,16996,3,4,0,16996,20779,2,20774,3,0.0,81.77837655776355,0.019246499542895635,99.98075350045711,0.009623249771447817,99.95669537602848,0.014434874657171727
gRNA_1004,2976,0,2976,2863,33,80,2780,28,33,168,0,88,80,0.9408602150537635,1.1088709677419355,93.41397849462365,5.64516129032258,0.0,2.956989247311828,2.6881720430107525
gRNA_10049,4121,0,4121,519,3588,14,6,2,3588,4113,0,4099,14,0.0485319097306479,87.06624605678233,0.14559572919194372,99.8058723610774,0.0,99.46614899296287,0.3397233681145353
gRNA_1006,25515,0,25515,25386,17,112,24304,8,17,1203,0,1091,112,0.0313541054281795,0.06662747403488144,95.25377229080932,4.714873603762493,0.0,4.275916127767979,0.43895747599451307
gRNA_10106,9147,0,9147,7436,1705,6,7105,0,1705,2042,0,2036,6,0.0,18.639991253963046,77.67574068000437,22.324259319995626,0.0,22.25866404285558,0.06559527714004591
gRNA_10107,572,0,572,4,568,0,2,4,568,566,0,566,0,0.6993006993006993,99.3006993006993,0.34965034965034963,98.95104895104895,0.0,98.95104895104895,0.0
gRNA_1019,26553,0,26553,26536,0,17,21938,0,0,4615,0,4598,17,0.0,0.0,82.61966632772192,17.380333672278088,0.0,17.31631077467706,0.06402289760102436
gRNA_1023,17011,0,17011,17004,1,6,15274,1,1,1736,0,1730,6,0.005878549174063841,0.005878549174063841,89.78896008465111,10.205161366174828,0.0,10.169890071130446,0.03527129504438305
gRNA_10271,11364,0,11364,11363,0,1,11181,0,0,183,0,182,1,0.0,0.0,98.389651531151,1.6103484688489969,0.0,1.6015487504399861,0.008799718409010912
gRNA_10272,1918,0,1918,1465,452,1,1266,340,452,312,1,310,1,17.72679874869656,23.56621480709072,66.00625651720541,16.26694473409802,0.05213764337851929,16.16266944734098,0.05213764337851929
gRNA_10278,9396,0,9396,443,8920,33,167,0,8920,9229,0,9195,34,0.0,94.93401447424435,1.7773520647083867,98.22264793529162,0.0,97.86079182630907,0.3618561089825458
gRNA_1032,19276,0,19276,401,18862,13,374,0,18862,18902,0,17986,916,0.0,97.8522515044615,1.940236563602407,98.05976343639759,0.0,93.30774019506121,4.752023241336377
gRNA_1034,19106,0,19106,19085,2,19,18402,2,2,702,0,683,19,0.010467915837956664,0.010467915837956664,96.31529362503926,3.674238459122789,0.0,3.5747932586622,0.0994452004605883
gRNA_10342,634,0,634,6,627,1,3,613,627,18,0,17,1,96.68769716088327,98.89589905362776,0.47318611987381703,2.8391167192429023,0.0,2.6813880126182967,0.15772870662460567
gRNA_10343,1972,0,1972,986,980,6,27,765,980,1180,0,1174,6,38.793103448275865,49.69574036511156,1.3691683569979716,59.83772819472617,0.0,59.53346855983773,0.3042596348884381
gRNA_1036,1112,0,1112,0,1112,0,0,4,1112,1108,0,1108,0,0.3597122302158274,100.0,0.0,99.64028776978418,0.0,99.64028776978418,0.0
gRNA_10363,2509,0,2509,14,2495,0,13,2395,2495,101,0,101,0,95.4563571143882,99.44200876843364,0.5181347150259068,4.0255081705858915,0.0,4.0255081705858915,0.0
gRNA_10424,28209,0,28209,11248,16930,31,7,2,16930,28200,6486,21626,88,0.007089935836080683,60.016306852422986,0.024814775426282392,99.96809528873763,22.992661916409656,76.66347619554043,0.3119571767875501
gRNA_10425,38732,0,38732,38613,16,103,36956,3,16,1773,0,1668,105,0.007745533409067438,0.041309511515026334,95.41464422183208,4.577610244758856,0.0,4.306516575441496,0.27109366931736034
gRNA_10429,4546,0,4546,4531,2,13,4273,1,2,272,0,259,13,0.02199736031676199,0.04399472063352398,93.99472063352398,5.983282006159261,0.0,5.697316322041355,0.28596568411790585
gRNA_10432,1124,0,1124,1095,29,0,1008,5,29,111,0,111,0,0.4448398576512456,2.580071174377224,89.6797153024911,9.875444839857652,0.0,9.875444839857652,0.0
gRNA_10438,73345,0,73345,6,73315,24,0,171,73315,73174,0,73150,24,0.23314472697525393,99.95909741632013,0.0,99.76685527302475,0.0,99.73413320608086,0.03272206694389529
gRNA_10461,9163,0,9163,8812,329,22,8281,313,329,569,0,547,22,3.415911819273164,3.590527119938885,90.37433155080214,6.209756629924698,0.0,5.9696605915093315,0.24009603841536614
gRNA_10465,6613,0,6613,4320,2257,36,4073,2122,2257,418,0,382,36,32.088310902767276,34.129744442764256,61.590805988205055,6.3208831090276725,0.0,5.776500831695146,0.5443822773325269
gRNA_10473,5286,0,5286,5209,12,65,5127,11,12,148,0,83,65,0.20809685962920924,0.22701475595913734,96.99205448354144,2.7998486568293606,0.0,1.5701853953840332,1.2296632614453273
gRNA_10504,727,0,727,310,417,0,284,5,417,438,0,438,0,0.6877579092159559,57.35900962861072,39.0646492434663,60.24759284731774,0.0,60.24759284731774,0.0
gRNA_1052,9034,0,9034,8970,4,60,7744,3,4,1287,0,1227,60,0.03320788133717069,0.044277175116227585,85.72061102501661,14.246181093646227,0.0,13.582023466902813,0.6641576267434138
gRNA_10547,322,0,322,6,315,1,3,301,315,18,0,17,1,93.47826086956522,97.82608695652173,0.9316770186335404,5.590062111801243,0.0,5.279503105590062,0.3105590062111801
gRNA_10548,4424,0,4424,2,4420,2,2,3950,4420,472,0,470,2,89.28571428571429,99.90958408679927,0.045207956600361664,10.669077757685352,0.0,10.623869801084991,0.045207956600361664
gRNA_1055,16939,0,16939,16365,105,469,15904,87,105,948,0,479,469,0.5136076509829388,0.6198713029104433,93.88984001416848,5.596552334848575,0.0,2.827793848515261,2.7687584863333137
gRNA_10596,14896,0,14896,15,14427,454,8,716,14427,14172,792,12842,538,4.806659505907626,96.8515037593985,0.05370569280343716,95.13963480128893,5.316863587540279,86.21106337271752,3.611707841031149
gRNA_10598,1668,0,1668,13,1654,1,11,0,1654,1657,1,1655,1,0.0,99.16067146282974,0.6594724220623501,99.34052757793765,0.05995203836930455,99.22062350119904,0.05995203836930455
gRNA_10617,1788,0,1788,938,849,1,830,809,849,149,0,148,1,45.246085011185684,47.48322147651007,46.42058165548099,8.333333333333332,0.0,8.277404921700224,0.05592841163310962
gRNA_1062,11912,0,11912,11650,48,214,11312,36,48,564,0,350,214,0.30221625251846873,0.4029550033579583,94.96306245802552,4.734721289456011,0.0,2.9382135661517794,1.796507723304231
gRNA_10634,8976,0,8976,7516,1100,360,37,903,1100,8036,0,74,7962,10.060160427807487,12.254901960784313,0.4122103386809269,89.52762923351159,0.0,0.8244206773618538,88.70320855614973
gRNA_10657,3370,0,3370,2116,1246,8,1066,1203,1246,1101,0,1093,8,35.6973293768546,36.97329376854599,31.632047477744806,32.6706231454006,0.0,32.433234421364986,0.2373887240356083
gRNA_10664,836,0,836,832,4,0,597,3,4,236,0,236,0,0.3588516746411483,0.4784688995215311,71.41148325358851,28.22966507177033,0.0,28.22966507177033,0.0
gRNA_10738,3185,0,3185,3184,0,1,2765,0,0,420,0,419,1,0.0,0.0,86.81318681318682,13.186813186813188,0.0,13.15541601255887,0.03139717425431711
gRNA_10745,15620,10,15610,1211,10432,3967,3,0,10432,15607,1,11101,4505,0.0,66.82895579756565,0.019218449711723255,99.98078155028828,0.0064061499039077515,71.11467008327995,28.85970531710442
gRNA_10750,14977,0,14977,12271,2697,9,9575,1,2697,5401,1702,3623,76,0.006676904587033452,18.007611671229217,63.9313614208453,36.06196167456767,11.364091607130934,24.190425318822196,0.5074447486145423
gRNA_10752,632,0,632,0,632,0,0,0,632,632,0,632,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10775,9475,0,9475,9237,233,5,8337,223,233,915,1,909,5,2.3535620052770447,2.45910290237467,87.98944591029024,9.656992084432718,0.010554089709762533,9.593667546174142,0.05277044854881266
gRNA_10777,10809,0,10809,10753,11,45,10694,11,11,104,0,59,45,0.10176704598020168,0.10176704598020168,98.93607179202516,0.9621611619946341,0.0,0.5458414284392636,0.4163197335553705
gRNA_10781,12930,0,12930,12358,234,338,5472,145,234,7313,0,6975,338,1.1214230471771076,1.8097447795823667,42.32018561484919,56.5583913379737,0.0,53.94431554524361,2.6140757927300853
gRNA_10784,15582,3570,12012,533,11475,4,0,4,11475,12008,527,11468,13,0.0333000333000333,95.52947052947053,0.0,99.96669996669996,4.387279387279388,95.47119547119547,0.10822510822510822
gRNA_10909,2286,0,2286,8,2276,2,0,1,2276,2285,0,2283,2,0.043744531933508315,99.56255468066492,0.0,99.95625546806649,0.0,99.86876640419948,0.08748906386701663
gRNA_10912,53,0,53,53,0,0,44,0,0,9,0,9,0,0.0,0.0,83.01886792452831,16.9811320754717,0.0,16.9811320754717,0.0
gRNA_10917,6320,0,6320,0,6320,0,0,0,6320,6320,0,6320,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
