Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,2663,0,2663,1453,1074,136,1352,1050,1074,261,0,125,136,39.42921517085993,40.3304543747653,50.76980848666917,9.800976342470898,0.0,4.693954187007135,5.1070221554637625
gRNA_10049,240,0,240,234,6,0,153,0,6,87,0,87,0,0.0,2.5,63.75,36.25,0.0,36.25,0.0
gRNA_1006,2313,0,2313,632,1680,1,109,0,1680,2204,0,2203,1,0.0,72.63294422827497,4.712494595763078,95.28750540423692,0.0,95.24427150886295,0.043233895373973194
gRNA_10106,1055,0,1055,197,858,0,115,0,858,940,0,940,0,0.0,81.32701421800948,10.90047393364929,89.0995260663507,0.0,89.0995260663507,0.0
gRNA_10107,3,0,3,0,3,0,0,0,3,3,0,3,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1019,27654,929,26725,4094,22069,562,3845,21283,22069,1597,2,1033,562,79.63704396632367,82.57811038353601,14.387277829747427,5.975678203928905,0.007483629560336763,3.8652946679139384,2.1028999064546303
gRNA_1023,11170,1455,9715,3595,6115,5,663,3,6115,9049,2238,6677,134,0.03088008234688626,62.94390118373649,6.824498198661863,93.14462171899125,23.03654143077715,68.72876994338651,1.3793103448275863
gRNA_10271,13024,1,13023,13004,1,18,125,0,1,12898,180,12696,22,0.0,0.007678722260615833,0.9598402825769792,99.04015971742302,1.38217000691085,97.48905782077863,0.16893188973354833
gRNA_10272,13779,2627,11152,2309,8421,422,1,0,8421,11151,1216,9101,834,0.0,75.51111908177906,0.008967001434720229,99.99103299856527,10.9038737446198,81.60868005738881,7.4784791965566715
gRNA_10278,813,0,813,114,678,21,51,4,678,758,0,737,21,0.4920049200492005,83.39483394833948,6.273062730627307,93.23493234932349,0.0,90.6519065190652,2.5830258302583027
gRNA_1032,876,0,876,95,780,1,68,1,780,807,0,806,1,0.1141552511415525,89.04109589041096,7.762557077625571,92.12328767123287,0.0,92.00913242009132,0.1141552511415525
gRNA_1034,9020,0,9020,1773,7247,0,1247,7201,7247,572,0,572,0,79.83370288248337,80.34368070953437,13.824833702882483,6.341463414634147,0.0,6.341463414634147,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,14,0,14,0,14,0,0,4,14,10,0,10,0,28.571428571428573,100.0,0.0,71.42857142857143,0.0,71.42857142857143,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10424,51864,0,51864,9,51852,3,9,0,51852,51855,0,51852,3,0.0,99.97686256362795,0.017353077279037482,99.98264692272096,0.0,99.97686256362795,0.005784359093012495
gRNA_10425,13373,0,13373,7746,5585,42,7147,805,5585,5421,0,5373,48,6.01959171464892,41.76325431840275,53.4435055709265,40.536902714424585,0.0,40.17797053765049,0.35893217677409706
gRNA_10429,292,0,292,292,0,0,266,0,0,26,0,26,0,0.0,0.0,91.0958904109589,8.904109589041095,0.0,8.904109589041095,0.0
gRNA_10432,1767,0,1767,1767,0,0,1428,0,0,339,0,339,0,0.0,0.0,80.81494057724957,19.185059422750424,0.0,19.185059422750424,0.0
gRNA_10438,15648,1,15647,643,13310,1694,0,23,13310,15624,621,13287,1716,0.1469930338083978,85.0642295647728,0.0,99.8530069661916,3.96881191282674,84.9172365309644,10.96695852240046
gRNA_10461,7189,14,7175,3724,3182,269,3165,1152,3182,2858,325,2228,305,16.05574912891986,44.34843205574913,44.11149825783972,39.832752613240416,4.529616724738676,31.05226480836237,4.2508710801393725
gRNA_10465,57851,112,57739,8,57648,83,2,9090,57648,48647,3,48561,83,15.74325845615615,99.8423942222761,0.003463863246679021,84.25327768059717,0.005195794870018531,84.10433156098998,0.14375032473717939
gRNA_10473,5321,0,5321,402,4894,25,20,1,4894,5300,1,5274,25,0.018793459875963165,91.97519263296373,0.3758691975192633,99.60533734260477,0.018793459875963165,99.11670738582973,0.46983649689907914
gRNA_10504,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1052,4771,469,4302,3858,304,140,904,181,304,3217,0,2627,590,4.207345420734542,7.066480706648071,21.01348210134821,74.77917247791724,0.0,61.06462110646211,13.714551371455137
gRNA_10547,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,3682,1126,2556,2107,291,158,964,256,291,1336,0,1178,158,10.015649452269171,11.384976525821596,37.715179968701094,52.26917057902973,0.0,46.087636932707355,6.181533646322379
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,368,0,368,0,368,0,0,0,368,368,0,368,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10617,977,0,977,0,977,0,0,927,977,50,0,50,0,94.88229273285567,100.0,0.0,5.117707267144319,0.0,5.117707267144319,0.0
gRNA_1062,4815,0,4815,3841,768,206,2829,734,768,1252,0,1043,209,15.244029075804777,15.950155763239875,58.753894080996886,26.00207684319834,0.0,21.66147455867082,4.3406022845275185
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,939,0,939,938,1,0,925,1,1,13,0,13,0,0.10649627263045794,0.10649627263045794,98.5090521831736,1.384451544195953,0.0,1.384451544195953,0.0
gRNA_10745,11599,0,11599,8690,364,2545,232,0,364,11367,3,8818,2546,0.0,3.1382015691007847,2.0001724286576428,97.99982757134235,0.02586429864643504,76.02379515475472,21.950168117941203
gRNA_10750,2382,0,2382,694,1688,0,421,0,1688,1961,1,1960,0,0.0,70.86481947942904,17.67422334172964,82.32577665827036,0.041981528127623846,82.28379513014274,0.0
gRNA_10752,4899,0,4899,3435,1464,0,3422,1326,1464,151,1,150,0,27.066748315982853,29.883649724433557,69.85098999795876,3.0822616860583794,0.020412329046744233,3.061849357011635,0.0
gRNA_10775,5003,0,5003,1273,2457,1273,653,2327,2457,2023,286,425,1312,46.51209274435339,49.11053367979213,13.052168698780731,40.43573855686588,5.716570057965221,8.4949030581651,26.224265440735557
gRNA_10777,16467,0,16467,14188,2164,115,4003,2098,2164,10366,0,10240,126,12.740632780712941,13.141434383919353,24.309224509625313,62.95014270966175,0.0,62.184976012631324,0.7651666970304245
gRNA_10781,15511,0,15511,2627,3375,9509,1754,1627,3375,12130,3,2612,9515,10.48933015279479,21.758751853523307,11.30810392624589,78.20256592095932,0.019341112758687384,16.839662175230483,61.34356263297015
gRNA_10784,4663,0,4663,84,4567,12,44,1,4567,4618,0,4606,12,0.02144542140253056,97.94123954535706,0.9435985417113446,99.03495603688613,0.0,98.77761098005575,0.25734505683036674
gRNA_10909,221,0,221,0,221,0,0,0,221,221,220,0,1,0.0,100.0,0.0,100.0,99.5475113122172,0.0,0.45248868778280543
gRNA_10912,155,0,155,74,81,0,41,0,81,114,0,114,0,0.0,52.25806451612903,26.451612903225808,73.54838709677419,0.0,73.54838709677419,0.0
gRNA_10917,2350,1052,1298,17,1280,1,7,291,1280,1000,0,999,1,22.4191063174114,98.61325115562404,0.539291217257319,77.04160246533128,0.0,76.96456086286595,0.07704160246533127
gRNA_10925,510,21,489,486,1,2,35,0,1,454,386,62,6,0.0,0.20449897750511248,7.157464212678937,92.84253578732107,78.93660531697341,12.678936605316974,1.2269938650306749
gRNA_10942,1823,0,1823,1811,5,7,1776,5,5,42,0,35,7,0.27427317608337903,0.27427317608337903,97.42183214481624,2.303894679100384,0.0,1.9199122325836533,0.3839824465167307
gRNA_10945,630,0,630,386,244,0,0,0,244,630,0,630,0,0.0,38.73015873015873,0.0,100.0,0.0,100.0,0.0
gRNA_10946,3881,289,3592,20,2883,689,1,2150,2883,1441,0,752,689,59.85523385300668,80.26169265033407,0.02783964365256125,40.11692650334076,0.0,20.93541202672606,19.181514476614698
gRNA_10949,4857,1793,3064,639,1048,1377,7,2,1048,3055,1,1677,1377,0.06527415143603134,34.20365535248042,0.22845953002610966,99.70626631853786,0.03263707571801567,54.73237597911227,44.94125326370757
gRNA_10961,4214,0,4214,889,3325,0,776,2678,3325,760,1,759,0,63.55007119126721,78.90365448504983,18.41480778357855,18.035121025154247,0.023730422401518746,18.01139060275273,0.0
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,11482,0,11482,683,10770,29,130,40,10770,11312,7729,956,2627,0.34837136387388956,93.79898972304477,1.1322069325901412,98.51942170353597,67.31405678453231,8.32607559658596,22.879289322417698
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,8172,2,8170,3430,4538,202,230,85,4538,7855,0,5727,2128,1.040391676866585,55.54467564259486,2.8151774785801713,96.14443084455324,0.0,70.09791921664626,26.046511627906977
gRNA_11100,14505,0,14505,5869,8595,41,4040,8549,8595,1916,37,1838,41,58.93829713891761,59.25542916235781,27.852464667356085,13.209238193726302,0.25508445363667703,12.671492588762495,0.2826611513271286
gRNA_11101,8696,4,8692,843,7578,271,0,0,7578,8692,0,8095,597,0.0,87.18361711919006,0.0,100.0,0.0,93.13161527841693,6.868384721583065
gRNA_11110,5738,0,5738,5212,352,174,4831,323,352,584,311,99,174,5.629139072847682,6.1345416521436045,84.19309864064134,10.17776228651098,5.420006971070059,1.7253398396653887,3.0324154757755317
gRNA_11118,701,21,680,572,66,42,113,0,66,567,0,525,42,0.0,9.705882352941176,16.61764705882353,83.38235294117646,0.0,77.20588235294117,6.176470588235294
gRNA_11120,3767,0,3767,2290,1463,14,1707,1374,1463,686,444,201,41,36.47464826121582,38.837271037961244,45.31457393151049,18.210777807273693,11.786567560392886,5.33581099017786,1.0883992567029466
gRNA_11149,13441,0,13441,1357,12084,0,1180,4447,12084,7814,0,7813,1,33.08533591250651,89.90402499814002,8.779108697269548,58.13555539022394,0.0,58.12811546759914,0.007439922624804702
gRNA_11151,6744,0,6744,3665,1976,1103,2670,1782,1976,2292,808,332,1152,26.423487544483987,29.30011862396204,39.59074733096085,33.98576512455516,11.981020166073547,4.9228944246737845,17.081850533807827
gRNA_1116,1530,0,1530,1526,2,2,1376,1,2,153,0,151,2,0.06535947712418301,0.13071895424836602,89.93464052287581,10.0,0.0,9.869281045751634,0.13071895424836602
gRNA_11160,4259,0,4259,4202,30,27,15,3,30,4241,10,3538,693,0.0704390702042733,0.704390702042733,0.3521953510213665,99.57736557877436,0.23479690068091102,83.07114346090631,16.271425217187133
gRNA_11163,2312,500,1812,4,1808,0,0,561,1808,1251,14,1234,3,30.960264900662253,99.77924944812362,0.0,69.03973509933775,0.7726269315673289,68.10154525386314,0.16556291390728478
gRNA_11165,4446,0,4446,4446,0,0,206,0,0,4240,3,4171,66,0.0,0.0,4.633378317588844,95.36662168241115,0.06747638326585695,93.81466486729644,1.484480431848853
gRNA_11186,1943,0,1943,91,1851,1,0,0,1851,1943,46,1871,26,0.0,95.26505404014411,0.0,100.0,2.3674729799279466,96.29439011837366,1.3381369016984046
gRNA_11188,1105,1,1104,0,435,669,0,0,435,1104,2,433,669,0.0,39.40217391304348,0.0,100.0,0.18115942028985507,39.221014492753625,60.59782608695652
gRNA_11223,4,0,4,4,0,0,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1128,2651,371,2280,2040,97,143,1970,85,97,225,0,82,143,3.7280701754385963,4.254385964912281,86.40350877192982,9.868421052631579,0.0,3.5964912280701755,6.271929824561403
gRNA_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,2369,0,2369,3,2366,0,0,0,2366,2369,0,2369,0,0.0,99.87336428872942,0.0,100.0,0.0,100.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,4882,0,4882,173,0,4709,156,0,0,4726,0,16,4710,0.0,0.0,3.195411716509627,96.80458828349038,0.0,0.3277345350266284,96.47685374846374
gRNA_11371,11641,34,11607,9176,2410,21,6,1,2410,11600,204,11352,44,0.008615490652192642,20.763332471784267,0.051692943913155855,99.93969156543466,1.757560093047299,97.80304988369087,0.3790815886964763
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,71,0,71,1,41,29,0,36,41,35,0,6,29,50.70422535211268,57.74647887323944,0.0,49.29577464788732,0.0,8.450704225352112,40.84507042253521
gRNA_11380,500,0,500,77,347,76,27,236,347,237,0,161,76,47.2,69.4,5.4,47.4,0.0,32.2,15.2
gRNA_11386,1934,0,1934,19,1914,1,7,98,1914,1829,915,908,6,5.067218200620475,98.96587383660807,0.3619441571871768,94.57083764219234,47.31127197518097,46.9493278179938,0.31023784901758017
gRNA_11398,9492,0,9492,2,9488,2,1,203,9488,9288,3555,5702,31,2.1386430678466075,99.95785924989465,0.01053518752633797,97.85082174462705,37.45259165613148,60.071639275179095,0.32659081331647705
gRNA_11401,17362,506,16856,15574,1249,33,411,0,1249,16445,2827,9641,3977,0.0,7.409824394874229,2.438300901756051,97.56169909824395,16.771476032273373,57.19625059326056,23.593972472710014
gRNA_11407,26387,2717,23670,4845,18816,9,1186,5794,18816,16690,319,16356,15,24.47824250105619,79.49302915082383,5.01056189269117,70.51119560625264,1.3476975073933248,69.10012674271229,0.06337135614702155
gRNA_1141,2005,0,2005,1640,360,5,1596,357,360,52,0,47,5,17.805486284289277,17.955112219451372,79.60099750623442,2.5935162094763093,0.0,2.344139650872818,0.24937655860349128
gRNA_11411,8199,0,8199,8170,2,27,5769,0,2,2430,174,2212,44,0.0,0.02439321868520551,70.3622392974753,29.637760702524698,2.1222100256128797,26.9788998658373,0.5366508110745213
gRNA_11416,1178,0,1178,66,1046,66,57,334,1046,787,0,721,66,28.35314091680815,88.79456706281833,4.838709677419355,66.8081494057725,0.0,61.20543293718166,5.602716468590832
gRNA_11422,33998,0,33998,4212,29406,380,4062,28576,29406,1360,0,980,380,84.05200305900347,86.49332313665509,11.947761633037237,4.000235307959292,0.0,2.8825225013236073,1.1177128066356845
gRNA_11423,10599,0,10599,6113,3815,671,4997,3563,3815,2039,0,1367,672,33.61637890367016,35.99396169449948,47.145957165770355,19.237663930559485,0.0,12.897443155014624,6.3402207755448625
gRNA_11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11432,36638,0,36638,29126,7372,140,10384,5032,7372,21222,2,21080,140,13.734374147060429,20.12118565423877,28.342158414760632,57.92346743817894,0.005458813253998581,57.53589169714504,0.38211692777990064
gRNA_11467,12468,0,12468,6031,3952,2485,4513,2262,3952,5693,389,2818,2486,18.142444658325314,31.697144690407445,36.19666345845364,45.66089188322105,3.1199871671478987,22.6018607635547,19.939043952518446
gRNA_1147,11311,0,11311,56,8979,2276,13,1200,8979,10098,0,7822,2276,10.609141543630095,79.38290160021218,0.11493236672265936,89.27592608964724,0.0,69.1539209618955,20.122005127751745
gRNA_11474,6203,0,6203,1051,5148,4,1,3682,5148,2520,1,1465,1054,59.35837497984846,82.99210059648557,0.016121231662098983,40.62550378848944,0.016121231662098983,23.617604384975014,16.991778171852328
gRNA_11478,556,2,554,391,92,71,5,0,92,549,64,406,79,0.0,16.60649819494585,0.9025270758122743,99.09747292418773,11.552346570397113,73.28519855595668,14.259927797833935
gRNA_11482,1130,0,1130,337,793,0,29,0,793,1101,0,1101,0,0.0,70.17699115044248,2.566371681415929,97.43362831858407,0.0,97.43362831858407,0.0
gRNA_1149,4,0,4,2,2,0,1,0,2,3,0,3,0,0.0,50.0,25.0,75.0,0.0,75.0,0.0
gRNA_11495,6440,0,6440,63,6346,31,58,5329,6346,1053,0,1022,31,82.74844720496894,98.54037267080746,0.9006211180124224,16.350931677018632,0.0,15.869565217391305,0.4813664596273292
gRNA_11507,2775,0,2775,1495,1278,2,1,0,1278,2774,0,2742,32,0.0,46.054054054054056,0.036036036036036036,99.96396396396396,0.0,98.8108108108108,1.1531531531531531
gRNA_11516,22,0,22,12,10,0,5,0,10,17,0,17,0,0.0,45.45454545454545,22.727272727272727,77.27272727272727,0.0,77.27272727272727,0.0
gRNA_11519,371,0,371,67,304,0,3,16,304,352,0,352,0,4.3126684636118595,81.94070080862534,0.8086253369272237,94.87870619946092,0.0,94.87870619946092,0.0
gRNA_11523,53,0,53,53,0,0,24,0,0,29,0,29,0,0.0,0.0,45.283018867924525,54.716981132075475,0.0,54.716981132075475,0.0
gRNA_11534,2733,0,2733,1242,1491,0,0,0,1491,2733,31,2700,2,0.0,54.555433589462126,0.0,100.0,1.1342846688620563,98.79253567508233,0.07317965605561653
gRNA_11536,8657,4798,3859,1163,1230,1466,0,0,1230,3859,166,2177,1516,0.0,31.873542368489247,0.0,100.0,4.301632547292044,56.413578647317955,39.28478880539
gRNA_1154,1194,0,1194,1194,0,0,1119,0,0,75,0,75,0,0.0,0.0,93.71859296482413,6.28140703517588,0.0,6.28140703517588,0.0
gRNA_11541,6045,152,5893,633,5251,9,0,0,5251,5893,0,5130,763,0.0,89.10571864924486,0.0,100.0,0.0,87.05243509248261,12.947564907517393
gRNA_1157,5874,0,5874,5774,91,9,2002,1,91,3871,0,3862,9,0.017024174327545116,1.5491998638066053,34.08239700374532,65.90057882192714,0.0,65.74736125297923,0.15321756894790603
gRNA_11607,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11608,7,0,7,3,4,0,2,3,4,2,0,2,0,42.857142857142854,57.142857142857146,28.571428571428573,28.571428571428573,0.0,28.571428571428573,0.0
gRNA_11670,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11817,17537,1,17536,15159,2249,128,2198,13,2249,15325,0,15195,130,0.07413321167883212,12.825045620437956,12.534215328467154,87.39165145985402,0.0,86.65031934306569,0.7413321167883211
gRNA_11821,12287,0,12287,5944,6197,146,0,86,6197,12201,0,12055,146,0.6999267518515504,50.43541954911695,0.0,99.30007324814845,0.0,98.11182550663302,1.188247741515423
gRNA_11827,4544,0,4544,341,4190,13,7,1,4190,4536,1,4522,13,0.022007042253521125,92.20950704225352,0.15404929577464788,99.82394366197182,0.022007042253521125,99.51584507042253,0.2860915492957746
gRNA_11829,11783,0,11783,2319,9446,18,1148,1890,9446,8745,1315,7360,70,16.040057710260545,80.16634133921751,9.742849868454552,74.2170924212849,11.160145973011966,62.462870236781804,0.5940762114911313
gRNA_11835,19724,0,19724,319,19404,1,102,760,19404,18862,0,18861,1,3.8531737984181706,98.37761103224499,0.5171364834719124,95.62968971810992,0.0,95.62461975258569,0.0050699655242344354
gRNA_11839,24115,5,24110,10416,13373,321,2804,9656,13373,11650,4733,5583,1334,40.04977187888843,55.466611364579016,11.630029033596019,48.320199087515554,19.630858564910824,23.156366652841143,5.532973869763584
