Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,583,0,583,514,23,46,483,21,23,79,2,30,47,3.6020583190394513,3.9451114922813035,82.84734133790738,13.550600343053173,0.34305317324185247,5.145797598627787,8.061749571183533
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,443,9,434,428,1,5,371,1,1,62,2,55,5,0.2304147465437788,0.2304147465437788,85.48387096774194,14.285714285714286,0.4608294930875576,12.672811059907835,1.152073732718894
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,978,3,975,974,0,1,905,0,0,70,4,65,1,0.0,0.0,92.82051282051282,7.17948717948718,0.41025641025641024,6.666666666666667,0.10256410256410256
gRNA_1023,728,12,716,714,0,2,548,0,0,168,1,163,4,0.0,0.0,76.53631284916202,23.463687150837988,0.13966480446927373,22.76536312849162,0.5586592178770949
gRNA_10271,496,1,495,495,0,0,461,0,0,34,2,18,14,0.0,0.0,93.13131313131314,6.8686868686868685,0.40404040404040403,3.6363636363636362,2.8282828282828283
gRNA_10272,91,19,72,71,0,1,30,0,0,42,5,33,4,0.0,0.0,41.666666666666664,58.333333333333336,6.944444444444445,45.833333333333336,5.555555555555555
gRNA_10278,378,2,376,299,28,49,164,6,28,206,0,153,53,1.5957446808510638,7.446808510638298,43.61702127659574,54.787234042553195,0.0,40.691489361702125,14.095744680851064
gRNA_1032,654,9,645,617,6,22,556,5,6,84,0,62,22,0.7751937984496124,0.9302325581395349,86.2015503875969,13.023255813953488,0.0,9.612403100775193,3.4108527131782944
gRNA_1034,1004,9,995,990,1,4,946,1,1,48,7,36,5,0.10050251256281408,0.10050251256281408,95.07537688442211,4.824120603015075,0.7035175879396985,3.6180904522613067,0.5025125628140703
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,919,9,910,879,17,14,732,5,17,173,5,144,24,0.5494505494505495,1.8681318681318682,80.43956043956044,19.01098901098901,0.5494505494505495,15.824175824175825,2.6373626373626373
gRNA_10425,721,8,713,707,3,3,653,3,3,57,3,46,8,0.42075736325385693,0.42075736325385693,91.58485273492286,7.994389901823282,0.42075736325385693,6.451612903225806,1.1220196353436185
gRNA_10429,690,20,670,670,0,0,627,0,0,43,0,35,8,0.0,0.0,93.58208955223881,6.417910447761194,0.0,5.223880597014926,1.1940298507462686
gRNA_10432,1482,2,1480,1472,0,8,1221,0,0,259,5,237,17,0.0,0.0,82.5,17.5,0.33783783783783783,16.013513513513512,1.1486486486486487
gRNA_10438,47,17,30,29,0,1,3,0,0,27,1,2,24,0.0,0.0,10.0,90.0,3.3333333333333335,6.666666666666667,80.0
gRNA_10461,1021,1,1020,1008,6,6,953,0,6,67,1,51,15,0.0,0.5882352941176471,93.43137254901961,6.568627450980392,0.09803921568627451,5.0,1.4705882352941178
gRNA_10465,63,21,42,33,3,6,17,0,3,25,4,13,8,0.0,7.142857142857143,40.476190476190474,59.523809523809526,9.523809523809524,30.952380952380953,19.047619047619047
gRNA_10473,419,3,416,385,7,24,356,6,7,54,1,15,38,1.4423076923076923,1.6826923076923077,85.57692307692308,12.98076923076923,0.2403846153846154,3.605769230769231,9.134615384615385
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,318,3,315,297,13,5,207,0,13,108,1,101,6,0.0,4.126984126984127,65.71428571428571,34.285714285714285,0.31746031746031744,32.06349206349206,1.9047619047619047
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,934,10,924,826,30,68,796,27,30,101,3,24,74,2.9220779220779223,3.2467532467532467,86.14718614718615,10.930735930735931,0.3246753246753247,2.5974025974025974,8.008658008658008
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1062,537,25,512,465,17,30,444,13,17,55,0,19,36,2.5390625,3.3203125,86.71875,10.7421875,0.0,3.7109375,7.03125
