Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,364,0,364,364,0,0,162,0,0,202,0,202,0,0.0,0.0,44.505494505494504,55.494505494505496,0.0,55.494505494505496,0.0
gRNA_1004,2,0,2,1,0,1,1,0,0,1,0,0,1,0.0,0.0,50.0,50.0,0.0,0.0,50.0
gRNA_10049,256,1,255,243,4,8,50,0,4,205,0,197,8,0.0,1.5686274509803921,19.607843137254903,80.3921568627451,0.0,77.25490196078431,3.1372549019607843
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,74,7,67,65,1,1,25,0,1,42,0,41,1,0.0,1.492537313432836,37.3134328358209,62.6865671641791,0.0,61.19402985074627,1.492537313432836
gRNA_10107,156,0,156,154,0,2,51,0,0,105,1,102,2,0.0,0.0,32.69230769230769,67.3076923076923,0.6410256410256411,65.38461538461539,1.2820512820512822
gRNA_1019,26,0,26,26,0,0,18,0,0,8,0,8,0,0.0,0.0,69.23076923076923,30.76923076923077,0.0,30.76923076923077,0.0
gRNA_1023,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10271,5,0,5,5,0,0,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,5,0,5,2,2,1,0,0,2,5,0,4,1,0.0,40.0,0.0,100.0,0.0,80.0,20.0
gRNA_1032,17,0,17,11,1,5,5,0,1,12,0,7,5,0.0,5.882352941176471,29.41176470588235,70.58823529411765,0.0,41.1764705882353,29.41176470588235
gRNA_1034,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,157,0,157,157,0,0,58,0,0,99,0,99,0,0.0,0.0,36.94267515923567,63.05732484076433,0.0,63.05732484076433,0.0
gRNA_10343,602,1,601,570,11,20,110,0,11,491,0,465,26,0.0,1.8302828618968385,18.302828618968388,81.69717138103161,0.0,77.37104825291182,4.3261231281198
gRNA_1036,3,0,3,3,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10363,306,3,303,295,1,7,129,1,1,173,0,166,7,0.33003300330033003,0.33003300330033003,42.57425742574257,57.0957095709571,0.0,54.78547854785479,2.31023102310231
gRNA_10424,4,0,4,4,0,0,2,0,0,2,0,2,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10425,3,0,3,2,1,0,1,0,1,2,0,2,0,0.0,33.333333333333336,33.333333333333336,66.66666666666667,0.0,66.66666666666667,0.0
gRNA_10429,6,0,6,5,0,1,5,0,0,1,0,0,1,0.0,0.0,83.33333333333333,16.666666666666668,0.0,0.0,16.666666666666668
gRNA_10432,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,5,0,5,5,0,0,3,0,0,2,0,2,0,0.0,0.0,60.0,40.0,0.0,40.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,5,0,5,5,0,0,4,0,0,1,0,1,0,0.0,0.0,80.0,20.0,0.0,20.0,0.0
gRNA_10504,219,0,219,219,0,0,104,0,0,115,1,114,0,0.0,0.0,47.48858447488585,52.51141552511415,0.45662100456621,52.054794520547944,0.0
gRNA_1052,5,3,2,0,0,2,0,0,0,2,0,0,2,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10547,22,0,22,22,0,0,13,0,0,9,0,9,0,0.0,0.0,59.09090909090909,40.90909090909091,0.0,40.90909090909091,0.0
gRNA_10548,3,0,3,2,1,0,1,0,1,2,0,2,0,0.0,33.333333333333336,33.333333333333336,66.66666666666667,0.0,66.66666666666667,0.0
gRNA_1055,5,0,5,2,0,3,1,0,0,4,0,1,3,0.0,0.0,20.0,80.0,0.0,20.0,60.0
