Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,856,1,855,854,1,0,446,0,1,409,0,409,0,0.0,0.11695906432748537,52.16374269005848,47.83625730994152,0.0,47.83625730994152,0.0
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,875,14,861,830,10,21,174,1,10,686,0,665,21,0.11614401858304298,1.1614401858304297,20.209059233449477,79.67479674796748,0.0,77.23577235772358,2.4390243902439024
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,146,33,113,110,3,0,48,0,3,65,0,65,0,0.0,2.6548672566371683,42.47787610619469,57.52212389380531,0.0,57.52212389380531,0.0
gRNA_10107,231,1,230,229,1,0,92,1,1,137,17,108,12,0.43478260869565216,0.43478260869565216,40.0,59.56521739130435,7.391304347826087,46.95652173913044,5.217391304347826
gRNA_1019,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,200,0,200,200,0,0,93,0,0,107,0,107,0,0.0,0.0,46.5,53.5,0.0,53.5,0.0
gRNA_10343,1188,13,1175,1050,43,82,182,1,43,992,1,903,88,0.0851063829787234,3.6595744680851063,15.48936170212766,84.42553191489361,0.0851063829787234,76.85106382978724,7.48936170212766
gRNA_1036,5,0,5,5,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10363,611,7,604,594,2,8,287,0,2,317,1,305,11,0.0,0.33112582781456956,47.51655629139073,52.48344370860927,0.16556291390728478,50.496688741721854,1.8211920529801324
gRNA_10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,599,1,598,596,0,2,283,0,0,315,0,308,7,0.0,0.0,47.324414715719065,52.675585284280935,0.0,51.50501672240803,1.1705685618729098
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,30,0,30,30,0,0,10,0,0,20,0,16,4,0.0,0.0,33.333333333333336,66.66666666666667,0.0,53.333333333333336,13.333333333333334
gRNA_10548,19,0,19,17,1,1,9,0,1,10,3,6,1,0.0,5.2631578947368425,47.36842105263158,52.63157894736842,15.789473684210526,31.57894736842105,5.2631578947368425
gRNA_1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10596,247,0,247,243,2,2,36,0,2,211,2,207,2,0.0,0.8097165991902834,14.574898785425102,85.4251012145749,0.8097165991902834,83.80566801619433,0.8097165991902834
gRNA_10598,110,0,110,108,0,2,29,0,0,81,0,76,5,0.0,0.0,26.363636363636363,73.63636363636364,0.0,69.0909090909091,4.545454545454546
gRNA_10617,1863,21,1842,1841,0,1,585,0,0,1257,1,1253,3,0.0,0.0,31.758957654723126,68.24104234527687,0.05428881650380022,68.02388707926167,0.16286644951140064
gRNA_1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10634,728,5,723,588,33,102,126,9,33,588,1,483,104,1.2448132780082988,4.564315352697095,17.42738589211618,81.32780082987551,0.13831258644536654,66.80497925311204,14.38450899031812
gRNA_10657,27,0,27,27,0,0,1,0,0,26,0,26,0,0.0,0.0,3.7037037037037037,96.29629629629629,0.0,96.29629629629629,0.0
gRNA_10664,487,6,481,475,5,1,70,0,5,411,0,410,1,0.0,1.0395010395010396,14.553014553014552,85.44698544698545,0.0,85.23908523908524,0.2079002079002079
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
