Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,4618,0,4618,4614,1,3,2095,0,1,2523,0,2520,3,0.0,0.021654395842355997,45.36595928973582,54.63404071026418,0.0,54.56907752273712,0.06496318752706799
gRNA_1004,10828,0,10828,5851,2058,2919,3985,1208,2058,5635,0,2715,2920,11.15626154414481,19.006280014776504,36.80273365349095,52.04100480236424,0.0,25.073882526782416,26.967122275581826
gRNA_10049,596,0,596,589,0,7,119,0,0,477,0,470,7,0.0,0.0,19.966442953020135,80.03355704697987,0.0,78.85906040268456,1.174496644295302
gRNA_1006,2902,0,2902,2317,239,346,1014,57,239,1831,0,1460,371,1.9641626464507236,8.235699517574087,34.94141971054445,63.094417643004824,0.0,50.31013094417643,12.784286698828394
gRNA_10106,101,0,101,95,4,2,49,0,4,52,0,50,2,0.0,3.9603960396039604,48.51485148514851,51.48514851485149,0.0,49.504950495049506,1.9801980198019802
gRNA_10107,178,0,178,176,1,1,48,0,1,130,0,129,1,0.0,0.5617977528089888,26.96629213483146,73.03370786516854,0.0,72.47191011235955,0.5617977528089888
gRNA_1019,25530,0,25530,25359,51,120,15541,15,51,9974,70,9774,130,0.05875440658049354,0.199764982373678,60.873482177830006,39.0677634155895,0.27418723070896983,38.28437132784959,0.509204857030944
gRNA_1023,13079,0,13079,12969,39,71,2914,2,39,10163,0,7086,3077,0.01529168896704641,0.298187934857405,22.27999082498662,77.70471748604633,0.0,54.17845401024543,23.526263475800903
gRNA_10271,8336,2,8334,8188,64,82,4163,9,64,4162,65,3797,300,0.1079913606911447,0.7679385649148068,49.95200383969282,49.940004799616034,0.7799376049916007,45.560355171586274,3.599712023038157
gRNA_10272,1288,688,600,570,13,17,64,0,13,536,0,508,28,0.0,2.1666666666666665,10.666666666666666,89.33333333333333,0.0,84.66666666666667,4.666666666666667
gRNA_10278,10443,0,10443,4528,2355,3560,400,158,2355,9885,1,6319,3565,1.5129751986976923,22.550991094513073,3.8303169587283348,94.65670784257398,0.009575792396820836,60.50943215551087,34.137699894666284
gRNA_1032,13824,0,13824,9392,1549,2883,3998,436,1549,9390,370,5702,3318,3.153935185185185,11.205150462962964,28.92071759259259,67.92534722222223,2.6765046296296298,41.24710648148148,24.00173611111111
gRNA_1034,17327,0,17327,17124,76,127,12661,37,76,4629,197,4287,145,0.21353956253246378,0.4386218041207364,73.07092976279795,26.71553067466959,1.136953886997172,24.741732556126276,0.8368442315461418
gRNA_10342,160,0,160,155,5,0,74,3,5,83,0,83,0,1.875,3.125,46.25,51.875,0.0,51.875,0.0
gRNA_10343,1098,0,1098,1030,23,45,136,1,23,961,0,916,45,0.09107468123861566,2.09471766848816,12.386156648451731,87.52276867030966,0.0,83.42440801457195,4.098360655737705
gRNA_1036,82,81,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10363,658,1,657,651,2,4,155,0,2,502,279,216,7,0.0,0.30441400304414,23.59208523592085,76.40791476407915,42.465753424657535,32.87671232876713,1.06544901065449
gRNA_10424,13074,2,13072,9849,1258,1965,4318,345,1258,8409,1,6443,1965,2.639228886168911,9.623623011015912,33.032435740514074,64.32833537331702,0.007649938800489596,49.288555691554464,15.032129742962056
gRNA_10425,7460,0,7460,6418,415,627,3663,136,415,3661,0,2380,1281,1.8230563002680966,5.563002680965147,49.101876675603215,49.075067024128685,0.0,31.903485254691688,17.171581769436997
gRNA_10429,7254,360,6894,6441,207,246,4686,116,207,2092,0,1845,247,1.6826225703510298,3.0026109660574414,67.97214969538729,30.345227734261677,0.0,26.762402088772845,3.582825645488831
gRNA_10432,29891,0,29891,29584,123,184,15432,38,123,14421,0,14237,184,0.12712856712722892,0.4114950988591884,51.62758020808939,48.24529122478338,0.0,47.6297213207989,0.615569903984477
gRNA_10438,1336,1126,210,12,196,2,0,0,196,210,1,4,205,0.0,93.33333333333333,0.0,100.0,0.47619047619047616,1.9047619047619047,97.61904761904762
gRNA_10461,18678,53,18625,14112,3419,1094,8291,232,3419,10102,136,6021,3945,1.2456375838926175,18.35704697986577,44.515436241610736,54.23892617449665,0.7302013422818792,32.32751677852349,21.181208053691275
gRNA_10465,657,15,642,581,20,41,10,5,20,627,528,44,55,0.778816199376947,3.115264797507788,1.557632398753894,97.66355140186916,82.24299065420561,6.853582554517134,8.566978193146417
gRNA_10473,10709,0,10709,6435,1722,2552,3988,869,1722,5852,0,3300,2552,8.114669903819218,16.079932766831636,37.23970492109441,54.64562517508637,0.0,30.81520216640209,23.830423008684285
gRNA_10504,1475,1,1474,1472,1,1,497,0,1,977,0,976,1,0.0,0.06784260515603799,33.71777476255088,66.28222523744911,0.0,66.21438263229308,0.06784260515603799
gRNA_1052,2050,7,2043,1528,145,370,366,10,145,1667,0,1297,370,0.48947626040137054,7.0974057758198725,17.91483113069016,81.59569260890846,0.0,63.485070974057756,18.11062163485071
gRNA_10547,48,0,48,47,1,0,18,0,1,30,0,29,1,0.0,2.0833333333333335,37.5,62.5,0.0,60.416666666666664,2.0833333333333335
gRNA_10548,7,0,7,7,0,0,0,0,0,7,0,6,1,0.0,0.0,0.0,100.0,0.0,85.71428571428571,14.285714285714286
gRNA_1055,10433,172,10261,5613,1568,3080,4507,1326,1568,4428,0,1347,3081,12.922717084104862,15.281161680148134,43.92359419159926,43.153688724295876,0.0,13.127375499463989,30.02631322483189
gRNA_10596,508,0,508,505,3,0,100,0,3,408,0,408,0,0.0,0.5905511811023622,19.68503937007874,80.31496062992126,0.0,80.31496062992126,0.0
gRNA_10598,294,0,294,291,2,1,40,0,2,254,0,253,1,0.0,0.6802721088435374,13.605442176870747,86.39455782312925,0.0,86.05442176870748,0.3401360544217687
