Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,10,0,10,10,0,0,4,0,0,6,0,6,0,0.0,0.0,40.0,60.0,0.0,60.0,0.0
gRNA_1004,313,0,313,152,74,87,78,17,74,218,0,131,87,5.431309904153355,23.642172523961662,24.920127795527158,69.64856230031948,0.0,41.853035143769965,27.79552715654952
gRNA_10049,178,0,178,159,5,14,9,0,5,169,0,155,14,0.0,2.808988764044944,5.056179775280899,94.9438202247191,0.0,87.07865168539325,7.865168539325842
gRNA_1006,185,0,185,118,30,37,24,5,30,156,0,119,37,2.7027027027027026,16.216216216216218,12.972972972972974,84.32432432432432,0.0,64.32432432432432,20.0
gRNA_10106,31,0,31,0,31,0,0,0,31,31,0,31,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,9,0,9,9,0,0,3,0,0,6,0,6,0,0.0,0.0,33.333333333333336,66.66666666666667,0.0,66.66666666666667,0.0
gRNA_1019,3795,0,3795,3656,58,81,977,4,58,2814,0,2733,81,0.10540184453227931,1.52832674571805,25.744400527009223,74.1501976284585,0.0,72.01581027667984,2.1343873517786562
gRNA_1023,1106,2,1104,1099,3,2,23,0,3,1081,0,116,965,0.0,0.2717391304347826,2.0833333333333335,97.91666666666667,0.0,10.507246376811594,87.40942028985508
gRNA_10271,610,0,610,559,17,34,136,1,17,473,0,439,34,0.16393442622950818,2.7868852459016393,22.295081967213115,77.54098360655738,0.0,71.9672131147541,5.573770491803279
gRNA_10272,11,0,11,10,1,0,3,0,1,8,0,8,0,0.0,9.090909090909092,27.272727272727273,72.72727272727273,0.0,72.72727272727273,0.0
gRNA_10278,393,0,393,120,105,168,4,1,105,388,1,219,168,0.2544529262086514,26.717557251908396,1.0178117048346056,98.72773536895674,0.2544529262086514,55.725190839694655,42.74809160305343
gRNA_1032,721,0,721,357,129,235,73,14,129,634,0,399,235,1.941747572815534,17.891816920943135,10.124826629681,87.93342579750346,0.0,55.33980582524272,32.59361997226075
gRNA_1034,351,0,351,331,8,12,137,2,8,212,0,200,12,0.5698005698005698,2.2792022792022792,39.03133903133903,60.3988603988604,0.0,56.98005698005698,3.4188034188034186
gRNA_10342,15,0,15,15,0,0,6,0,0,9,0,9,0,0.0,0.0,40.0,60.0,0.0,60.0,0.0
gRNA_10343,208,1,207,162,11,34,16,0,11,191,0,157,34,0.0,5.314009661835748,7.729468599033816,92.27053140096618,0.0,75.84541062801932,16.42512077294686
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,156,0,156,148,4,4,20,3,4,133,0,129,4,1.9230769230769231,2.5641025641025643,12.820512820512821,85.25641025641026,0.0,82.6923076923077,2.5641025641025643
gRNA_10424,232,0,232,161,24,47,61,2,24,169,0,122,47,0.8620689655172413,10.344827586206897,26.29310344827586,72.84482758620689,0.0,52.58620689655172,20.25862068965517
gRNA_10425,280,0,280,220,23,37,123,7,23,150,0,113,37,2.5,8.214285714285714,43.92857142857143,53.57142857142857,0.0,40.357142857142854,13.214285714285714
gRNA_10429,535,0,535,438,45,52,225,18,45,292,0,240,52,3.364485981308411,8.411214953271028,42.05607476635514,54.57943925233645,0.0,44.85981308411215,9.719626168224298
