Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,52,0,52,52,0,0,7,0,0,45,0,45,0,0.0,0.0,13.461538461538462,86.53846153846153,0.0,86.53846153846153,0.0
gRNA_1004,1489,0,1489,842,242,405,561,129,242,799,0,394,405,8.663532572196106,16.252518468770987,37.676292813969106,53.66017461383479,0.0,26.4607118871726,27.19946272666219
gRNA_10049,119,0,119,115,3,1,21,1,3,97,0,96,1,0.8403361344537815,2.5210084033613445,17.647058823529413,81.5126050420168,0.0,80.67226890756302,0.8403361344537815
gRNA_1006,12514,0,12514,446,12060,8,6,2,12060,12506,0,12498,8,0.0159821000479463,96.37206328911618,0.0479463001438389,99.93607159980822,0.0,99.87214319961643,0.0639284001917852
gRNA_10106,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,148,5,143,140,3,0,0,0,3,143,9,127,7,0.0,2.097902097902098,0.0,100.0,6.293706293706293,88.81118881118881,4.895104895104895
gRNA_1019,3668,0,3668,428,3238,2,219,2528,3238,921,0,866,55,68.92039258451472,88.27699018538713,5.970556161395856,25.109051254089422,0.0,23.609596510359868,1.499454743729553
gRNA_1023,5475,0,5475,1183,4284,8,10,0,4284,5465,0,5452,13,0.0,78.24657534246575,0.182648401826484,99.81735159817352,0.0,99.57990867579909,0.2374429223744292
gRNA_10271,1795,0,1795,1767,25,3,0,7,25,1788,4,1061,723,0.38997214484679665,1.392757660167131,0.0,99.6100278551532,0.22284122562674094,59.108635097493035,40.278551532033426
gRNA_10272,2546,0,2546,4,2542,0,0,129,2542,2417,0,2417,0,5.066771406127258,99.84289080911233,0.0,94.93322859387274,0.0,94.93322859387274,0.0
