Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,1024,23,1001,1000,0,1,148,0,0,853,7,520,326,0.0,0.0,14.785214785214785,85.21478521478521,0.6993006993006993,51.94805194805195,32.56743256743257
gRNA_1004,1172,0,1172,611,256,305,435,159,256,578,0,273,305,13.566552901023892,21.843003412969285,37.1160409556314,49.31740614334471,0.0,23.293515358361773,26.023890784982935
gRNA_10049,113,0,113,113,0,0,4,0,0,109,3,105,1,0.0,0.0,3.5398230088495577,96.46017699115045,2.6548672566371683,92.92035398230088,0.8849557522123894
gRNA_1006,467,1,466,251,196,19,70,63,196,333,7,278,48,13.51931330472103,42.06008583690987,15.021459227467812,71.45922746781116,1.502145922746781,59.65665236051502,10.300429184549357
gRNA_10106,305,1,304,304,0,0,1,0,0,303,0,302,1,0.0,0.0,0.32894736842105265,99.67105263157895,0.0,99.34210526315789,0.32894736842105265
gRNA_10107,442,41,401,401,0,0,1,0,0,400,1,387,12,0.0,0.0,0.24937655860349128,99.75062344139651,0.24937655860349128,96.50872817955113,2.9925187032418954
gRNA_1019,3314,136,3178,614,2495,69,198,1850,2495,1130,33,1010,87,58.21271239773442,78.50849590937696,6.230333543108873,35.5569540591567,1.038388923851479,31.780994336060417,2.737570799244808
gRNA_1023,3684,8,3676,628,2943,105,123,17,2943,3536,23,3356,157,0.4624591947769314,80.05984766050054,3.3460282916213275,96.19151251360174,0.6256800870511425,91.29488574537541,4.27094668117519
gRNA_10271,5948,202,5746,5620,90,36,119,4,90,5623,92,4917,614,0.06961364427427776,1.5663069961712495,2.0710059171597632,97.85938043856596,1.6011138183083884,85.57257222415593,10.685694396101637
gRNA_10272,5232,1129,4103,587,3419,97,5,28,3419,4070,148,3553,369,0.6824274920789666,83.3292712649281,0.12186205215695832,99.19571045576407,3.607116743845966,86.59517426273459,8.993419449183524
gRNA_10278,1482,23,1459,33,1407,19,0,18,1407,1441,2,1391,48,1.2337217272104182,96.43591501028101,0.0,98.76627827278958,0.13708019191226867,95.33927347498286,3.2899246058944485
gRNA_1032,2599,12,2587,207,2332,48,23,67,2332,2497,72,2157,268,2.5898724391186705,90.14302280633939,0.889060688055663,96.52106687282567,2.7831465017394668,83.37843061461152,10.359489756474682
gRNA_1034,2475,10,2465,1175,1263,27,856,1040,1263,569,0,542,27,42.190669371196755,51.23732251521298,34.72616632860041,23.08316430020284,0.0,21.98782961460446,1.0953346855983772
