Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,80,0,80,80,0,0,26,0,0,54,0,54,0,0.0,0.0,32.5,67.5,0.0,67.5,0.0
gRNA_1004,2167,0,2167,1116,521,530,724,313,521,1130,0,600,530,14.443931702814952,24.04245500692201,33.41024457775727,52.14582371942778,0.0,27.68804799261652,24.45777572681126
gRNA_10049,1453,0,1453,780,659,14,176,1,659,1276,0,1262,14,0.06882312456985547,45.35443909153476,12.112869924294563,87.81830695113558,0.0,86.85478320715761,0.9635237439779766
gRNA_1006,3380,0,3380,3185,181,14,33,1,181,3346,0,3332,14,0.029585798816568046,5.355029585798817,0.9763313609467456,98.99408284023669,0.0,98.57988165680473,0.41420118343195267
gRNA_10106,90,0,90,42,48,0,0,0,48,90,0,90,0,0.0,53.333333333333336,0.0,100.0,0.0,100.0,0.0
gRNA_10107,735,0,735,735,0,0,1,0,0,734,52,649,33,0.0,0.0,0.1360544217687075,99.8639455782313,7.074829931972789,88.29931972789116,4.489795918367347
gRNA_1019,1515,0,1515,368,1144,3,131,879,1144,505,0,499,6,58.01980198019802,75.51155115511551,8.646864686468646,33.333333333333336,0.0,32.93729372937294,0.39603960396039606
gRNA_1023,8160,2,8158,2135,6010,13,195,1,6010,7962,12,7089,861,0.012257906349595489,73.67001716106888,2.39029173817112,97.59745035547928,0.14709487619514586,86.89629811228242,10.554057367001716
gRNA_10271,5694,6,5688,5422,206,60,373,74,206,5241,556,3934,751,1.30098452883263,3.621659634317862,6.557665260196906,92.14135021097046,9.774964838255977,69.16315049226442,13.20323488045007
gRNA_10272,2943,0,2943,661,2281,1,0,6,2281,2937,1,2935,1,0.2038735983690112,77.50594631328576,0.0,99.79612640163099,0.03397893306150187,99.72816853550799,0.03397893306150187
gRNA_10278,374,0,374,2,372,0,0,0,372,374,0,374,0,0.0,99.46524064171123,0.0,100.0,0.0,100.0,0.0
gRNA_1032,4190,1,4189,3,4181,5,0,3,4181,4186,1,4180,5,0.07161613750298401,99.80902363332538,0.0,99.92838386249701,0.023872045834328,99.78515158749104,0.11936022917164
gRNA_1034,5033,548,4485,2144,2254,87,1565,1971,2254,949,1,860,88,43.94648829431438,50.256410256410255,34.894091415830545,21.159420289855074,0.022296544035674472,19.175027870680044,1.9620958751393534
gRNA_10342,704,1,703,703,0,0,4,0,0,699,0,699,0,0.0,0.0,0.5689900426742532,99.43100995732574,0.0,99.43100995732574,0.0
gRNA_10343,1511,0,1511,1455,20,36,112,2,20,1397,0,1361,36,0.13236267372600927,1.3236267372600927,7.412309728656519,92.45532759761747,0.0,90.0727994705493,2.382528127068167
gRNA_1036,100,1,99,99,0,0,0,0,0,99,0,99,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10363,7754,0,7754,7654,3,97,1,0,3,7753,1,7584,168,0.0,0.03868970853752902,0.012896569512509672,99.9871034304875,0.012896569512509672,97.80758318287336,2.166623678101625
gRNA_10424,3904,0,3904,714,3018,172,50,3,3018,3851,154,3019,678,0.07684426229508197,77.30532786885246,1.2807377049180328,98.64241803278688,3.944672131147541,77.33094262295081,17.366803278688526
gRNA_10425,39177,0,39177,35251,2032,1894,1263,540,2032,37374,3,31246,6125,1.3783597518952446,5.186716696020624,3.2238303085994335,95.39780993950532,0.007657554177195804,79.75597927355336,15.634173111774766
gRNA_10429,371,1,370,273,82,15,183,74,82,113,0,98,15,20.0,22.16216216216216,49.45945945945946,30.54054054054054,0.0,26.486486486486488,4.054054054054054
gRNA_10432,7342,0,7342,6686,567,89,2993,472,567,3877,0,3788,89,6.428766003813675,7.722691364750749,40.76545900299646,52.805774993189864,0.0,51.59357123399619,1.2122037591936803
gRNA_10438,474,1,473,105,349,19,11,35,349,427,64,293,70,7.399577167019028,73.78435517970402,2.3255813953488373,90.27484143763213,13.530655391120508,61.94503171247357,14.799154334038056
