sgRNA	gene	lib	input	d5	d15-rep1	d15-rep2	d15-rep3	d15-rep4	d15-rep5	spleen1	spleen2	spleen3	spleen4	spleen5	bm1	bm2	bm3	bm4	bm5	men1	men2	men3	men4	men5
gRNA_2	Abl1	3604.0	7590.0	9740.0	2905.0	335.0	1953.0	897.0	47.0	2676.0	6806.0	10368.0	1771.0	5656.0	4626.0	677.0	5696.0	8075.0	9193.0	189.0	9928.0	599.0	2556.0	10.0
gRNA_85	Akt1	18935.0	11979.0	12492.0	38218.0	8043.0	20875.0	24244.0	566.0	9877.0	7621.0	17194.0	5237.0	3719.0	2558.0	10021.0	14030.0	13184.0	6526.0	785.0	3639.0	2569.0	3401.0	3093.0
gRNA_871	Arid2	44200.0	24893.0	26740.0	159395.0	14552.0	17922.0	24984.0	1288.0	27594.0	20444.0	21296.0	5506.0	15937.0	26270.0	2220.0	8740.0	12995.0	5394.0	112814.0	38552.0	81248.0	2512.0	18412.0
gRNA_895	Arid5b	4691.0	6452.0	8321.0	28166.0	4822.0	7193.0	5613.0	63.0	2562.0	3899.0	5403.0	2446.0	11545.0	1068.0	2299.0	62.0	341.0	1546.0	752.0	255.0	8469.0	6497.0	97730.0
gRNA_896	Arid5b	15547.0	13045.0	15106.0	90114.0	4516.0	21661.0	8079.0	252.0	9388.0	13387.0	21163.0	3873.0	4562.0	5088.0	24335.0	6931.0	25028.0	3867.0	481.0	40145.0	4544.0	1352.0	6775.0
gRNA_1000	Atm	30900.0	19495.0	26819.0	105631.0	9306.0	11465.0	11615.0	325.0	17686.0	40211.0	16728.0	10531.0	17028.0	8446.0	27275.0	8604.0	22955.0	18973.0	720.0	6159.0	10291.0	3885.0	925173.0
gRNA_1036	Atm	8259.0	6556.0	8470.0	49440.0	7127.0	16825.0	10650.0	660.0	3095.0	5864.0	4791.0	1150.0	3625.0	449.0	1789.0	150.0	527.0	358.0	207.0	474.0	275.0	3204.0	1102.0
gRNA_1149	Atrx	11727.0	8726.0	10240.0	27445.0	3674.0	2017.0	7600.0	93.0	8781.0	4168.0	3267.0	2166.0	3217.0	9434.0	17410.0	38.0	4920.0	1121.0	279.0	1324.0	747.0	248.0	5.0
gRNA_1322	Bap1	22857.0	15835.0	17097.0	67048.0	4387.0	13888.0	16187.0	351.0	6930.0	16937.0	25674.0	7802.0	9255.0	16704.0	77810.0	10486.0	15986.0	10651.0	5086.0	3054.0	102562.0	10349.0	4485.0
gRNA_1337	Bap1	23104.0	21250.0	25483.0	91978.0	11139.0	7374.0	25041.0	450.0	17815.0	17594.0	25891.0	8002.0	11985.0	27233.0	2090.0	3428.0	17048.0	9916.0	879.0	32150.0	22828.0	633.0	25806.0
gRNA_1343	Bap1	17790.0	8689.0	13966.0	44263.0	3669.0	13737.0	6688.0	382.0	3442.0	10701.0	12221.0	5144.0	1316.0	10167.0	1498.0	6271.0	12930.0	4930.0	954.0	10549.0	666.0	2919.0	2168.0
gRNA_1376	Bcl2	14635.0	13687.0	13012.0	63200.0	5115.0	4079.0	5666.0	80.0	14037.0	7576.0	8105.0	2802.0	3894.0	13403.0	16282.0	4142.0	6064.0	6440.0	4436.0	3941.0	3187.0	410.0	129152.0
gRNA_1381	Bcl2	19694.0	11015.0	13278.0	107688.0	8796.0	6269.0	17474.0	618.0	4312.0	9086.0	4653.0	2779.0	2828.0	10217.0	6325.0	1805.0	13633.0	2882.0	192.0	1787.0	817.0	1950.0	9816.0
gRNA_1382	Bcl2	15363.0	6530.0	9550.0	126200.0	19906.0	9462.0	10501.0	128.0	6789.0	8734.0	7873.0	3395.0	6469.0	4695.0	667.0	653.0	20503.0	9439.0	1808.0	1232.0	15924.0	14765.0	1247.0
gRNA_1383	Bcl2	19917.0	15631.0	15141.0	97971.0	19626.0	8160.0	15722.0	199.0	18811.0	11093.0	7017.0	6347.0	3209.0	10774.0	2367.0	2252.0	9031.0	11735.0	51.0	21151.0	10147.0	9849.0	28283.0
gRNA_1551	Braf	34568.0	44973.0	46922.0	241565.0	13372.0	35750.0	31454.0	665.0	18145.0	35566.0	60950.0	14508.0	17783.0	16274.0	4510.0	13911.0	40665.0	19879.0	15473.0	24035.0	16233.0	23927.0	140906.0
gRNA_1726	Card11	11924.0	11609.0	16320.0	33020.0	3690.0	9065.0	12419.0	351.0	5386.0	22953.0	11506.0	4129.0	5929.0	3379.0	7445.0	2445.0	6749.0	2998.0	221.0	14526.0	12029.0	287.0	39582.0
gRNA_1977	Cd79a	15610.0	9383.0	10002.0	44702.0	8118.0	10233.0	6562.0	246.0	3038.0	8286.0	3756.0	3598.0	2764.0	14702.0	1208.0	1122.0	2219.0	6954.0	3493.0	1504.0	10483.0	3513.0	12810.0
gRNA_2134	Chek2	13882.0	15672.0	19518.0	62498.0	3415.0	4805.0	9495.0	110.0	8881.0	14877.0	18554.0	6450.0	11381.0	9986.0	1968.0	3155.0	18113.0	10473.0	726.0	6864.0	7105.0	1660.0	8401.0
