sgRNA	gene	lib	input	d5	d15-rep1	d15-rep2	d15-rep3	d15-rep4	d15-rep5	spleen1	spleen2	spleen3	spleen4	spleen5	bm1	bm2	bm3	bm4	bm5	men1	men2	men3	men4	men5
gRNA_2	Abl1	3604.0	7590.0	3417.0	6.0	1535.0	2523.0	184.0	33.0	4800.0	4456.0	3866.0	11810.0	1497.0	7358.0	4098.0	1230.0	9038.0	14230.0	9640.0	4726.0	6538.0	1239.0	10384.0
gRNA_85	Akt1	18935.0	11979.0	21539.0	451.0	38580.0	41832.0	6563.0	4879.0	7848.0	15799.0	11206.0	23486.0	6408.0	9289.0	5095.0	8046.0	5962.0	16375.0	17775.0	1296.0	38155.0	1397.0	2855.0
gRNA_871	Arid2	44200.0	24893.0	44670.0	1092.0	81078.0	107904.0	12790.0	7223.0	13168.0	7618.0	15132.0	35578.0	7797.0	26193.0	3120.0	17765.0	12595.0	32601.0	30297.0	848.0	4657.0	5610.0	16731.0
gRNA_895	Arid5b	4691.0	6452.0	20236.0	676.0	24128.0	41348.0	2841.0	2509.0	5706.0	8427.0	7963.0	19342.0	4850.0	12940.0	716.0	12555.0	5107.0	20734.0	16853.0	4544.0	9143.0	1728.0	16727.0
gRNA_896	Arid5b	15547.0	13045.0	31390.0	276.0	41479.0	88768.0	5330.0	2186.0	11753.0	20724.0	17069.0	37804.0	7908.0	67251.0	24916.0	25309.0	7876.0	19670.0	36078.0	3057.0	14803.0	4916.0	3928.0
gRNA_1000	Atm	30900.0	19495.0	39258.0	623.0	43212.0	139482.0	8438.0	5556.0	16112.0	19130.0	61173.0	60885.0	17572.0	21254.0	13527.0	30806.0	9017.0	33008.0	44877.0	9777.0	16131.0	8213.0	32099.0
gRNA_1036	Atm	8259.0	6556.0	16365.0	692.0	32000.0	47839.0	3992.0	3164.0	5669.0	4473.0	5925.0	21711.0	4911.0	5133.0	10549.0	2181.0	6069.0	5798.0	4572.0	3186.0	1123.0	872.0	1322.0
gRNA_1149	Atrx	11727.0	8726.0	22037.0	254.0	28780.0	32686.0	2884.0	1658.0	5380.0	12011.0	3446.0	20902.0	2714.0	7938.0	3710.0	6400.0	5048.0	32573.0	5843.0	54.0	1235.0	5431.0	34026.0
gRNA_1322	Bap1	22857.0	15835.0	36123.0	574.0	55222.0	75506.0	6775.0	3376.0	17324.0	25160.0	29395.0	60510.0	15361.0	55055.0	29581.0	33562.0	20889.0	17113.0	34557.0	4526.0	1400.0	16205.0	4919.0
gRNA_1337	Bap1	23104.0	21250.0	34463.0	371.0	30517.0	69224.0	6114.0	2380.0	9455.0	7321.0	15386.0	33318.0	2289.0	39818.0	8262.0	7986.0	5595.0	8702.0	22983.0	112.0	31644.0	5216.0	1264.0
