sgRNA	gene	d15	d5	input	lib
gRNA_2	Abl1	142.0	0.0	0.0	143.0
gRNA_4	Abl1	48581.0	17512.0	29670.0	37555.0
gRNA_19	Abl1	31136.0	7928.0	21153.0	18847.0
gRNA_21	Abl1	11399.0	13786.0	9478.0	22076.0
gRNA_85	Akt1	0.0	178.0	0.0	1309.0
gRNA_289	Apc	28884.0	19684.0	7772.0	28994.0
gRNA_295	Apc	1506.0	1044.0	1945.0	4473.0
gRNA_303	Apc	61232.0	36315.0	18377.0	34454.0
gRNA_304	Apc	10374.0	10457.0	29784.0	20138.0
gRNA_311	Apc	39618.0	17688.0	17348.0	16381.0
gRNA_319	Apc	32165.0	12698.0	80847.0	28172.0
gRNA_324	Apc	85490.0	20826.0	44079.0	31639.0
gRNA_335	Apc	15637.0	8241.0	12813.0	17674.0
gRNA_338	Apc	25834.0	38721.0	35366.0	29163.0
gRNA_349	Apc	13246.0	11997.0	31827.0	22263.0
gRNA_362	Apc	16708.0	16510.0	24673.0	32442.0
gRNA_366	Apc	28403.0	54365.0	33536.0	23435.0
gRNA_381	Apc	28633.0	16436.0	22007.0	18974.0
gRNA_382	Apc	40294.0	25256.0	29950.0	57975.0
gRNA_383	Apc	45027.0	37401.0	7257.0	24998.0
gRNA_389	Apc	45680.0	19128.0	33840.0	35892.0
gRNA_390	Apc	31520.0	19627.0	20312.0	39122.0
gRNA_516	Arid1a	25796.0	21404.0	22773.0	31081.0
gRNA_522	Arid1a	13224.0	33460.0	16216.0	26043.0
gRNA_523	Arid1a	13698.0	16421.0	22825.0	17986.0
gRNA_525	Arid1a	49517.0	38196.0	28998.0	40358.0
gRNA_526	Arid1a	52009.0	48091.0	70743.0	76571.0
gRNA_533	Arid1a	33903.0	33764.0	46684.0	47564.0
gRNA_538	Arid1a	43149.0	23537.0	15721.0	41643.0
gRNA_553	Arid1a	19673.0	22738.0	28843.0	32227.0
gRNA_568	Arid1a	35428.0	15643.0	37511.0	25048.0
gRNA_574	Arid1a	18368.0	12861.0	12510.0	28045.0
gRNA_592	Arid1a	33021.0	34296.0	25431.0	48875.0
gRNA_605	Arid1a	89505.0	19794.0	27993.0	21904.0
gRNA_610	Arid1a	23459.0	19767.0	31202.0	27397.0
gRNA_613	Arid1a	19086.0	28432.0	42619.0	32305.0
gRNA_617	Arid1a	22711.0	24336.0	38401.0	34399.0
gRNA_627	Arid1a	12986.0	18684.0	22044.0	21412.0
gRNA_634	Arid1a	48954.0	32074.0	18163.0	33912.0
gRNA_635	Arid1a	29431.0	9816.0	22818.0	24762.0
gRNA_636	Arid1a	35202.0	35859.0	36430.0	40316.0
gRNA_646	Arid1a	31045.0	8978.0	31298.0	16940.0
gRNA_655	Arid1a	4340.0	6356.0	5118.0	4493.0
gRNA_656	Arid1a	89816.0	23812.0	38371.0	44363.0
gRNA_663	Arid1a	10685.0	18302.0	20895.0	28276.0
gRNA_672	Arid1a	15006.0	7668.0	19452.0	15478.0
gRNA_687	Arid1a	13048.0	15035.0	13289.0	19387.0
gRNA_690	Arid1a	21505.0	29780.0	19130.0	29400.0
gRNA_694	Arid1a	20930.0	18744.0	56363.0	30826.0
gRNA_703	Arid1a	82300.0	22885.0	18818.0	25347.0
gRNA_705	Arid1a	9382.0	2014.0	8849.0	9251.0
gRNA_707	Arid1a	36369.0	24301.0	25890.0	33755.0
