sgRNA	gene	lib	input	d5	d15-rep1	d15-rep2	d15-rep3	d15-rep4	d15-rep5	spleen1	spleen2	spleen3	spleen4	spleen5	spleen6	spleen7	spleen8	spleen9	spleen10	bm1	bm2	bm3	bm4	bm5	bm6	bm7	bm8	bm9	bm10
gRNA_2	Abl1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA_4	Abl1	4830.0	6522.0	12086.0	17482.0	6128.0	10143.0	14812.0	11261.0	4037.0	11015.0	10658.0	9745.0	5203.0	6609.0	9094.0	8790.0	15949.0	3849.0	7111.0	18900.0	5107.0	5806.0	3550.0	7162.0	48861.0	3206.0	18985.0	4613.0
gRNA_19	Abl1	3597.0	2544.0	4539.0	10485.0	2760.0	5153.0	8934.0	9902.0	683.0	6018.0	3391.0	1945.0	2124.0	5973.0	2934.0	1391.0	5038.0	2194.0	3959.0	17532.0	1471.0	2018.0	1799.0	5226.0	895.0	1282.0	1923.0	7765.0
gRNA_21	Abl1	3059.0	5192.0	1617.0	10081.0	4481.0	3476.0	3588.0	6643.0	3185.0	1312.0	3993.0	5634.0	2572.0	6852.0	6195.0	3437.0	5939.0	1239.0	108.0	2460.0	2509.0	2983.0	5193.0	2167.0	3910.0	0.0	1301.0	515.0
gRNA_85	Akt1	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	0.0
gRNA_289	Apc	3735.0	5471.0	9487.0	12617.0	1756.0	5611.0	6010.0	6696.0	1230.0	4351.0	4228.0	2850.0	9549.0	3886.0	6275.0	5866.0	2605.0	2382.0	14992.0	0.0	5734.0	6224.0	7679.0	31391.0	2156.0	0.0	7385.0	7325.0
gRNA_295	Apc	303.0	687.0	238.0	4441.0	1.0	678.0	743.0	1410.0	593.0	1064.0	472.0	0.0	105.0	68.0	0.0	1.0	10.0	0.0	105.0	0.0	0.0	146.0	293.0	2.0	2.0	0.0	268.0	0.0
gRNA_303	Apc	4296.0	5709.0	2617.0	18899.0	5882.0	6196.0	9341.0	12573.0	6152.0	2416.0	5721.0	878.0	4468.0	11437.0	9383.0	8393.0	11402.0	7021.0	34207.0	5650.0	9902.0	9127.0	11734.0	2099.0	1193.0	271.0	8592.0	6248.0
gRNA_304	Apc	2610.0	3761.0	2131.0	6403.0	15.0	3519.0	6804.0	9552.0	3026.0	224.0	3496.0	4200.0	902.0	1518.0	4001.0	1658.0	1849.0	4360.0	3162.0	0.0	1062.0	3705.0	3187.0	263.0	7591.0	1133.0	1956.0	1379.0
gRNA_311	Apc	2747.0	2590.0	4046.0	7211.0	147.0	713.0	3693.0	5560.0	2477.0	11880.0	3124.0	4828.0	787.0	2403.0	777.0	624.0	7814.0	1676.0	29388.0	1651.0	12560.0	3188.0	1886.0	290.0	499.0	364.0	413.0	485.0
gRNA_319	Apc	6183.0	2086.0	530.0	12957.0	1916.0	3726.0	9601.0	10413.0	10734.0	3883.0	2718.0	2674.0	26842.0	10562.0	926.0	17334.0	8306.0	3218.0	15557.0	8140.0	6449.0	1115.0	897.0	59897.0	27.0	1613.0	76.0	2186.0
gRNA_324	Apc	4466.0	6825.0	6152.0	11851.0	15132.0	3562.0	11157.0	11727.0	9266.0	1430.0	13835.0	9650.0	2172.0	10686.0	4214.0	5772.0	3020.0	11206.0	67381.0	3391.0	7797.0	582.0	8432.0	3311.0	38167.0	4.0	67.0	70558.0
gRNA_335	Apc	1648.0	2821.0	2857.0	10419.0	1936.0	3853.0	4126.0	5402.0	211.0	446.0	5631.0	1629.0	1012.0	2291.0	1315.0	171.0	3740.0	2083.0	100.0	6901.0	3659.0	1639.0	2877.0	657.0	1674.0	3504.0	1066.0	1548.0
gRNA_338	Apc	4105.0	3492.0	6698.0	8110.0	626.0	5292.0	8627.0	9725.0	1084.0	5898.0	10743.0	10134.0	1966.0	11601.0	9160.0	11960.0	9729.0	8319.0	4363.0	12196.0	8449.0	4844.0	11453.0	4861.0	4443.0	12813.0	7759.0	8183.0
gRNA_349	Apc	2935.0	5339.0	2200.0	6384.0	1436.0	2993.0	8922.0	8605.0	1873.0	1609.0	2254.0	4221.0	12346.0	5070.0	3769.0	2737.0	1847.0	729.0	2574.0	2924.0	4350.0	1260.0	5823.0	5294.0	29007.0	3385.0	1861.0	413.0
gRNA_362	Apc	3554.0	3990.0	2452.0	7615.0	9.0	4209.0	5246.0	11779.0	1341.0	1306.0	1353.0	242.0	5887.0	2021.0	3973.0	1519.0	14901.0	4336.0	5420.0	1.0	5359.0	1882.0	4715.0	915.0	3248.0	313.0	3176.0	1205.0
gRNA_366	Apc	2779.0	4426.0	7461.0	14597.0	26.0	4232.0	6066.0	5831.0	5251.0	18158.0	7923.0	13099.0	63343.0	16359.0	1384.0	43148.0	18537.0	9583.0	2034.0	3336.0	8392.0	3242.0	7763.0	4709.0	10468.0	87185.0	1854.0	8403.0
gRNA_381	Apc	3647.0	2577.0	6451.0	6811.0	2055.0	4434.0	7701.0	9510.0	649.0	1388.0	2116.0	3776.0	400.0	624.0	4008.0	2175.0	2802.0	5631.0	8386.0	10901.0	7147.0	1336.0	5317.0	413.0	2486.0	355.0	3072.0	3443.0
gRNA_382	Apc	6258.0	11128.0	8204.0	17186.0	8148.0	7809.0	18317.0	22578.0	13666.0	9205.0	6800.0	6104.0	61834.0	20802.0	4034.0	1133.0	15004.0	29169.0	11050.0	5760.0	5846.0	8868.0	8390.0	5697.0	29203.0	5487.0	33951.0	10692.0
gRNA_383	Apc	2439.0	3550.0	1730.0	2805.0	3396.0	2246.0	4875.0	4177.0	2049.0	70.0	560.0	4517.0	474.0	1183.0	2226.0	3018.0	2626.0	2186.0	21066.0	14704.0	9945.0	9230.0	16054.0	1021.0	784.0	630.0	3982.0	6102.0
gRNA_389	Apc	3592.0	4725.0	2671.0	15761.0	7083.0	1507.0	10926.0	13553.0	9539.0	7273.0	5170.0	1847.0	15645.0	9176.0	8236.0	5023.0	1535.0	264.0	17023.0	14486.0	5584.0	3018.0	7654.0	2870.0	9862.0	1790.0	22078.0	2990.0
gRNA_390	Apc	4568.0	7885.0	4666.0	13252.0	3708.0	5150.0	9614.0	13509.0	6466.0	1874.0	2075.0	6615.0	1581.0	1985.0	8214.0	3536.0	7048.0	3156.0	3800.0	8497.0	9386.0	3392.0	5341.0	813.0	1751.0	1666.0	1287.0	2819.0
gRNA_516	Arid1a	3969.0	3340.0	5376.0	9572.0	22.0	3202.0	7913.0	9082.0	3004.0	931.0	3268.0	3639.0	4991.0	1218.0	1663.0	3586.0	2269.0	7162.0	1432.0	2145.0	7674.0	2396.0	7455.0	432.0	643.0	4340.0	1578.0	3589.0
