,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
0,gRNA_2,320.0,122.0,1273.0,152.0,95.0,253.0,90.0,44.0,51.0,31.0,61.0,72.0,690.0
4,gRNA_85,3156.0,779.0,8946.0,327.0,281.0,741.0,150.0,44.0,216.0,51.0,66.0,63.0,2445.0
69,gRNA_871,7984.0,2403.0,34422.0,790.0,887.0,2166.0,825.0,97.0,1939.0,344.0,434.0,359.0,5612.0
70,gRNA_895,715.0,235.0,3021.0,65.0,44.0,620.0,85.0,28.0,66.0,16.0,20.0,20.0,735.0
71,gRNA_896,1548.0,708.0,5909.0,386.0,424.0,666.0,305.0,56.0,1258.0,150.0,62.0,135.0,2595.0
79,gRNA_1000,3911.0,1340.0,16790.0,451.0,665.0,1545.0,346.0,71.0,898.0,84.0,81.0,298.0,3994.0
86,gRNA_1036,1482.0,450.0,5836.0,167.0,98.0,573.0,88.0,51.0,375.0,33.0,33.0,52.0,1847.0
94,gRNA_1149,7176.0,1990.0,30890.0,210.0,199.0,598.0,102.0,26.0,492.0,45.0,23.0,111.0,1822.0
97,gRNA_1322,2299.0,793.0,12781.0,327.0,286.0,1028.0,315.0,59.0,344.0,64.0,111.0,189.0,2965.0
98,gRNA_1337,2036.0,599.0,8566.0,366.0,354.0,1470.0,368.0,53.0,303.0,97.0,89.0,130.0,2990.0
99,gRNA_1343,2161.0,527.0,7463.0,325.0,232.0,772.0,248.0,64.0,320.0,154.0,111.0,189.0,1939.0
101,gRNA_1376,1534.0,436.0,5029.0,194.0,306.0,634.0,255.0,46.0,456.0,305.0,73.0,105.0,2325.0
102,gRNA_1381,3164.0,1048.0,11384.0,601.0,324.0,1143.0,398.0,149.0,517.0,210.0,252.0,251.0,4176.0
103,gRNA_1382,1115.0,288.0,3416.0,358.0,235.0,483.0,267.0,74.0,1463.0,97.0,107.0,304.0,2421.0
104,gRNA_1383,3868.0,1052.0,13882.0,641.0,561.0,2109.0,835.0,113.0,1372.0,198.0,229.0,304.0,4583.0
116,gRNA_1551,4821.0,1545.0,19998.0,797.0,629.0,1910.0,717.0,182.0,872.0,176.0,181.0,394.0,5988.0
122,gRNA_1726,1703.0,504.0,6280.0,499.0,429.0,947.0,414.0,85.0,1279.0,171.0,120.0,277.0,2445.0
128,gRNA_1977,1781.0,424.0,5525.0,555.0,395.0,828.0,335.0,86.0,570.0,141.0,97.0,160.0,2949.0
130,gRNA_2134,2852.0,772.0,10830.0,472.0,398.0,935.0,635.0,79.0,1092.0,238.0,57.0,214.0,3599.0
141,gRNA_2265,2229.0,759.0,8779.0,144.0,254.0,798.0,175.0,56.0,582.0,41.0,41.0,113.0,2102.0
149,gRNA_2385,6406.0,2661.0,32839.0,979.0,620.0,2381.0,771.0,128.0,834.0,363.0,167.0,279.0,7608.0
151,gRNA_2401,1132.0,340.0,4105.0,406.0,397.0,745.0,487.0,38.0,280.0,56.0,37.0,87.0,1964.0
182,gRNA_2474,575.0,143.0,2217.0,166.0,218.0,428.0,168.0,24.0,497.0,19.0,43.0,58.0,1413.0
212,gRNA_2569,1997.0,657.0,6505.0,229.0,151.0,450.0,183.0,40.0,465.0,58.0,100.0,89.0,2009.0
213,gRNA_2658,4529.0,1851.0,15172.0,423.0,300.0,1148.0,426.0,76.0,325.0,81.0,119.0,138.0,2400.0
218,gRNA_2703,1253.0,329.0,3788.0,156.0,146.0,510.0,201.0,26.0,276.0,42.0,42.0,71.0,1612.0
223,gRNA_2747,2585.0,766.0,8661.0,365.0,314.0,826.0,326.0,54.0,974.0,87.0,31.0,436.0,3696.0
230,gRNA_2775,3253.0,1413.0,18465.0,447.0,480.0,1265.0,413.0,84.0,1392.0,375.0,76.0,268.0,3929.0
234,gRNA_2810,2743.0,938.0,11897.0,268.0,336.0,848.0,219.0,57.0,428.0,67.0,71.0,124.0,3367.0
242,gRNA_3011,1770.0,396.0,5105.0,213.0,128.0,346.0,158.0,38.0,172.0,38.0,29.0,91.0,2551.0
243,gRNA_3012,1241.0,507.0,4507.0,372.0,479.0,712.0,280.0,131.0,856.0,111.0,126.0,164.0,2659.0
244,gRNA_3031,2255.0,786.0,6117.0,610.0,383.0,1635.0,452.0,92.0,829.0,118.0,313.0,354.0,3802.0
251,gRNA_3084,1578.0,678.0,6117.0,235.0,238.0,646.0,608.0,39.0,208.0,120.0,60.0,74.0,1634.0
