,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
0,gRNA_2,194.0,79.0,7.0,124.0,101.0,117.0,669.0,166.0,108.0,227.0,376.0,81.0,126.0,690.0
4,gRNA_85,1414.0,780.0,252.0,377.0,157.0,203.0,4044.0,327.0,652.0,724.0,306.0,726.0,472.0,2445.0
69,gRNA_871,8752.0,5327.0,1434.0,1267.0,1239.0,1025.0,8292.0,1270.0,695.0,2133.0,1633.0,1252.0,3302.0,5612.0
70,gRNA_895,466.0,328.0,74.0,206.0,143.0,174.0,1362.0,219.0,230.0,365.0,389.0,185.0,302.0,735.0
71,gRNA_896,897.0,591.0,154.0,466.0,293.0,249.0,2595.0,296.0,158.0,935.0,858.0,296.0,386.0,2595.0
79,gRNA_1000,1063.0,932.0,282.0,646.0,393.0,697.0,5148.0,702.0,320.0,1635.0,923.0,725.0,599.0,3994.0
86,gRNA_1036,336.0,323.0,89.0,242.0,181.0,112.0,1650.0,211.0,73.0,447.0,330.0,295.0,449.0,1847.0
94,gRNA_1149,938.0,824.0,159.0,193.0,138.0,246.0,2893.0,331.0,55.0,453.0,549.0,473.0,300.0,1822.0
97,gRNA_1322,1956.0,1474.0,301.0,591.0,356.0,422.0,4661.0,527.0,379.0,1074.0,932.0,896.0,704.0,2965.0
98,gRNA_1337,622.0,466.0,106.0,251.0,203.0,322.0,2737.0,344.0,158.0,1028.0,652.0,323.0,508.0,2990.0
99,gRNA_1343,772.0,558.0,112.0,287.0,161.0,221.0,2142.0,238.0,188.0,588.0,421.0,383.0,431.0,1939.0
101,gRNA_1376,429.0,240.0,74.0,161.0,214.0,214.0,1842.0,309.0,203.0,751.0,452.0,284.0,261.0,2325.0
102,gRNA_1381,681.0,619.0,156.0,337.0,345.0,366.0,6169.0,464.0,203.0,680.0,1703.0,584.0,503.0,4176.0
103,gRNA_1382,409.0,242.0,99.0,361.0,218.0,308.0,2514.0,536.0,310.0,697.0,379.0,575.0,380.0,2421.0
104,gRNA_1383,839.0,462.0,167.0,606.0,436.0,465.0,4477.0,632.0,376.0,2095.0,1063.0,708.0,1024.0,4583.0
116,gRNA_1551,1917.0,1202.0,240.0,622.0,444.0,552.0,6269.0,920.0,346.0,1415.0,1554.0,813.0,962.0,5988.0
122,gRNA_1726,528.0,424.0,109.0,568.0,477.0,332.0,6258.0,877.0,320.0,1408.0,885.0,597.0,969.0,2445.0
128,gRNA_1977,618.0,347.0,66.0,372.0,304.0,396.0,4748.0,709.0,309.0,1303.0,613.0,595.0,659.0,2949.0
130,gRNA_2134,947.0,650.0,102.0,427.0,335.0,527.0,3233.0,550.0,368.0,672.0,574.0,361.0,406.0,3599.0
141,gRNA_2265,1616.0,1135.0,293.0,212.0,148.0,161.0,3077.0,257.0,132.0,309.0,231.0,806.0,233.0,2102.0
149,gRNA_2385,3857.0,2397.0,660.0,866.0,621.0,881.0,7389.0,1467.0,1458.0,2051.0,1608.0,882.0,1784.0,7608.0
151,gRNA_2401,442.0,193.0,47.0,318.0,147.0,270.0,2615.0,359.0,150.0,394.0,608.0,351.0,1063.0,1964.0
182,gRNA_2474,192.0,113.0,23.0,117.0,80.0,101.0,1085.0,140.0,67.0,337.0,211.0,136.0,112.0,1413.0
212,gRNA_2569,1862.0,1159.0,342.0,470.0,341.0,487.0,4810.0,722.0,226.0,904.0,963.0,504.0,648.0,2009.0
213,gRNA_2658,2825.0,1646.0,648.0,445.0,288.0,469.0,4269.0,646.0,158.0,1942.0,713.0,495.0,745.0,2400.0
218,gRNA_2703,420.0,234.0,66.0,132.0,151.0,184.0,2364.0,266.0,217.0,552.0,227.0,353.0,349.0,1612.0
