,sgRNA,d15-1,d15-2,d15-3,spleen2,spleen3,spleen4,spleen5_1,bm3,bm2,bm4,bm5,input
1,gRNA_4,811.0,221691.0,73789.0,1002.0,426.0,243.0,10910.0,116.0,1137.0,208.0,776.0,1033.0
2,gRNA_19,151.0,31271.0,15133.0,594.0,213.0,342.0,5320.0,80.0,293.0,532.0,43.0,445.0
3,gRNA_21,319.0,60803.0,25668.0,691.0,283.0,369.0,22569.0,409.0,117.0,611.0,341.0,457.0
5,gRNA_289,481.0,106090.0,42859.0,411.0,362.0,154.0,23237.0,107.0,192.0,97.0,1917.0,714.0
6,gRNA_295,69.0,12186.0,5748.0,670.0,7.0,79.0,1631.0,1.0,387.0,31.0,15.0,69.0
7,gRNA_303,207.0,33558.0,10802.0,40.0,69.0,102.0,449.0,11.0,36.0,729.0,47.0,299.0
8,gRNA_304,127.0,33703.0,10583.0,945.0,108.0,55.0,2493.0,8.0,123.0,31.0,116.0,306.0
9,gRNA_311,132.0,31098.0,10824.0,78.0,63.0,258.0,9848.0,6.0,9.0,670.0,90.0,349.0
10,gRNA_319,174.0,21461.0,8653.0,388.0,111.0,85.0,5452.0,22.0,378.0,22.0,68.0,342.0
11,gRNA_324,427.0,67352.0,29697.0,907.0,474.0,266.0,6533.0,17.0,738.0,341.0,444.0,671.0
12,gRNA_335,94.0,21506.0,9193.0,289.0,104.0,142.0,4457.0,54.0,166.0,133.0,82.0,201.0
13,gRNA_338,405.0,101038.0,33062.0,703.0,122.0,1181.0,48851.0,236.0,201.0,1175.0,569.0,577.0
14,gRNA_349,311.0,63158.0,32150.0,409.0,297.0,232.0,59744.0,30.0,213.0,483.0,308.0,464.0
15,gRNA_362,314.0,83850.0,26647.0,321.0,131.0,345.0,531.0,11.0,53.0,519.0,17.0,398.0
16,gRNA_366,522.0,124318.0,50315.0,147.0,143.0,418.0,1879.0,51.0,40.0,1221.0,222.0,587.0
17,gRNA_381,288.0,62354.0,27658.0,412.0,41.0,241.0,4945.0,4.0,598.0,241.0,225.0,589.0
18,gRNA_382,782.0,168710.0,55284.0,486.0,327.0,760.0,23240.0,125.0,244.0,610.0,154.0,975.0
