,sgRNA,d15-1,d15-2,d15-3,bm2,spleen1,spleen2,spleen3,bm1,spleen4,spleen5,bm5,bm4,bm3,input
1,gRNA_4,209.0,530.0,25442.0,182.0,308.0,157.0,360.0,16305.0,33848.0,1843.0,75.0,413.0,387.0,1033.0
2,gRNA_19,62.0,113.0,5202.0,135.0,293.0,46.0,174.0,25485.0,14156.0,2423.0,240.0,17.0,610.0,445.0
3,gRNA_21,84.0,197.0,11929.0,18.0,205.0,68.0,254.0,9130.0,16969.0,1157.0,16.0,549.0,790.0,457.0
5,gRNA_289,184.0,291.0,16834.0,3.0,126.0,25.0,118.0,6281.0,13820.0,317.0,0.0,120.0,81.0,714.0
6,gRNA_295,25.0,53.0,3842.0,0.0,25.0,0.0,1.0,505.0,2.0,140.0,13.0,0.0,0.0,69.0
7,gRNA_303,44.0,143.0,6940.0,0.0,162.0,7.0,50.0,6769.0,6251.0,1040.0,2.0,58.0,200.0,299.0
8,gRNA_304,34.0,88.0,3965.0,10.0,58.0,36.0,6.0,5229.0,12075.0,3077.0,27.0,245.0,5.0,306.0
9,gRNA_311,33.0,72.0,2734.0,5.0,15.0,16.0,24.0,1060.0,5172.0,190.0,1.0,16.0,14.0,349.0
10,gRNA_319,40.0,105.0,4582.0,80.0,360.0,71.0,168.0,140723.0,12264.0,2054.0,21.0,319.0,106.0,342.0
11,gRNA_324,104.0,172.0,9639.0,38.0,780.0,75.0,90.0,31449.0,3456.0,5950.0,284.0,80.0,162.0,671.0
12,gRNA_335,24.0,65.0,3089.0,36.0,323.0,27.0,34.0,8845.0,5831.0,532.0,28.0,268.0,43.0,201.0
13,gRNA_338,115.0,203.0,11915.0,48.0,1726.0,223.0,194.0,65632.0,58161.0,875.0,33.0,304.0,1120.0,577.0
14,gRNA_349,114.0,150.0,7753.0,72.0,622.0,142.0,44.0,35487.0,29109.0,3566.0,40.0,25.0,26.0,464.0
15,gRNA_362,54.0,165.0,8348.0,21.0,104.0,10.0,74.0,4262.0,17989.0,1184.0,57.0,134.0,75.0,398.0
16,gRNA_366,86.0,259.0,10104.0,9.0,80.0,21.0,55.0,54589.0,20937.0,692.0,11.0,315.0,128.0,587.0
17,gRNA_381,84.0,254.0,10869.0,33.0,107.0,30.0,96.0,61335.0,15921.0,1340.0,90.0,219.0,539.0,589.0
