Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,9478,0,9478,9456,3,19,7664,2,3,1812,0,1793,19,0.02110149820637265,0.03165224730955898,80.86094112682001,19.117957374973624,0.0,18.917493142013083,0.2004642329605402
gRNA_1004,2,0,2,1,0,1,1,0,0,1,0,0,1,0.0,0.0,50.0,50.0,0.0,0.0,50.0
gRNA_10049,6001,9,5992,5981,4,7,4293,1,4,1698,0,1691,7,0.016688918558077435,0.06675567423230974,71.64552736982644,28.33778371161549,0.0,28.220961281708945,0.11682242990654204
gRNA_1006,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,436,1,435,435,0,0,415,0,0,20,0,20,0,0.0,0.0,95.40229885057471,4.597701149425287,0.0,4.597701149425287,0.0
gRNA_10107,3308,1,3307,3303,2,2,3016,1,2,290,1,113,176,0.03023888720895071,0.06047777441790142,91.20048382219534,8.769277290595706,0.03023888720895071,3.41699425461143,5.3220441487753245
gRNA_1019,4,0,4,3,0,1,2,0,0,2,0,1,1,0.0,0.0,50.0,50.0,0.0,25.0,25.0
gRNA_1023,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,3,0,3,3,0,0,2,0,0,1,0,1,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10278,2,0,2,1,0,1,0,0,0,2,0,1,1,0.0,0.0,0.0,100.0,0.0,50.0,50.0
gRNA_1032,4,0,4,3,1,0,3,0,1,1,0,1,0,0.0,25.0,75.0,25.0,0.0,25.0,0.0
gRNA_1034,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,4995,0,4995,4991,4,0,1219,0,4,3776,34,3741,1,0.0,0.08008008008008008,24.404404404404403,75.5955955955956,0.6806806806806807,74.89489489489489,0.02002002002002002
gRNA_10343,4387,43,4344,4320,5,19,3668,3,5,673,0,654,19,0.06906077348066297,0.11510128913443832,84.43830570902394,15.492633517495397,0.0,15.05524861878453,0.43738489871086556
gRNA_1036,467,0,467,467,0,0,415,0,0,52,0,52,0,0.0,0.0,88.86509635974305,11.134903640256958,0.0,11.134903640256958,0.0
gRNA_10363,2562,0,2562,2550,2,10,2430,2,2,130,12,108,10,0.078064012490242,0.078064012490242,94.84777517564403,5.07416081186573,0.468384074941452,4.215456674473068,0.39032006245121
gRNA_10424,2,0,2,1,1,0,1,0,1,1,0,1,0,0.0,50.0,50.0,50.0,0.0,50.0,0.0
gRNA_10425,4,0,4,4,0,0,3,0,0,1,1,0,0,0.0,0.0,75.0,25.0,25.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10504,4722,178,4544,4540,4,0,2366,2,4,2176,2,2174,0,0.04401408450704226,0.08802816901408451,52.068661971830984,47.88732394366197,0.04401408450704226,47.84330985915493,0.0
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,840,0,840,839,1,0,765,0,1,75,0,75,0,0.0,0.11904761904761905,91.07142857142857,8.928571428571429,0.0,8.928571428571429,0.0
gRNA_10548,662,0,662,660,2,0,598,2,2,62,0,62,0,0.3021148036253776,0.3021148036253776,90.33232628398792,9.365558912386707,0.0,9.365558912386707,0.0
gRNA_1055,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10596,1754,0,1754,1719,6,29,1391,5,6,358,1,326,31,0.28506271379703535,0.34207525655644244,79.30444697833524,20.410490307867732,0.05701254275940707,18.586088939566707,1.767388825541619
gRNA_10598,672,0,672,662,2,8,551,1,2,120,0,112,8,0.1488095238095238,0.2976190476190476,81.99404761904762,17.857142857142858,0.0,16.666666666666664,1.1904761904761905
gRNA_10617,21804,0,21804,21795,4,5,19945,3,4,1856,1,1849,6,0.01375894331315355,0.0183452577508714,91.47404146028252,8.51219959640433,0.00458631443771785,8.480095395340305,0.0275178866263071
gRNA_1062,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,6038,0,6038,5928,25,85,3972,10,25,2056,0,1971,85,0.16561775422325273,0.41404438555813183,65.783371977476,34.051010268300764,0.0,32.64325935740312,1.4077509108976483
