Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,11103,0,11103,11079,13,11,8412,1,13,2690,0,2679,11,0.009006574799603711,0.11708547239484823,75.76330721426642,24.22768621093398,0.0,24.128613888138343,0.09907232279564081
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,6566,14,6552,6500,47,5,4777,1,47,1774,0,1684,90,0.015262515262515262,0.7173382173382173,72.90903540903541,27.075702075702075,0.0,25.7020757020757,1.3736263736263736
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,1475,285,1190,1157,33,0,901,2,33,287,0,287,0,0.16806722689075632,2.773109243697479,75.71428571428571,24.11764705882353,0.0,24.11764705882353,0.0
gRNA_10107,3683,3,3680,3667,11,2,3443,8,11,229,0,179,50,0.21739130434782608,0.29891304347826086,93.55978260869566,6.2228260869565215,0.0,4.864130434782608,1.358695652173913
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1032,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,2218,370,1848,1834,11,3,1702,10,11,136,1,132,3,0.5411255411255411,0.5952380952380952,92.09956709956711,7.35930735930736,0.05411255411255411,7.142857142857142,0.16233766233766234
gRNA_10343,7290,19,7271,7215,30,26,6113,20,30,1138,0,1112,26,0.2750653280154037,0.4125979920231055,84.07371750790813,15.651217164076467,0.0,15.293632237656443,0.35758492642002476
gRNA_1036,458,11,447,440,7,0,373,7,7,67,0,67,0,1.5659955257270695,1.5659955257270695,83.44519015659955,14.988814317673377,0.0,14.988814317673377,0.0
gRNA_10363,2870,29,2841,2797,30,14,2632,21,30,188,32,142,14,0.7391763463569165,1.0559662090813093,92.64343541006687,6.6173882435762055,1.1263639563533967,4.998240056318197,0.4927842309046111
gRNA_10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
