Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,3373,0,3373,3373,0,0,2892,0,0,481,0,481,0,0.0,0.0,85.73969759857694,14.260302401423067,0.0,14.260302401423067,0.0
gRNA_1004,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10049,2306,0,2306,2304,1,1,1801,0,1,505,0,504,1,0.0,0.04336513443191674,78.10060711188204,21.89939288811795,0.0,21.856027753686035,0.04336513443191674
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,81,0,81,80,1,0,75,0,1,6,0,6,0,0.0,1.2345679012345678,92.5925925925926,7.4074074074074066,0.0,7.4074074074074066,0.0
gRNA_10107,4445,0,4445,4445,0,0,4221,0,0,224,0,224,0,0.0,0.0,94.96062992125984,5.039370078740157,0.0,5.039370078740157,0.0
gRNA_1019,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,1,0,1,0,1,0,0,0,1,1,0,0,1,0.0,100.0,0.0,100.0,0.0,0.0,100.0
gRNA_1034,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,40334,0,40334,40314,7,13,8549,5,7,31780,0,31766,14,0.012396489314226211,0.017355085039916694,21.195517429463976,78.7920860812218,0.0,78.75737591114196,0.03471017007983339
gRNA_10343,7549,0,7549,7515,11,23,6283,0,11,1266,0,1243,23,0.0,0.14571466419393297,83.22956683004371,16.770433169956288,0.0,16.465757053914427,0.30467611604185985
gRNA_1036,1066,0,1066,1065,1,0,889,0,1,177,0,176,1,0.0,0.09380863039399624,83.39587242026266,16.604127579737334,0.0,16.51031894934334,0.09380863039399624
gRNA_10363,347,0,347,346,0,1,329,0,0,18,0,17,1,0.0,0.0,94.81268011527378,5.187319884726225,0.0,4.899135446685879,0.2881844380403458
gRNA_10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10425,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,3053,0,3053,529,2524,0,467,1,2524,2585,0,2585,0,0.03275466754012447,82.67278087127416,15.296429741238127,84.67081559122175,0.0,84.67081559122175,0.0
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,936,0,936,933,2,1,827,1,2,108,0,107,1,0.10683760683760685,0.2136752136752137,88.35470085470085,11.538461538461538,0.0,11.431623931623932,0.10683760683760685
gRNA_10548,1209,0,1209,262,947,0,249,834,947,126,0,126,0,68.98263027295285,78.32919768403639,20.595533498759306,10.421836228287841,0.0,10.421836228287841,0.0
gRNA_1055,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10596,2633,0,2633,2540,13,80,1932,5,13,696,0,616,80,0.189897455374098,0.49373338397265476,73.37637675655147,26.43372578807444,0.0,23.395366502088873,3.038359285985568
gRNA_10598,66,0,66,66,0,0,53,0,0,13,0,13,0,0.0,0.0,80.3030303030303,19.696969696969695,0.0,19.696969696969695,0.0
gRNA_10617,3277,0,3277,1563,1712,2,1409,1638,1712,230,0,228,2,49.98474214220324,52.2429050961245,42.99664327128471,7.0186145865120535,0.0,6.9575831553249925,0.061031431187061336
gRNA_1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10634,1192,0,1192,1162,9,21,749,8,9,435,0,414,21,0.6711409395973155,0.7550335570469799,62.83557046979866,36.49328859060403,0.0,34.73154362416108,1.761744966442953
gRNA_10657,262,0,262,260,0,2,149,0,0,113,0,111,2,0.0,0.0,56.87022900763359,43.12977099236641,0.0,42.36641221374045,0.7633587786259541
gRNA_10664,3639,0,3639,3634,4,1,2650,2,4,987,0,986,1,0.05496015388843088,0.10992030777686176,72.82220390217093,27.122835943940643,0.0,27.095355866996428,0.02748007694421544
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
