Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,12687,0,12687,8698,3977,12,4962,0,3977,7725,5,7706,14,0.0,31.34704815953338,39.110900922203825,60.889099077796175,0.03941042011507843,60.73933948135887,0.1103491763222196
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,7366,0,7366,5918,1439,9,4616,0,1439,2750,1,2740,9,0.0,19.535704588650557,62.66630464295412,37.33369535704589,0.013575889220743959,37.19793646483845,0.12218300298669563
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,4706,0,4706,595,4110,1,575,0,4110,4131,0,4130,1,0.0,87.33531661708457,12.218444538886528,87.78155546111347,0.0,87.7603059923502,0.021249468763280918
gRNA_10107,5041,0,5041,4960,79,2,3666,69,79,1306,0,1304,2,1.3687760365006942,1.5671493751239833,72.72366593929776,25.90755802420155,0.0,25.867883356476888,0.0396746677246578
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,3865,0,3865,268,3597,0,260,2641,3597,964,0,964,0,68.33117723156533,93.06597671410091,6.727037516170762,24.941785252263905,0.0,24.941785252263905,0.0
gRNA_10343,6138,0,6138,4132,1986,20,2351,1584,1986,2203,0,2183,20,25.806451612903224,32.355816226783965,38.302378624959275,35.8911697621375,0.0,35.56533072662105,0.3258390355164549
gRNA_1036,364,0,364,116,248,0,96,14,248,254,0,254,0,3.8461538461538463,68.13186813186813,26.373626373626376,69.78021978021978,0.0,69.78021978021978,0.0
gRNA_10363,3542,0,3542,1122,2410,10,1069,2326,2410,147,0,137,10,65.66911349520045,68.04065499717674,30.18068887634105,4.150197628458498,0.0,3.8678712591756073,0.282326369282891
gRNA_10424,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10429,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10432,1,0,1,1,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,1176,0,1176,1022,154,0,925,141,154,110,0,110,0,11.989795918367346,13.095238095238097,78.65646258503402,9.35374149659864,0.0,9.35374149659864,0.0
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,1321,0,1321,942,376,3,871,362,376,88,0,85,3,27.403482210446633,28.463285389856168,65.93489780469342,6.661619984859955,0.0,6.43451930355791,0.22710068130204392
gRNA_10548,2159,0,2159,454,1705,0,440,1518,1705,201,0,201,0,70.31032885595184,78.97174617878647,20.379805465493284,9.309865678554887,0.0,9.309865678554887,0.0
gRNA_1055,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10596,3550,0,3550,3420,55,75,2663,2,55,885,0,810,75,0.056338028169014086,1.5492957746478873,75.01408450704226,24.929577464788732,0.0,22.816901408450704,2.112676056338028
