Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,9786,0,9786,6622,3155,9,27,0,3155,9759,2,9748,9,0.0,32.23993460044962,0.27590435315757206,99.72409564684243,0.020437359493153485,99.61169016963008,0.09196811771919068
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,33718,0,33718,3192,30450,76,366,2,30450,33350,0,33274,76,0.005931549913992526,90.30784744053622,1.0854736342606324,98.90859481582538,0.0,98.68319591909366,0.225398896731716
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,12925,0,12925,146,12774,5,136,733,12774,12056,0,12051,5,5.671179883945841,98.83172147001935,1.0522243713733075,93.27659574468085,0.0,93.23791102514507,0.03868471953578336
gRNA_10107,7384,0,7384,389,6990,5,218,1055,6990,6111,0,5963,148,14.287648970747563,94.66413867822318,2.952329360780065,82.76002166847238,0.0,80.75568797399784,2.0043336944745396
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1034,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,19560,0,19560,227,19320,13,222,18078,19320,1260,0,1247,13,92.42331288343559,98.77300613496932,1.1349693251533743,6.441717791411043,0.0,6.375255623721881,0.06646216768916156
gRNA_10343,3862,0,3862,942,2911,9,776,2324,2911,762,0,753,9,60.17607457276023,75.37545313309167,20.093215950284826,19.730709476954946,0.0,19.49766960124288,0.2330398757120663
gRNA_1036,4599,0,4599,3,4596,0,1,3629,4596,969,0,969,0,78.90845836051315,99.93476842791911,0.021743857360295715,21.06979778212655,0.0,21.06979778212655,0.0
gRNA_10363,5385,0,5385,130,5253,2,126,3808,5253,1451,27,1422,2,70.71494893221913,97.54874651810584,2.33983286908078,26.945218198700093,0.5013927576601671,26.4066852367688,0.03714020427112349
gRNA_10424,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10429,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10438,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,132,0,132,129,2,1,121,2,2,9,0,8,1,1.5151515151515151,1.5151515151515151,91.66666666666666,6.8181818181818175,0.0,6.0606060606060606,0.7575757575757576
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,28622,0,28622,555,28061,6,412,22688,28061,5522,0,5411,111,79.26769617776536,98.03996925441967,1.4394521696597025,19.292851652574942,0.0,18.90503808259381,0.38781356998113337
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,4644,0,4644,3,4639,2,2,180,4639,4462,0,4460,2,3.875968992248062,99.89233419465977,0.04306632213608958,96.08096468561584,0.0,96.03789836347975,0.04306632213608958
gRNA_10548,2170,0,2170,0,2170,0,0,1671,2170,499,0,499,0,77.00460829493088,100.0,0.0,22.995391705069125,0.0,22.995391705069125,0.0
gRNA_1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10596,3653,0,3653,5,3630,18,3,524,3630,3126,0,3108,18,14.344374486723241,99.37038050917054,0.08212428141253764,85.57350123186423,0.0,85.080755543389,0.4927456884752259
gRNA_10598,2118,0,2118,303,1814,1,0,1,1814,2117,0,2116,1,0.047214353163361665,85.64683663833806,0.0,99.95278564683665,0.0,99.90557129367328,0.047214353163361665
gRNA_10617,4808,0,4808,1552,3256,0,6,3089,3256,1713,0,1713,0,64.24708818635607,67.72046589018302,0.12479201331114809,35.62811980033278,0.0,35.62811980033278,0.0
gRNA_1062,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,2729,0,2729,63,2467,199,30,1861,2467,838,0,639,199,68.19347746427262,90.39941370465372,1.0993037742762917,30.70721876145108,0.0,23.415170392085013,7.292048369366068
gRNA_10657,1555,0,1555,2,1551,2,1,1136,1551,418,0,416,2,73.05466237942122,99.74276527331189,0.06430868167202572,26.881028938906752,0.0,26.7524115755627,0.12861736334405144
gRNA_10664,4236,0,4236,618,3618,0,469,2922,3618,845,0,845,0,68.98016997167139,85.41076487252126,11.071765816808309,19.948064211520304,0.0,19.948064211520304,0.0
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10781,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10909,16897,0,16897,15676,1163,58,81,892,1163,15924,0,15866,58,5.279043617210156,6.8828786175060666,0.47937503698881456,94.24158134580102,0.0,93.8983251464757,0.34325619932532403
gRNA_10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10969,13886,0,13886,87,13795,4,81,13520,13795,285,0,281,4,97.364251764367,99.34466369004753,0.583321330836814,2.0524269047961976,0.0,2.023620913149935,0.02880599164626242
gRNA_10971,2270,0,2270,376,1894,0,0,1878,1894,392,354,16,22,82.73127753303964,83.43612334801762,0.0,17.26872246696035,15.594713656387665,0.7048458149779736,0.9691629955947136
gRNA_10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11071,4990,0,4990,122,4868,0,0,4474,4868,516,111,394,11,89.65931863727455,97.55511022044088,0.0,10.340681362725451,2.224448897795591,7.895791583166332,0.22044088176352705
gRNA_11077,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11110,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1116,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11163,60,0,60,32,8,20,32,8,8,20,0,0,20,13.333333333333334,13.333333333333334,53.333333333333336,33.33333333333333,0.0,0.0,33.33333333333333
gRNA_11165,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,14100,0,14100,4190,9901,9,1349,24,9901,12727,0,12718,9,0.1702127659574468,70.21985815602837,9.567375886524824,90.26241134751774,0.0,90.19858156028369,0.06382978723404255
gRNA_1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11284,184,0,184,0,184,0,0,7,184,177,0,177,0,3.804347826086957,100.0,0.0,96.19565217391305,0.0,96.19565217391305,0.0
gRNA_11285,971,0,971,0,970,1,0,938,970,33,0,32,1,96.60144181256437,99.89701338825952,0.0,3.398558187435633,0.0,3.2955715756951593,0.10298661174047373
gRNA_11305,3,0,3,0,3,0,0,0,3,3,0,3,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11315,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11324,8938,0,8938,64,8756,118,50,6983,8756,1905,0,1787,118,78.12709778473932,97.96375027970463,0.5594092638174089,21.313492951443276,0.0,19.99328708883419,1.320205862609085
gRNA_11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
