Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,28201,47,28154,14837,13309,8,531,13,13309,27610,31,27563,16,0.04617461106769908,47.2721460538467,1.8860552674575548,98.06777012147475,0.11010868793066705,97.90083114299922,0.05683029054486041
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,46422,4,46418,10559,35521,338,751,837,35521,44830,0,43810,1020,1.8031798009392908,76.52419320091343,1.6179068464819681,96.57891335257874,0.0,94.38148993924771,2.1974234133310353
gRNA_1006,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,27627,0,27627,1006,26614,7,268,1988,26614,25371,312,25027,32,7.195859123321388,96.33329713685887,0.9700655156187787,91.83407536105983,1.1293300032576827,90.58891663951931,0.11582871828283925
gRNA_10107,15060,38,15022,5964,9043,15,1566,4326,9043,9130,15,8506,609,28.7977632805219,60.19837571561709,10.424710424710424,60.77752629476767,0.0998535481294102,56.62361869258421,4.054054054054054
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10271,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10342,15795,401,15394,1002,14013,379,960,12712,14013,1722,0,1342,380,82.57762764713524,91.0289723268806,6.236195920488502,11.18617643237625,0.0,8.717682213849551,2.4684942185266987
gRNA_10343,17216,212,17004,4895,12006,103,2382,9206,12006,5416,17,5288,111,54.140202305339926,70.60691601976006,14.00846859562456,31.851329099035517,0.09997647612326512,31.098565043519173,0.652787579393084
gRNA_1036,6415,140,6275,20,6255,0,17,3623,6255,2635,20,2611,4,57.73705179282869,99.6812749003984,0.27091633466135456,41.99203187250996,0.3187250996015936,41.60956175298805,0.06374501992031872
gRNA_10363,16202,4,16198,394,15736,68,311,12200,15736,3687,7,3612,68,75.31794048647981,97.14779602420052,1.9199901222373132,22.762069391282875,0.043215211754537596,22.2990492653414,0.41980491418693666
gRNA_10424,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,63,0,63,63,0,0,60,0,0,3,0,3,0,0.0,0.0,95.23809523809523,4.761904761904762,0.0,4.761904761904762,0.0
gRNA_10429,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10504,17998,736,17262,1520,15722,20,593,6319,15722,10350,739,9502,109,36.60641872320704,91.0786699107867,3.4352913914957712,59.95828988529719,4.281079828525084,55.045765264743366,0.6314447920287337
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,14814,47,14767,82,14672,13,72,3267,14672,11428,42,11372,14,22.123654093587053,99.35667366425137,0.48757364393580277,77.38877226247715,0.2844179589625516,77.00954831719375,0.09480598632085055
gRNA_10548,9909,0,9909,162,9742,5,157,6647,9742,3105,2,3098,5,67.08043193056817,98.31466343727924,1.5844182056716116,31.33514986376022,0.02018367140982945,31.264507013825813,0.05045917852457363
gRNA_1055,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10596,19817,0,19817,1642,18114,61,344,1790,18114,17683,0,17617,66,9.032648735933794,91.40636826966745,1.7358833324923046,89.2314679315739,0.0,88.89842054801433,0.3330473835595701
gRNA_10598,29808,21,29787,3898,25855,34,717,614,25855,28456,34,28324,98,2.061301910229295,86.79961056836876,2.407090341424111,95.53160774834659,0.11414375398663845,95.08846140933964,0.3290025850203109
gRNA_10617,38639,13,38626,4774,33685,167,1765,26818,33685,10043,185,8866,992,69.42991767203438,87.20809817221561,4.569460984828871,26.00062134313675,0.4789520012426863,22.953451043338685,2.568218298555377
gRNA_1062,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,10875,150,10725,301,10008,416,147,9274,10008,1304,0,888,416,86.47086247086247,93.31468531468532,1.3706293706293706,12.158508158508159,0.0,8.27972027972028,3.878787878787879
gRNA_10657,6238,3,6235,25,5840,370,11,4735,5840,1489,1,1118,370,75.94226142742582,93.66479550922213,0.1764234161988773,23.8813151563753,0.01603849238171612,17.93103448275862,5.934242181234964
gRNA_10664,22005,0,22005,2476,19528,1,1156,15187,19528,5662,4,4824,834,69.0161326971143,88.74346739377414,5.253351511020223,25.730515791865482,0.01817768688934333,21.922290388548056,3.790047716428085
gRNA_10738,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10750,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10781,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10909,17691,39,17652,836,16541,275,396,7036,16541,10220,138,9332,750,39.85950600498527,93.7060956265579,2.2433718558803535,57.897122139134375,0.7817811012916385,52.866530704736,4.2488103331067295
gRNA_10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10917,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10969,27234,0,27234,812,26416,6,717,25565,26416,952,8,938,6,93.87163104942351,96.99640155687743,2.6327384886538887,3.495630461922597,0.029375045898509217,3.4442241316002056,0.02203128442388191
gRNA_10971,7646,317,7329,94,7232,3,62,6572,7232,695,0,692,3,89.67116932732978,98.67649065356801,0.8459544276163187,9.482876245053895,0.0,9.441942966298267,0.04093327875562833
gRNA_10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11071,10098,2,10096,638,9371,87,80,6696,9371,3320,17,3193,110,66.32329635499208,92.8189381933439,0.7923930269413629,32.88431061806656,0.16838351822503964,31.626386687797147,1.0895404120443741
gRNA_11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11110,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11118,107,0,107,107,0,0,72,0,0,35,0,35,0,0.0,0.0,67.28971962616822,32.71028037383177,0.0,32.71028037383177,0.0
gRNA_11120,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11149,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11165,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,27442,7,27435,3993,23334,108,372,6119,23334,20944,0,20629,315,22.303626754146162,85.05194095133953,1.3559322033898304,76.34044104246401,0.0,75.1922726444323,1.1481683980317114
gRNA_1128,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11284,7447,0,7447,15,7402,30,7,5162,7402,2278,0,2246,32,69.3165032899154,99.39572982409024,0.09399758291929637,30.589499127165304,0.0,30.159795890962805,0.4297032362024976
gRNA_11285,10066,5,10061,228,9824,9,175,8334,9824,1552,15,1526,11,82.83470827949509,97.64436934698341,1.7393897226915815,15.425901997813337,0.1490905476592784,15.16747838187059,0.10933306828347082
gRNA_11305,12467,12,12455,391,12064,0,4,104,12064,12347,0,11966,381,0.8350060216780409,96.86069851465275,0.03211561621838619,99.13287836210357,0.0,96.0738659173023,3.0590124448012848
gRNA_11315,1008,0,1008,287,721,0,258,614,721,136,0,136,0,60.912698412698404,71.52777777777779,25.595238095238095,13.492063492063492,0.0,13.492063492063492,0.0
gRNA_11324,11241,1,11240,459,10543,238,133,6808,10543,4299,0,4053,246,60.569395017793596,93.79893238434164,1.1832740213523132,38.24733096085409,0.0,36.05871886120997,2.188612099644128
