Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,5194,0,5194,4957,234,3,871,0,234,4323,0,4319,4,0.0,4.505198305737389,16.769349249133615,83.23065075086639,0.0,83.15363881401618,0.07701193685021178
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,9286,0,9286,702,8572,12,48,908,8572,8330,0,8318,12,9.778160671979323,92.31100581520568,0.5169071720870128,89.70493215593366,0.0,89.5757053629119,0.1292267930217532
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,3420,0,3420,112,3308,0,19,1,3308,3400,0,3400,0,0.029239766081871347,96.72514619883042,0.5555555555555556,99.41520467836257,0.0,99.41520467836257,0.0
gRNA_10107,1324,0,1324,246,1078,0,97,552,1078,675,0,675,0,41.69184290030212,81.41993957703929,7.326283987915408,50.98187311178247,0.0,50.98187311178247,0.0
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,4591,1,4590,0,4590,0,0,2560,4590,2030,1,2029,0,55.773420479302835,100.0,0.0,44.226579520697165,0.021786492374727667,44.20479302832244,0.0
gRNA_10343,2426,0,2426,1877,549,0,1681,404,549,341,0,341,0,16.65292662819456,22.62984336356142,69.29101401483923,14.0560593569662,0.0,14.0560593569662,0.0
gRNA_1036,778,0,778,2,776,0,2,507,776,269,0,269,0,65.16709511568124,99.74293059125964,0.2570694087403599,34.5758354755784,0.0,34.5758354755784,0.0
gRNA_10363,5050,0,5050,1,5049,0,1,4339,5049,710,0,710,0,85.92079207920791,99.98019801980197,0.019801980198019802,14.059405940594061,0.0,14.059405940594061,0.0
gRNA_10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,5586,0,5586,35,5548,3,31,2676,5548,2879,0,2876,3,47.90547798066595,99.31972789115646,0.5549588256355173,51.539563193698534,0.0,51.485857500895094,0.05370569280343716
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,9143,0,9143,0,9143,0,0,45,9143,9098,0,9098,0,0.4921798096904736,100.0,0.0,99.50782019030953,0.0,99.50782019030953,0.0
gRNA_10548,2252,0,2252,0,2252,0,0,1709,2252,543,0,543,0,75.88809946714032,100.0,0.0,24.111900532859682,0.0,24.111900532859682,0.0
gRNA_1055,92,0,92,91,0,1,88,0,0,4,0,3,1,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,3.260869565217391,1.0869565217391304
gRNA_10596,4780,0,4780,48,4722,10,0,82,4722,4698,0,4688,10,1.715481171548117,98.78661087866108,0.0,98.28451882845188,0.0,98.07531380753139,0.20920502092050208
gRNA_10598,2665,0,2665,6,2656,3,4,2,2656,2659,0,2656,3,0.075046904315197,99.66228893058161,0.150093808630394,99.77485928705441,0.0,99.66228893058161,0.1125703564727955
gRNA_10617,4156,0,4156,1,4154,1,1,2663,4154,1492,0,1491,1,64.07603464870067,99.95187680461981,0.024061597690086624,35.899903753609244,0.0,35.87584215591915,0.024061597690086624
gRNA_1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10634,786,0,786,6,751,29,3,703,751,80,0,51,29,89.44020356234097,95.54707379134861,0.38167938931297707,10.178117048346055,0.0,6.488549618320611,3.689567430025445
gRNA_10657,756,0,756,0,755,1,0,729,755,27,0,26,1,96.42857142857143,99.86772486772487,0.0,3.571428571428571,0.0,3.439153439153439,0.13227513227513227
gRNA_10664,7617,0,7617,21,7595,1,16,6258,7595,1343,0,1342,1,82.15833005120126,99.71117237757647,0.2100564526716555,17.631613496127084,0.0,17.618484967835105,0.01312852829197847
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10775,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10781,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10784,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
