Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,8351,0,8351,7586,762,3,234,0,762,8117,5,8108,4,0.0,9.124655729852712,2.802059633576817,97.19794036642318,0.05987306909352173,97.09016884205485,0.047898455274817384
gRNA_1004,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10049,15591,0,15591,2093,13465,33,363,1,13465,15227,0,15193,34,0.0064139567699313706,86.3639279071259,2.3282663074850873,97.66531973574499,0.0,97.44724520556731,0.21807453017766662
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,14810,0,14810,389,14419,2,1,429,14419,14380,0,14378,2,2.8966914247130315,97.35989196488859,0.00675219446320054,97.09655638082377,0.0,97.08305199189736,0.01350438892640108
gRNA_10107,30998,0,30998,1519,29469,10,639,4686,29469,25673,0,25418,255,15.117104329311568,95.06742370475514,2.0614233176333956,82.82147235305504,0.0,81.99883863475063,0.8226337183044068
gRNA_1019,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1023,252,0,252,252,0,0,226,0,0,26,0,26,0,0.0,0.0,89.68253968253968,10.317460317460316,0.0,10.317460317460316,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10342,11213,0,11213,9,10964,240,9,9736,10964,1468,0,1228,240,86.827789173281,97.77936323909748,0.08026397930972977,13.091946847409258,0.0,10.951574065816464,2.140372781592794
gRNA_10343,10427,0,10427,4625,5763,39,2628,4143,5763,3656,0,3617,39,39.733384482593266,55.269972187589914,25.203797832550112,35.062817684856626,0.0,34.68878872158818,0.3740289632684377
gRNA_1036,2956,0,2956,22,2934,0,20,2016,2934,920,13,907,0,68.20027063599458,99.25575101488498,0.6765899864682002,31.123139377537214,0.4397834912043302,30.68335588633288,0.0
gRNA_10363,6575,0,6575,298,6272,5,281,4947,6272,1347,112,1227,8,75.23954372623575,95.3916349809886,4.273764258555133,20.486692015209126,1.7034220532319393,18.661596958174904,0.12167300380228137
gRNA_10424,6,0,6,4,2,0,4,0,2,2,0,2,0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10425,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10438,2,0,2,0,2,0,0,0,2,2,0,2,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10504,14457,0,14457,787,13639,31,4,6270,13639,8183,0,7372,811,43.36999377464204,94.3418413225427,0.027668257591478177,56.60233796776648,0.0,50.99259874109428,5.6097392266722
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,8232,0,8232,123,8105,4,112,228,8105,7892,0,7888,4,2.7696793002915454,98.4572400388727,1.3605442176870748,95.86977648202138,0.0,95.82118561710399,0.048590864917395525
gRNA_10548,9230,0,9230,64,9163,3,59,6157,9163,3014,0,3011,3,66.70639219934995,99.27410617551463,0.6392199349945829,32.65438786565547,0.0,32.62188515709642,0.03250270855904659
gRNA_1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10596,6875,0,6875,565,6285,25,446,197,6285,6232,0,6207,25,2.8654545454545453,91.41818181818182,6.487272727272727,90.64727272727274,0.0,90.28363636363636,0.36363636363636365
gRNA_10598,10808,0,10808,880,9914,14,297,0,9914,10511,0,10497,14,0.0,91.72834937083641,2.747964470762398,97.2520355292376,0.0,97.12250185048113,0.1295336787564767
gRNA_10617,10903,0,10903,2988,7914,1,1334,6301,7914,3268,0,3267,1,57.79143355039898,72.58552691919655,12.235164633587086,29.97340181601394,0.0,29.964230028432542,0.009171787581399615
gRNA_1062,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10634,4500,0,4500,1291,3020,189,202,2663,3020,1635,0,468,1167,59.17777777777778,67.11111111111111,4.488888888888889,36.333333333333336,0.0,10.4,25.933333333333337
gRNA_10657,7206,0,7206,40,7160,6,24,4487,7160,2695,0,2689,6,62.26755481543158,99.3616430752151,0.33305578684429643,37.39938939772412,0.0,37.31612545101304,0.08326394671107411
