Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,2473,0,2473,2149,136,188,2017,111,136,345,0,157,188,4.4884755357864945,5.4993934492519205,81.56085725839061,13.950667205822887,0.0,6.348564496562879,7.602102709260008
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,131,0,131,126,3,2,111,1,3,19,0,17,2,0.7633587786259541,2.2900763358778624,84.7328244274809,14.50381679389313,0.0,12.977099236641221,1.5267175572519083
gRNA_10106,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,159,0,159,159,0,0,147,0,0,12,0,12,0,0.0,0.0,92.45283018867924,7.547169811320755,0.0,7.547169811320755,0.0
gRNA_1023,2235,0,2235,2234,1,0,1683,0,1,552,1,548,3,0.0,0.0447427293064877,75.30201342281879,24.697986577181208,0.0447427293064877,24.519015659955258,0.1342281879194631
gRNA_10271,1767,0,1767,1767,0,0,1709,0,0,58,0,58,0,0.0,0.0,96.71760045274476,3.2823995472552348,0.0,3.2823995472552348,0.0
gRNA_10272,185,0,185,184,1,0,18,0,1,167,60,105,2,0.0,0.5405405405405406,9.72972972972973,90.27027027027027,32.432432432432435,56.75675675675676,1.0810810810810811
gRNA_10278,383,0,383,280,53,50,142,17,53,224,0,174,50,4.43864229765013,13.838120104438643,37.0757180156658,58.485639686684074,0.0,45.43080939947781,13.054830287206268
