Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,429,0,429,365,31,33,344,25,31,60,0,27,33,5.827505827505827,7.226107226107226,80.1864801864802,13.986013986013987,0.0,6.293706293706294,7.6923076923076925
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,668,0,668,645,12,11,527,6,12,135,0,124,11,0.8982035928143712,1.7964071856287425,78.89221556886228,20.209580838323355,0.0,18.562874251497004,1.6467065868263475
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,7653,0,7653,7653,0,0,7144,0,0,509,0,509,0,0.0,0.0,93.34901345877434,6.650986541225663,0.0,6.650986541225663,0.0
gRNA_1023,2295,0,2295,2295,0,0,1648,0,0,647,0,647,0,0.0,0.0,71.80827886710239,28.1917211328976,0.0,28.1917211328976,0.0
gRNA_10271,257,0,257,254,0,3,246,0,0,11,0,8,3,0.0,0.0,95.71984435797665,4.280155642023346,0.0,3.11284046692607,1.1673151750972763
gRNA_10272,19,0,19,19,0,0,7,0,0,12,2,6,4,0.0,0.0,36.84210526315789,63.1578947368421,10.526315789473683,31.57894736842105,21.052631578947366
gRNA_10278,701,0,701,502,82,117,228,20,82,453,0,336,117,2.8530670470756063,11.697574893009985,32.52496433666191,64.62196861626248,0.0,47.93152639087018,16.690442225392296
gRNA_1032,1179,0,1179,1096,32,51,908,19,32,252,0,201,51,1.6115351993214586,2.7141645462256148,77.01441899915183,21.374045801526716,0.0,17.048346055979643,4.325699745547073
gRNA_1034,1649,0,1649,1649,0,0,1565,0,0,84,0,84,0,0.0,0.0,94.90600363856882,5.09399636143117,0.0,5.09399636143117,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,724,0,724,0,724,0,0,658,724,66,0,66,0,90.88397790055248,100.0,0.0,9.116022099447514,0.0,9.116022099447514,0.0
gRNA_10424,1291,0,1291,1240,23,28,924,9,23,358,0,330,28,0.69713400464756,1.7815646785437647,71.5724244771495,27.73044151820294,0.0,25.561580170410537,2.168861347792409
gRNA_10425,3414,0,3414,3355,27,32,2936,19,27,459,0,427,32,0.5565319273579379,0.7908611599297013,85.99882835383714,13.444639718804922,0.0,12.507322788517868,0.9373169302870533
gRNA_10429,1325,0,1325,1315,4,6,865,2,4,458,0,452,6,0.1509433962264151,0.3018867924528302,65.28301886792453,34.56603773584906,0.0,34.11320754716981,0.4528301886792453
gRNA_10432,1526,0,1526,1525,0,1,1214,0,0,312,0,311,1,0.0,0.0,79.55439056356488,20.445609436435124,0.0,20.38007863695937,0.0655307994757536
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,3987,0,3987,3958,12,17,3572,10,12,405,0,388,17,0.2508151492350138,0.3009781790820165,89.59117130674693,10.15801354401806,0.0,9.731627790318536,0.4263857536995234
gRNA_10465,44,0,44,34,5,5,12,2,5,30,0,25,5,4.545454545454546,11.363636363636363,27.27272727272727,68.18181818181817,0.0,56.81818181818182,11.363636363636363
gRNA_10473,802,0,802,717,36,49,693,30,36,79,0,30,49,3.7406483790523692,4.488778054862843,86.40897755610972,9.850374064837904,0.0,3.7406483790523692,6.109725685785536
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,428,0,428,418,1,9,268,0,1,160,0,151,9,0.0,0.23364485981308408,62.616822429906534,37.38317757009346,0.0,35.280373831775705,2.102803738317757
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,1568,0,1568,1343,77,148,1305,73,77,190,0,42,148,4.655612244897959,4.910714285714286,83.22704081632652,12.11734693877551,0.0,2.6785714285714284,9.438775510204081
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1062,1074,0,1074,917,67,90,887,58,67,129,0,39,90,5.400372439478584,6.238361266294227,82.58845437616388,12.011173184357542,0.0,3.6312849162011176,8.379888268156424
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,591,0,591,591,0,0,584,0,0,7,0,7,0,0.0,0.0,98.81556683587141,1.1844331641285957,0.0,1.1844331641285957,0.0
gRNA_10745,343,0,343,338,3,2,320,1,3,22,0,20,2,0.2915451895043732,0.8746355685131195,93.29446064139941,6.41399416909621,0.0,5.830903790087463,0.5830903790087464
gRNA_10750,304,0,304,304,0,0,295,0,0,9,0,9,0,0.0,0.0,97.03947368421053,2.9605263157894735,0.0,2.9605263157894735,0.0
gRNA_10752,2422,0,2422,2421,0,1,2416,0,0,6,0,5,1,0.0,0.0,99.75227085053675,0.2477291494632535,0.0,0.20644095788604458,0.041288191577208914
gRNA_10775,937,0,937,937,0,0,621,0,0,316,0,316,0,0.0,0.0,66.27534685165422,33.72465314834579,0.0,33.72465314834579,0.0
gRNA_10777,1941,0,1941,1915,13,13,1899,13,13,29,0,16,13,0.6697578567748583,0.6697578567748583,97.83616692426584,1.4940752189592994,0.0,0.8243173621844411,0.6697578567748583
gRNA_10781,1808,0,1808,1116,370,322,907,257,370,644,0,322,322,14.214601769911505,20.464601769911507,50.165929203539825,35.61946902654867,0.0,17.809734513274336,17.809734513274336
gRNA_10784,769,0,769,706,26,37,341,9,26,419,0,382,37,1.1703511053315996,3.3810143042912877,44.34330299089727,54.486345903771124,0.0,49.67490247074122,4.811443433029909
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,13,0,13,13,0,0,8,0,0,5,0,5,0,0.0,0.0,61.53846153846154,38.46153846153847,0.0,38.46153846153847,0.0
gRNA_10917,2,0,2,1,1,0,0,1,1,1,0,1,0,50.0,50.0,0.0,50.0,0.0,50.0,0.0
gRNA_10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10942,1832,0,1832,1816,6,10,1762,6,6,64,0,54,10,0.32751091703056767,0.32751091703056767,96.17903930131004,3.4934497816593884,0.0,2.947598253275109,0.5458515283842794
gRNA_10945,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10946,4,0,4,4,0,0,3,0,0,1,0,1,0,0.0,0.0,75.0,25.0,0.0,25.0,0.0
gRNA_10949,74,0,74,33,10,31,18,6,10,50,0,19,31,8.108108108108109,13.513513513513514,24.324324324324326,67.56756756756756,0.0,25.675675675675674,41.891891891891895
gRNA_10961,451,0,451,451,0,0,375,0,0,76,0,76,0,0.0,0.0,83.14855875831486,16.851441241685144,0.0,16.851441241685144,0.0
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,42,0,42,31,5,6,16,2,5,24,1,17,6,4.761904761904762,11.904761904761903,38.095238095238095,57.14285714285714,2.380952380952381,40.476190476190474,14.285714285714285
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,639,0,639,637,1,1,551,1,1,87,0,86,1,0.1564945226917058,0.1564945226917058,86.2284820031299,13.615023474178404,0.0,13.458528951486699,0.1564945226917058
gRNA_11100,2558,0,2558,2478,28,52,2184,16,28,358,0,306,52,0.6254886630179828,1.09460516028147,85.37920250195465,13.995308835027364,0.0,11.962470680218921,2.032838154808444
gRNA_11101,25,0,25,18,2,5,18,2,2,5,0,0,5,8.0,8.0,72.0,20.0,0.0,0.0,20.0
gRNA_11110,1054,0,1054,977,25,52,964,23,25,67,0,15,52,2.1821631878557874,2.3719165085388996,91.46110056925995,6.35673624288425,0.0,1.4231499051233396,4.933586337760911
gRNA_11118,62,0,62,62,0,0,27,0,0,35,0,35,0,0.0,0.0,43.54838709677419,56.451612903225815,0.0,56.451612903225815,0.0
gRNA_11120,840,0,840,837,1,2,779,1,1,60,0,58,2,0.11904761904761905,0.11904761904761905,92.73809523809524,7.142857142857142,0.0,6.904761904761905,0.2380952380952381
gRNA_11149,3658,0,3658,3653,4,1,3018,0,4,640,0,639,1,0.0,0.10934937124111535,82.50410060142154,17.49589939857846,0.0,17.46856205576818,0.027337342810278838
gRNA_11151,3090,0,3090,1803,465,822,1683,418,465,989,0,167,822,13.527508090614887,15.048543689320388,54.46601941747573,32.006472491909385,0.0,5.4045307443365695,26.601941747572816
gRNA_1116,1555,0,1555,1547,4,4,1375,2,4,178,0,174,4,0.12861736334405144,0.2572347266881029,88.42443729903538,11.446945337620578,0.0,11.189710610932476,0.2572347266881029
gRNA_11160,824,0,824,674,71,79,40,6,71,778,0,699,79,0.7281553398058253,8.616504854368932,4.854368932038835,94.41747572815534,0.0,84.83009708737865,9.587378640776699
gRNA_11163,131,0,131,53,34,44,35,25,34,71,0,27,44,19.083969465648856,25.954198473282442,26.717557251908396,54.19847328244275,0.0,20.610687022900763,33.587786259541986
gRNA_11165,81,0,81,81,0,0,45,0,0,36,0,36,0,0.0,0.0,55.55555555555556,44.44444444444444,0.0,44.44444444444444,0.0
gRNA_11186,13,0,13,7,2,4,4,2,2,7,0,3,4,15.384615384615385,15.384615384615385,30.76923076923077,53.84615384615385,0.0,23.076923076923077,30.76923076923077
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1128,2013,0,2013,1769,97,147,1690,87,97,236,0,89,147,4.321907600596125,4.818678589170392,83.95429706905117,11.723795330352708,0.0,4.4212617983109785,7.302533532041728
gRNA_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,16,0,16,15,0,1,14,0,0,2,0,1,1,0.0,0.0,87.5,12.5,0.0,6.25,6.25
gRNA_11371,513,0,513,513,0,0,418,0,0,95,0,95,0,0.0,0.0,81.48148148148148,18.51851851851852,0.0,18.51851851851852,0.0
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11380,422,0,422,166,92,164,73,37,92,312,0,148,164,8.767772511848342,21.80094786729858,17.298578199052134,73.93364928909952,0.0,35.07109004739337,38.862559241706165
gRNA_11386,11,0,11,10,1,0,4,0,1,7,0,7,0,0.0,9.090909090909092,36.36363636363637,63.63636363636363,0.0,63.63636363636363,0.0
gRNA_11398,91,0,91,25,23,43,11,11,23,69,0,26,43,12.087912087912088,25.274725274725274,12.087912087912088,75.82417582417582,0.0,28.57142857142857,47.25274725274725
gRNA_11401,1069,0,1069,1065,1,3,480,0,1,589,0,586,3,0.0,0.09354536950420954,44.90177736202058,55.09822263797942,0.0,54.81758652946679,0.2806361085126286
gRNA_11407,2688,0,2688,2683,1,4,2170,0,1,518,0,514,4,0.0,0.03720238095238095,80.72916666666666,19.270833333333336,0.0,19.122023809523807,0.1488095238095238
gRNA_1141,502,0,502,497,0,5,474,0,0,28,0,23,5,0.0,0.0,94.42231075697211,5.577689243027888,0.0,4.581673306772909,0.9960159362549801
gRNA_11411,2172,0,2172,2164,1,7,1782,1,1,389,0,382,7,0.04604051565377532,0.04604051565377532,82.04419889502762,17.909760589318598,0.0,17.587476979742174,0.32228360957642727
gRNA_11416,1205,0,1205,525,254,426,446,207,254,552,0,126,426,17.178423236514522,21.07883817427386,37.01244813278009,45.809128630705395,0.0,10.45643153526971,35.35269709543569
gRNA_11422,1315,0,1315,1137,57,121,1069,49,57,197,0,76,121,3.7262357414448664,4.334600760456274,81.29277566539925,14.980988593155894,0.0,5.779467680608365,9.201520912547528
gRNA_11423,2757,0,2757,2255,194,308,2198,178,194,381,0,73,308,6.456293072179905,7.036634022488212,79.72433804860356,13.81936887921654,0.0,2.6478055857816467,11.171563293434893
gRNA_11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11432,1454,0,1454,1454,0,0,1445,0,0,9,0,9,0,0.0,0.0,99.38101788170563,0.6189821182943603,0.0,0.6189821182943603,0.0
gRNA_11467,1031,0,1031,499,151,381,439,115,151,477,0,96,381,11.154219204655675,14.645974781765275,42.580019398642094,46.26576139670223,0.0,9.311348205625606,36.954413191076625
gRNA_1147,4462,0,4462,3415,445,602,3339,421,445,702,0,100,602,9.435230838189153,9.97310623038996,74.83191393993724,15.7328552218736,0.0,2.2411474675033616,13.491707754370239
gRNA_11474,5,0,5,5,0,0,3,0,0,2,0,2,0,0.0,0.0,60.0,40.0,0.0,40.0,0.0
