Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,388,0,388,333,24,31,315,18,24,55,0,24,31,4.639175257731959,6.185567010309279,81.18556701030928,14.175257731958762,0.0,6.185567010309279,7.989690721649484
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,651,0,651,631,8,12,537,4,8,110,0,98,12,0.6144393241167435,1.228878648233487,82.48847926267281,16.897081413210447,0.0,15.053763440860216,1.8433179723502304
gRNA_10106,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,238,1,237,237,0,0,225,0,0,12,0,12,0,0.0,0.0,94.9367088607595,5.063291139240507,0.0,5.063291139240507,0.0
gRNA_1023,995,0,995,995,0,0,750,0,0,245,0,245,0,0.0,0.0,75.37688442211056,24.623115577889447,0.0,24.623115577889447,0.0
gRNA_10271,304,0,304,304,0,0,292,0,0,12,0,12,0,0.0,0.0,96.05263157894737,3.9473684210526314,0.0,3.9473684210526314,0.0
gRNA_10272,20,0,20,20,0,0,7,0,0,13,0,10,3,0.0,0.0,35.0,65.0,0.0,50.0,15.0
gRNA_10278,825,0,825,594,105,126,279,15,105,531,0,405,126,1.8181818181818181,12.727272727272727,33.81818181818182,64.36363636363637,0.0,49.09090909090909,15.272727272727273
gRNA_1032,135,0,135,122,4,9,100,2,4,33,0,24,9,1.4814814814814816,2.9629629629629632,74.07407407407408,24.444444444444443,0.0,17.77777777777778,6.666666666666667
gRNA_1034,2037,0,2037,2036,1,0,1301,1,1,735,0,735,0,0.049091801669121256,0.049091801669121256,63.86843397152675,36.08247422680412,0.0,36.08247422680412,0.0
gRNA_10342,299,0,299,0,299,0,0,284,299,15,0,15,0,94.98327759197325,100.0,0.0,5.016722408026756,0.0,5.016722408026756,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,1182,0,1182,1139,25,18,937,8,25,237,0,219,18,0.676818950930626,2.1150592216582065,79.27241962774958,20.050761421319795,0.0,18.527918781725887,1.5228426395939088
gRNA_10425,527,0,527,518,4,5,473,3,4,51,0,46,5,0.5692599620493358,0.7590132827324478,89.75332068311197,9.67741935483871,0.0,8.72865275142315,0.9487666034155597
gRNA_10429,570,0,570,568,1,1,84,0,1,486,0,485,1,0.0,0.17543859649122806,14.736842105263156,85.26315789473684,0.0,85.08771929824562,0.17543859649122806
gRNA_10432,762,0,762,760,1,1,592,1,1,169,0,168,1,0.13123359580052493,0.13123359580052493,77.69028871391076,22.178477690288716,0.0,22.04724409448819,0.13123359580052493
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,1500,0,1500,1464,3,33,1380,2,3,118,0,85,33,0.13333333333333333,0.2,92.0,7.866666666666666,0.0,5.666666666666666,2.1999999999999997
gRNA_10465,40,0,40,31,3,6,11,1,3,28,0,22,6,2.5,7.5,27.500000000000004,70.0,0.0,55.00000000000001,15.0
gRNA_10473,434,0,434,391,16,27,378,12,16,44,0,17,27,2.7649769585253456,3.686635944700461,87.09677419354838,10.138248847926267,0.0,3.9170506912442393,6.221198156682028
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,169,0,169,161,3,5,94,1,3,74,3,66,5,0.591715976331361,1.7751479289940828,55.62130177514793,43.786982248520715,1.7751479289940828,39.053254437869825,2.9585798816568047
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,319,0,319,282,13,24,279,13,13,27,0,3,24,4.075235109717868,4.075235109717868,87.46081504702194,8.463949843260188,0.0,0.9404388714733543,7.523510971786834
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1062,653,0,653,581,24,48,562,19,24,72,0,24,48,2.909647779479326,3.6753445635528332,86.06431852986218,11.0260336906585,0.0,3.6753445635528332,7.3506891271056665
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,57,0,57,57,0,0,57,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10745,130,0,130,130,0,0,124,0,0,6,0,6,0,0.0,0.0,95.38461538461539,4.615384615384616,0.0,4.615384615384616,0.0
gRNA_10750,416,0,416,415,1,0,399,0,1,17,0,17,0,0.0,0.2403846153846154,95.91346153846155,4.086538461538462,0.0,4.086538461538462,0.0
gRNA_10752,350,0,350,350,0,0,350,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10775,406,0,406,406,0,0,290,0,0,116,0,116,0,0.0,0.0,71.42857142857143,28.57142857142857,0.0,28.57142857142857,0.0
gRNA_10777,1101,0,1101,1085,5,11,1073,5,5,23,0,7,16,0.4541326067211626,0.4541326067211626,97.45685740236148,2.0890099909173476,0.0,0.6357856494096277,1.4532243415077202
gRNA_10781,292,0,292,189,53,50,155,40,53,97,0,47,50,13.698630136986301,18.15068493150685,53.082191780821915,33.21917808219178,0.0,16.095890410958905,17.123287671232877
gRNA_10784,441,0,441,410,12,19,245,2,12,194,0,175,19,0.45351473922902497,2.7210884353741496,55.55555555555556,43.99092970521542,0.0,39.682539682539684,4.308390022675737
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,47,0,47,47,0,0,26,0,0,21,0,21,0,0.0,0.0,55.319148936170215,44.680851063829785,0.0,44.680851063829785,0.0
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10942,591,0,591,587,2,2,569,2,2,20,0,18,2,0.338409475465313,0.338409475465313,96.27749576988155,3.3840947546531304,0.0,3.0456852791878175,0.338409475465313
gRNA_10945,8,0,8,8,0,0,4,0,0,4,0,4,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,152,1,151,65,41,45,21,22,41,108,0,63,45,14.56953642384106,27.1523178807947,13.90728476821192,71.52317880794702,0.0,41.72185430463576,29.80132450331126
gRNA_10961,359,0,359,359,0,0,306,0,0,53,1,52,0,0.0,0.0,85.23676880222841,14.763231197771587,0.2785515320334262,14.484679665738161,0.0
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,8,0,8,7,1,0,6,0,1,2,1,1,0,0.0,12.5,75.0,25.0,12.5,12.5,0.0
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,104,0,104,102,0,2,91,0,0,13,0,11,2,0.0,0.0,87.5,12.5,0.0,10.576923076923077,1.9230769230769231
gRNA_11100,2042,0,2042,2010,12,20,1684,11,12,347,0,327,20,0.5386875612144956,0.5876591576885406,82.46816846229187,16.993143976493634,0.0,16.01371204701273,0.9794319294809012
gRNA_11101,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11110,1344,0,1344,1269,28,47,1256,25,28,63,0,16,47,1.8601190476190477,2.083333333333333,93.45238095238095,4.6875,0.0,1.1904761904761905,3.4970238095238098
gRNA_11118,55,0,55,55,0,0,30,0,0,25,0,25,0,0.0,0.0,54.54545454545454,45.45454545454545,0.0,45.45454545454545,0.0
gRNA_11120,586,0,586,583,2,1,543,2,2,41,0,40,1,0.3412969283276451,0.3412969283276451,92.66211604095564,6.996587030716723,0.0,6.825938566552901,0.17064846416382254
gRNA_11149,879,0,879,872,7,0,757,1,7,121,0,121,0,0.11376564277588168,0.7963594994311717,86.12059158134244,13.765642775881684,0.0,13.765642775881684,0.0
gRNA_11151,1756,0,1756,1040,297,419,960,267,297,529,0,110,419,15.205011389521639,16.91343963553531,54.66970387243736,30.125284738041003,0.0,6.264236902050115,23.861047835990888
gRNA_1116,312,0,312,311,0,1,286,0,0,26,0,25,1,0.0,0.0,91.66666666666666,8.333333333333332,0.0,8.012820512820513,0.3205128205128205
gRNA_11160,59,0,59,49,1,9,2,0,1,57,0,48,9,0.0,1.694915254237288,3.389830508474576,96.61016949152543,0.0,81.35593220338984,15.254237288135593
gRNA_11163,167,0,167,85,28,54,82,27,28,58,0,4,54,16.16766467065868,16.766467065868262,49.101796407185624,34.73053892215569,0.0,2.3952095808383236,32.33532934131736
