Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,819,0,819,705,57,57,670,48,57,101,0,44,57,5.86080586080586,6.95970695970696,81.8070818070818,12.332112332112333,0.0,5.372405372405373,6.95970695970696
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,491,0,491,480,5,6,418,1,5,72,0,66,6,0.20366598778004072,1.0183299389002036,85.13238289205702,14.663951120162933,0.0,13.441955193482688,1.2219959266802443
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,3424,0,3424,3423,1,0,3132,1,1,291,0,291,0,0.02920560747663551,0.02920560747663551,91.47196261682244,8.498831775700936,0.0,8.498831775700936,0.0
gRNA_1023,2488,0,2488,2486,1,1,2024,0,1,464,0,463,1,0.0,0.04019292604501608,81.35048231511254,18.64951768488746,0.0,18.609324758842444,0.04019292604501608
gRNA_10271,680,0,680,680,0,0,665,0,0,15,0,15,0,0.0,0.0,97.79411764705883,2.2058823529411766,0.0,2.2058823529411766,0.0
gRNA_10272,114,0,114,114,0,0,15,0,0,99,79,18,2,0.0,0.0,13.157894736842104,86.8421052631579,69.2982456140351,15.789473684210526,1.7543859649122806
gRNA_10278,654,0,654,501,66,87,304,15,66,335,0,248,87,2.293577981651376,10.091743119266056,46.48318042813456,51.223241590214066,0.0,37.920489296636084,13.302752293577983
gRNA_1032,952,0,952,906,18,28,814,12,18,126,0,98,28,1.2605042016806722,1.8907563025210083,85.50420168067227,13.23529411764706,0.0,10.294117647058822,2.941176470588235
gRNA_1034,1511,0,1511,1510,1,0,1442,1,1,68,0,68,0,0.06618133686300463,0.06618133686300463,95.43348775645268,4.500330906684315,0.0,4.500330906684315,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,1285,0,1285,1259,11,15,1065,6,11,214,0,199,15,0.4669260700389105,0.8560311284046693,82.87937743190662,16.653696498054472,0.0,15.486381322957198,1.1673151750972763
gRNA_10425,2321,0,2321,2303,6,12,2149,3,6,169,0,157,12,0.12925463162429987,0.25850926324859974,92.5894011202068,7.281344248168893,0.0,6.764325721671693,0.5170185264971995
gRNA_10429,768,0,768,765,1,2,715,1,1,52,0,50,2,0.13020833333333331,0.13020833333333331,93.09895833333334,6.770833333333333,0.0,6.510416666666667,0.26041666666666663
gRNA_10432,949,0,949,949,0,0,812,0,0,137,0,137,0,0.0,0.0,85.56375131717597,14.436248682824026,0.0,14.436248682824026,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,948,0,948,946,0,2,902,0,0,46,0,44,2,0.0,0.0,95.14767932489451,4.852320675105485,0.0,4.641350210970464,0.21097046413502107
gRNA_10465,18,0,18,13,2,3,10,2,2,6,0,3,3,11.11111111111111,11.11111111111111,55.55555555555556,33.33333333333333,0.0,16.666666666666664,16.666666666666664
gRNA_10473,837,0,837,798,18,21,785,15,18,37,0,16,21,1.7921146953405016,2.1505376344086025,93.78733572281959,4.4205495818399045,0.0,1.911589008363202,2.5089605734767026
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,811,0,811,799,4,8,334,0,4,477,289,172,16,0.0,0.4932182490752158,41.183723797780516,58.816276202219484,35.63501849568434,21.20838471023428,1.972872996300863
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,1274,0,1274,1108,53,113,1088,52,53,134,0,21,113,4.081632653061225,4.160125588697017,85.40031397174255,10.518053375196232,0.0,1.6483516483516485,8.869701726844584
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1062,753,0,753,681,22,50,661,21,22,71,0,21,50,2.788844621513944,2.921646746347941,87.78220451527224,9.428950863213812,0.0,2.788844621513944,6.640106241699867
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,321,0,321,321,0,0,318,0,0,3,0,3,0,0.0,0.0,99.06542056074767,0.9345794392523363,0.0,0.9345794392523363,0.0
gRNA_10745,158,0,158,157,0,1,152,0,0,6,0,5,1,0.0,0.0,96.20253164556962,3.79746835443038,0.0,3.1645569620253164,0.6329113924050633
gRNA_10750,600,0,600,600,0,0,586,0,0,14,0,14,0,0.0,0.0,97.66666666666667,2.3333333333333335,0.0,2.3333333333333335,0.0
gRNA_10752,380,0,380,379,1,0,378,1,1,1,0,1,0,0.2631578947368421,0.2631578947368421,99.47368421052632,0.2631578947368421,0.0,0.2631578947368421,0.0
gRNA_10775,785,0,785,785,0,0,559,0,0,226,0,226,0,0.0,0.0,71.21019108280254,28.78980891719745,0.0,28.78980891719745,0.0
gRNA_10777,312,0,312,309,2,1,307,2,2,3,0,2,1,0.641025641025641,0.641025641025641,98.3974358974359,0.9615384615384616,0.0,0.641025641025641,0.3205128205128205
gRNA_10781,1293,0,1293,910,197,186,786,139,197,368,0,182,186,10.750193348801238,15.235885537509667,60.78886310904872,28.46094354215004,0.0,14.075792730085073,14.385150812064964
gRNA_10784,549,0,549,527,4,18,302,0,4,247,0,229,18,0.0,0.7285974499089253,55.009107468123865,44.990892531876135,0.0,41.712204007285976,3.278688524590164
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,10,0,10,10,0,0,3,0,0,7,0,7,0,0.0,0.0,30.0,70.0,0.0,70.0,0.0
gRNA_10917,3,0,3,3,0,0,2,0,0,1,0,1,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10925,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10942,1184,0,1184,1181,2,1,1158,2,2,24,0,23,1,0.16891891891891891,0.16891891891891891,97.80405405405406,2.027027027027027,0.0,1.9425675675675675,0.08445945945945946
gRNA_10945,41,0,41,41,0,0,20,0,0,21,0,21,0,0.0,0.0,48.78048780487805,51.21951219512195,0.0,51.21951219512195,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,36,0,36,14,12,10,10,7,12,19,0,9,10,19.444444444444446,33.33333333333333,27.77777777777778,52.77777777777778,0.0,25.0,27.77777777777778
gRNA_10961,392,0,392,391,1,0,345,1,1,46,0,46,0,0.25510204081632654,0.25510204081632654,88.01020408163265,11.73469387755102,0.0,11.73469387755102,0.0
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,17,0,17,16,1,0,15,0,1,2,0,2,0,0.0,5.88235294117647,88.23529411764706,11.76470588235294,0.0,11.76470588235294,0.0
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,671,0,671,671,0,0,631,0,0,40,0,40,0,0.0,0.0,94.0387481371088,5.961251862891207,0.0,5.961251862891207,0.0
gRNA_11100,2756,0,2756,2708,17,31,2699,15,17,42,0,11,31,0.5442670537010159,0.6168359941944848,97.93178519593614,1.5239477503628447,0.0,0.39912917271407833,1.1248185776487662
gRNA_11101,308,0,308,284,12,12,269,9,12,30,0,18,12,2.922077922077922,3.896103896103896,87.33766233766234,9.740259740259742,0.0,5.844155844155844,3.896103896103896
gRNA_11110,3128,0,3128,3007,54,67,2971,51,54,106,0,39,67,1.6304347826086956,1.7263427109974423,94.98081841432226,3.3887468030690537,0.0,1.2468030690537084,2.1419437340153453
gRNA_11118,131,0,131,131,0,0,74,0,0,57,0,57,0,0.0,0.0,56.48854961832062,43.51145038167939,0.0,43.51145038167939,0.0
gRNA_11120,217,0,217,217,0,0,212,0,0,5,1,4,0,0.0,0.0,97.6958525345622,2.3041474654377883,0.4608294930875576,1.8433179723502304,0.0
gRNA_11149,3095,0,3095,3095,0,0,2747,0,0,348,0,348,0,0.0,0.0,88.75605815831987,11.24394184168013,0.0,11.24394184168013,0.0
gRNA_11151,1815,0,1815,1196,222,397,1130,211,222,474,0,77,397,11.62534435261708,12.231404958677686,62.25895316804407,26.115702479338843,0.0,4.242424242424243,21.8732782369146
gRNA_1116,2344,0,2344,2339,1,4,2211,0,1,133,0,129,4,0.0,0.042662116040955635,94.3259385665529,5.674061433447099,0.0,5.503412969283277,0.17064846416382254
gRNA_11160,977,0,977,870,42,65,39,4,42,934,0,869,65,0.4094165813715456,4.298874104401229,3.991811668372569,95.59877175025588,0.0,88.94575230296827,6.653019447287615
gRNA_11163,501,0,501,235,102,164,221,96,102,184,0,20,164,19.16167664670659,20.35928143712575,44.11177644710579,36.72654690618762,0.0,3.992015968063872,32.734530938123754
gRNA_11165,224,0,224,224,0,0,157,0,0,67,0,67,0,0.0,0.0,70.08928571428571,29.910714285714285,0.0,29.910714285714285,0.0
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1128,594,0,594,545,20,29,525,18,20,51,0,22,29,3.0303030303030303,3.3670033670033668,88.38383838383838,8.585858585858585,0.0,3.7037037037037033,4.882154882154882
gRNA_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,21,0,21,20,1,0,20,1,1,0,0,0,0,4.761904761904762,4.761904761904762,95.23809523809523,0.0,0.0,0.0,0.0
gRNA_11371,2154,142,2012,2005,1,6,1720,0,1,292,0,286,6,0.0,0.049701789264413515,85.48707753479125,14.512922465208748,0.0,14.214711729622268,0.2982107355864811
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11380,1259,0,1259,500,240,519,198,76,240,985,0,466,519,6.036536934074663,19.062748212867355,15.726767275615568,78.23669579030977,0.0,37.013502779984115,41.22319301032565
gRNA_11386,2,0,2,1,1,0,1,0,1,1,1,0,0,0.0,50.0,50.0,50.0,50.0,0.0,0.0
gRNA_11398,76,0,76,30,30,16,18,21,30,37,0,21,16,27.631578947368425,39.473684210526315,23.684210526315788,48.68421052631579,0.0,27.631578947368425,21.052631578947366
gRNA_11401,3858,0,3858,3850,0,8,2049,0,0,1809,0,1801,8,0.0,0.0,53.1104199066874,46.8895800933126,0.0,46.6822187662001,0.20736132711249353
gRNA_11407,2386,1,2385,2382,1,2,2131,1,1,253,0,251,2,0.04192872117400419,0.04192872117400419,89.35010482180293,10.60796645702306,0.0,10.524109014675052,0.08385744234800838
gRNA_1141,1910,0,1910,1907,1,2,1864,1,1,45,0,43,2,0.052356020942408384,0.052356020942408384,97.59162303664921,2.356020942408377,0.0,2.2513089005235605,0.10471204188481677
gRNA_11411,562,0,562,562,0,0,502,0,0,60,0,60,0,0.0,0.0,89.32384341637011,10.676156583629894,0.0,10.676156583629894,0.0
gRNA_11416,377,0,377,176,80,121,163,67,80,147,0,26,121,17.771883289124666,21.220159151193634,43.236074270557026,38.9920424403183,0.0,6.896551724137931,32.09549071618037
gRNA_11422,1186,0,1186,1096,28,62,1060,25,28,101,0,39,62,2.1079258010118047,2.360876897133221,89.3760539629005,8.51602023608769,0.0,3.288364249578415,5.227655986509275
gRNA_11423,3141,0,3141,2758,164,219,2715,159,164,267,0,48,219,5.062082139446036,5.221267112384591,86.43744030563515,8.500477554918815,0.0,1.5281757402101241,6.972301814708691
gRNA_11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11432,3992,0,3992,3992,0,0,3981,0,0,11,0,11,0,0.0,0.0,99.7244488977956,0.2755511022044088,0.0,0.2755511022044088,0.0
gRNA_11467,359,0,359,193,48,118,176,42,48,141,0,23,118,11.699164345403899,13.370473537604457,49.02506963788301,39.27576601671309,0.0,6.406685236768802,32.86908077994429
gRNA_1147,7774,0,7774,6227,663,884,6113,637,663,1024,0,140,884,8.193979933110368,8.528428093645484,78.63390789812195,13.172112168767688,0.0,1.8008747105737073,11.37123745819398
gRNA_11474,5,0,5,5,0,0,3,0,0,2,0,1,1,0.0,0.0,60.0,40.0,0.0,20.0,20.0
gRNA_11478,129,0,129,129,0,0,76,0,0,53,0,53,0,0.0,0.0,58.91472868217055,41.08527131782946,0.0,41.08527131782946,0.0
gRNA_11482,24,0,24,24,0,0,20,0,0,4,0,4,0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,16.666666666666664,0.0
gRNA_1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11495,1434,0,1434,1363,35,36,1333,34,35,67,0,31,36,2.3709902370990235,2.4407252440725244,92.95676429567644,4.672245467224546,0.0,2.161785216178522,2.510460251046025
gRNA_11507,4,0,4,4,0,0,3,0,0,1,0,1,0,0.0,0.0,75.0,25.0,0.0,25.0,0.0
gRNA_11516,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11519,31,0,31,31,0,0,4,0,0,27,0,27,0,0.0,0.0,12.903225806451612,87.09677419354838,0.0,87.09677419354838,0.0
gRNA_11523,15,0,15,14,0,1,11,0,0,4,0,3,1,0.0,0.0,73.33333333333333,26.666666666666668,0.0,20.0,6.666666666666667
gRNA_11534,5,0,5,5,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11536,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_1154,537,0,537,537,0,0,502,0,0,35,0,35,0,0.0,0.0,93.48230912476723,6.517690875232775,0.0,6.517690875232775,0.0
gRNA_11541,105,0,105,73,14,18,36,5,14,64,0,46,18,4.761904761904762,13.333333333333334,34.285714285714285,60.952380952380956,0.0,43.80952380952381,17.142857142857142
gRNA_1157,2069,0,2069,2063,3,3,1993,2,3,74,0,71,3,0.09666505558240696,0.14499758337361043,96.32672788786853,3.5766070565490575,0.0,3.4316094731754467,0.14499758337361043
gRNA_11607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11670,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11817,615,0,615,611,1,3,600,0,1,15,0,12,3,0.0,0.16260162601626016,97.5609756097561,2.4390243902439024,0.0,1.951219512195122,0.4878048780487805
gRNA_11821,443,0,443,185,90,168,117,47,90,279,0,111,168,10.609480812641085,20.31602708803612,26.410835214446955,62.97968397291196,0.0,25.056433408577877,37.92325056433409
gRNA_11827,81,0,81,77,1,3,29,0,1,52,0,49,3,0.0,1.2345679012345678,35.80246913580247,64.19753086419753,0.0,60.49382716049383,3.7037037037037033
gRNA_11829,5094,0,5094,5075,8,11,3901,2,8,1191,693,459,39,0.03926187671770711,0.15704750687082844,76.5802905378877,23.38044758539458,13.604240282685511,9.010600706713781,0.7656065959952886
gRNA_11835,34,0,34,34,0,0,6,0,0,28,0,28,0,0.0,0.0,17.647058823529413,82.35294117647058,0.0,82.35294117647058,0.0
