Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,968,0,968,0,968,0,0,966,968,2,0,2,0,99.79338842975206,100.0,0.0,0.2066115702479339,0.0,0.2066115702479339,0.0
gRNA_10049,78,0,78,78,0,0,54,0,0,24,0,24,0,0.0,0.0,69.23076923076923,30.76923076923077,0.0,30.76923076923077,0.0
gRNA_1006,1051,0,1051,71,980,0,0,0,980,1051,0,1051,0,0.0,93.24452901998097,0.0,100.0,0.0,100.0,0.0
gRNA_10106,125,0,125,125,0,0,115,0,0,10,0,10,0,0.0,0.0,92.0,8.0,0.0,8.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,1788,0,1788,1225,2,561,1164,1,2,623,0,62,561,0.05592841163310962,0.11185682326621924,65.1006711409396,34.84340044742729,0.0,3.467561521252797,31.3758389261745
gRNA_1023,2176,0,2176,536,1640,0,412,0,1640,1764,0,1764,0,0.0,75.36764705882352,18.933823529411764,81.06617647058823,0.0,81.06617647058823,0.0
gRNA_10271,1303,0,1303,1301,0,2,0,0,0,1303,0,1301,2,0.0,0.0,0.0,100.0,0.0,99.84650805832693,0.15349194167306215
gRNA_10272,1316,0,1316,1,1315,0,0,0,1315,1316,0,1315,1,0.0,99.92401215805471,0.0,100.0,0.0,99.92401215805471,0.07598784194528875
gRNA_10278,402,0,402,0,402,0,0,1,402,401,0,401,0,0.24875621890547264,100.0,0.0,99.75124378109453,0.0,99.75124378109453,0.0
gRNA_1032,11,0,11,0,11,0,0,0,11,11,0,11,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1034,4443,0,4443,112,4331,0,107,4311,4331,25,0,25,0,97.02903443619176,97.47918073373847,2.4082826918748594,0.5626828719333784,0.0,0.5626828719333784,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10424,7712,0,7712,0,7712,0,0,0,7712,7712,0,7712,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,3347,0,3347,181,3165,1,157,6,3165,3184,0,3183,1,0.179265013444876,94.5622945921721,4.690767851807589,95.12996713474755,0.0,95.10008963250672,0.029877502240812665
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,969,0,969,969,0,0,767,0,0,202,0,202,0,0.0,0.0,79.15376676986584,20.84623323013416,0.0,20.84623323013416,0.0
gRNA_10438,808,0,808,0,808,0,0,5,808,803,0,803,0,0.6188118811881188,100.0,0.0,99.38118811881188,0.0,99.38118811881188,0.0
gRNA_10461,689,0,689,681,3,5,631,2,3,56,0,51,5,0.29027576197387517,0.43541364296081275,91.58200290275762,8.127721335268506,0.0,7.402031930333817,0.7256894049346879
gRNA_10465,41385,0,41385,3,41303,79,0,2145,41303,39240,1,39160,79,5.1830373323667995,99.80186057750393,0.0,94.81696266763319,0.0024163344206838224,94.6236559139785,0.19089041923402197
gRNA_10473,3044,0,3044,18,3024,2,16,1,3024,3027,0,3025,2,0.0328515111695138,99.34296977660972,0.5256241787122208,99.44152431011827,0.0,99.37582128777925,0.0657030223390276
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,1038,463,575,571,1,3,83,0,1,492,0,43,449,0.0,0.17391304347826086,14.43478260869565,85.56521739130434,0.0,7.478260869565218,78.08695652173913
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
