Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,4,0,4,3,1,0,3,1,1,0,0,0,0,25.0,25.0,75.0,0.0,0.0,0.0,0.0
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1023,695,0,695,695,0,0,538,0,0,157,0,157,0,0.0,0.0,77.41007194244605,22.58992805755396,0.0,22.58992805755396,0.0
gRNA_10271,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10272,712,0,712,1,711,0,0,1,711,711,0,710,1,0.1404494382022472,99.85955056179775,0.0,99.85955056179775,0.0,99.71910112359551,0.1404494382022472
gRNA_10278,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1032,976,0,976,975,0,1,3,0,0,973,0,972,1,0.0,0.0,0.3073770491803279,99.69262295081968,0.0,99.59016393442623,0.10245901639344263
gRNA_1034,5228,0,5228,3,5225,0,2,1446,5225,3780,0,3780,0,27.65876052027544,99.94261667941852,0.03825554705432287,72.30298393267024,0.0,72.30298393267024,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,920,0,920,11,907,2,8,0,907,912,0,910,2,0.0,98.58695652173914,0.8695652173913043,99.1304347826087,0.0,98.91304347826086,0.21739130434782608
gRNA_10425,1080,0,1080,1062,8,10,978,5,8,97,0,87,10,0.4629629629629629,0.7407407407407408,90.55555555555556,8.981481481481483,0.0,8.055555555555555,0.9259259259259258
gRNA_10429,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10432,3311,0,3311,3310,0,1,2645,0,0,666,0,665,1,0.0,0.0,79.88523104802174,20.114768951978252,0.0,20.084566596194502,0.030202355783751134
gRNA_10438,2765,1637,1128,0,1128,0,0,1,1128,1127,0,1127,0,0.08865248226950355,100.0,0.0,99.91134751773049,0.0,99.91134751773049,0.0
gRNA_10461,6357,0,6357,2201,4151,5,2030,4020,4151,307,0,302,5,63.2373761208117,65.29809658644015,31.93330187195218,4.829322007236118,0.0,4.750668554349536,0.07865345288658172
gRNA_10465,3,0,3,0,3,0,0,0,3,3,0,3,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,43,0,43,43,0,0,28,0,0,15,0,15,0,0.0,0.0,65.11627906976744,34.883720930232556,0.0,34.883720930232556,0.0
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,700,0,700,664,11,25,0,0,11,700,0,675,25,0.0,1.5714285714285716,0.0,100.0,0.0,96.42857142857143,3.571428571428571
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10617,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1062,656,0,656,574,32,50,556,28,32,72,0,22,50,4.2682926829268295,4.878048780487805,84.7560975609756,10.975609756097562,0.0,3.353658536585366,7.621951219512195
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,185,0,185,185,0,0,183,0,0,2,0,2,0,0.0,0.0,98.91891891891892,1.0810810810810811,0.0,1.0810810810810811,0.0
gRNA_10745,3,0,3,3,0,0,2,0,0,1,0,1,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10750,1601,0,1601,2,1599,0,2,0,1599,1599,0,1599,0,0.0,99.87507807620237,0.12492192379762648,99.87507807620237,0.0,99.87507807620237,0.0
gRNA_10752,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10775,3749,0,3749,2,3747,0,2,3528,3747,219,0,219,0,94.10509469191784,99.94665244065084,0.05334755934915977,5.8415577487329955,0.0,5.8415577487329955,0.0
gRNA_10777,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10781,3295,0,3295,2166,602,527,1810,437,602,1048,0,521,527,13.262518968133536,18.2701062215478,54.93171471927162,31.80576631259484,0.0,15.811836115326253,15.993930197268588
gRNA_10784,1470,0,1470,276,1180,14,143,2,1180,1325,0,1311,14,0.13605442176870747,80.27210884353741,9.727891156462585,90.1360544217687,0.0,89.18367346938776,0.9523809523809524
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,11,0,11,11,0,0,5,0,0,6,0,6,0,0.0,0.0,45.45454545454545,54.54545454545454,0.0,54.54545454545454,0.0
gRNA_10917,10,0,10,9,1,0,3,0,1,7,0,7,0,0.0,10.0,30.0,70.0,0.0,70.0,0.0
gRNA_10925,181,0,181,180,0,1,0,0,0,181,0,180,1,0.0,0.0,0.0,100.0,0.0,99.4475138121547,0.5524861878453038
gRNA_10942,8,0,8,8,0,0,7,0,0,1,1,0,0,0.0,0.0,87.5,12.5,12.5,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
