Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1004,414,0,414,350,36,28,326,26,36,62,0,34,28,6.280193236714976,8.695652173913043,78.74396135265701,14.975845410628018,0.0,8.212560386473431,6.763285024154589
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,1629,0,1629,0,1629,0,0,0,1629,1629,0,1629,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,5149,0,5149,28,5121,0,28,4958,5121,163,0,163,0,96.29054185278694,99.45620508836667,0.5437949116333268,3.165663235579724,0.0,3.165663235579724,0.0
gRNA_1023,4531,0,4531,299,4232,0,218,0,4232,4313,0,4313,0,0.0,93.4010152284264,4.811299933789451,95.18870006621056,0.0,95.18870006621056,0.0
gRNA_10271,1884,0,1884,1882,0,2,15,0,0,1869,0,1457,412,0.0,0.0,0.7961783439490446,99.20382165605095,0.0,77.33545647558387,21.86836518046709
gRNA_10272,2056,882,1174,1013,161,0,1,0,161,1173,743,374,56,0.0,13.713798977853491,0.08517887563884156,99.91482112436117,63.287904599659285,31.85689948892675,4.770017035775128
gRNA_10278,7,0,7,4,1,2,2,0,1,5,0,3,2,0.0,14.285714285714285,28.57142857142857,71.42857142857143,0.0,42.857142857142854,28.57142857142857
gRNA_1032,38,0,38,0,38,0,0,0,38,38,0,38,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1034,2032,0,2032,2032,0,0,1923,0,0,109,0,109,0,0.0,0.0,94.63582677165354,5.3641732283464565,0.0,5.3641732283464565,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,2319,0,2319,1218,1089,12,5,0,1089,2314,0,2302,12,0.0,46.95989650711513,0.21561017680034494,99.78438982319966,0.0,99.26692539887883,0.517464424320828
gRNA_10425,5074,27,5047,671,4370,6,609,464,4370,3974,0,3968,6,9.193580344759262,86.5860907469784,12.066574202496533,78.7398454527442,0.0,78.6209629482861,0.11888250445809391
gRNA_10429,851,0,851,846,4,1,777,4,4,70,0,69,1,0.4700352526439483,0.4700352526439483,91.30434782608695,8.225616921269095,0.0,8.108108108108109,0.11750881316098707
gRNA_10432,3328,0,3328,3328,0,0,2722,0,0,606,0,606,0,0.0,0.0,81.79086538461539,18.209134615384613,0.0,18.209134615384613,0.0
gRNA_10438,2517,0,2517,5,2488,24,0,7,2488,2510,1,2485,24,0.27810885975367505,98.84783472387764,0.0,99.72189114024633,0.03972983710766786,98.72864521255464,0.9535160905840285
gRNA_10461,1950,0,1950,75,1875,0,72,1806,1875,72,0,72,0,92.61538461538461,96.15384615384616,3.6923076923076925,3.6923076923076925,0.0,3.6923076923076925,0.0
gRNA_10465,2674,0,2674,3,2671,0,1,2196,2671,477,0,477,0,82.12415856394914,99.88780852655198,0.037397157816005985,17.838444278234856,0.0,17.838444278234856,0.0
gRNA_10473,249,0,249,0,249,0,0,0,249,249,245,0,4,0.0,100.0,0.0,100.0,98.39357429718876,0.0,1.6064257028112447
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,2467,5,2462,2059,364,39,381,3,364,2078,1,893,1184,0.12185215272136475,14.78472786352559,15.475223395613321,84.40292445166531,0.04061738424045491,36.27132412672624,48.090982940698616
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,569,0,569,512,18,39,241,15,18,313,0,36,277,2.6362038664323375,3.163444639718805,42.35500878734622,55.008787346221446,0.0,6.32688927943761,48.68189806678383
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1062,431,0,431,392,14,25,380,11,14,40,0,15,25,2.5522041763341066,3.248259860788863,88.16705336426914,9.280742459396752,0.0,3.480278422273782,5.800464037122969
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,7,0,7,7,0,0,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10745,873,0,873,870,0,3,12,0,0,861,0,858,3,0.0,0.0,1.3745704467353952,98.62542955326461,0.0,98.28178694158075,0.3436426116838488
gRNA_10750,513,0,513,2,511,0,2,106,511,405,0,405,0,20.66276803118908,99.61013645224172,0.3898635477582846,78.94736842105263,0.0,78.94736842105263,0.0
gRNA_10752,84,0,84,0,84,0,0,0,84,84,0,84,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10775,821,0,821,67,643,111,43,602,643,176,0,65,111,73.32521315468941,78.31912302070646,5.237515225334957,21.43727161997564,0.0,7.917174177831912,13.520097442143728
gRNA_10777,632,0,632,136,493,3,133,257,493,242,0,239,3,40.664556962025316,78.00632911392405,21.044303797468356,38.291139240506325,0.0,37.81645569620253,0.4746835443037975
gRNA_10781,350,0,350,0,350,0,0,288,350,62,0,62,0,82.28571428571428,100.0,0.0,17.71428571428571,0.0,17.71428571428571,0.0
gRNA_10784,4513,0,4513,643,3870,0,631,1,3870,3881,0,3881,0,0.022158209616662972,85.75227121648571,13.981830268114336,85.996011522269,0.0,85.996011522269,0.0
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10917,8,0,8,0,8,0,0,0,8,8,0,8,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10925,174,0,174,174,0,0,0,0,0,174,0,174,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10942,1196,0,1196,1188,3,5,1157,3,3,36,0,31,5,0.2508361204013378,0.2508361204013378,96.73913043478261,3.0100334448160537,0.0,2.591973244147157,0.4180602006688963
gRNA_10945,57,0,57,0,57,0,0,0,57,57,0,57,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10946,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10949,1937,0,1937,379,1549,9,0,90,1549,1847,0,1834,13,4.646360351058338,79.96902426432628,0.0,95.35363964894165,0.0,94.68249870934434,0.6711409395973155
gRNA_10961,290,0,290,139,151,0,122,141,151,27,0,27,0,48.62068965517241,52.06896551724138,42.06896551724138,9.310344827586208,0.0,9.310344827586208,0.0
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,212,0,212,128,84,0,1,0,84,211,65,127,19,0.0,39.62264150943396,0.4716981132075472,99.52830188679245,30.660377358490564,59.905660377358494,8.962264150943396
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,7479,485,6994,6763,225,6,1,0,225,6993,0,6987,6,0.0,3.217043179868459,0.014297969688304261,99.9857020303117,0.0,99.89991421218187,0.08578781812982557
gRNA_11100,919,0,919,908,8,3,902,7,8,10,0,7,3,0.7616974972796519,0.8705114254624592,98.15016322089227,1.088139281828074,0.0,0.7616974972796519,0.3264417845484222
gRNA_11101,43,0,43,1,42,0,0,0,42,43,0,43,0,0.0,97.67441860465115,0.0,100.0,0.0,100.0,0.0
gRNA_11110,215,0,215,43,172,0,43,172,172,0,0,0,0,80.0,80.0,20.0,0.0,0.0,0.0,0.0
gRNA_11118,60,0,60,22,0,38,14,0,0,46,0,8,38,0.0,0.0,23.333333333333332,76.66666666666667,0.0,13.333333333333334,63.33333333333333
gRNA_11120,2733,0,2733,1385,19,1329,166,17,19,2550,0,1221,1329,0.6220270764727406,0.6952067325283571,6.073911452616173,93.30406147091108,0.0,44.6761800219539,48.62788144895719
gRNA_11149,3833,0,3833,1,2220,1612,0,810,2220,3023,0,1411,1612,21.132272371510567,57.918079833028955,0.0,78.86772762848943,0.0,36.811896686668405,42.05583094182103
gRNA_11151,5132,0,5132,120,4970,42,116,4824,4970,192,0,150,42,93.99844115354638,96.84333593141076,2.260327357755261,3.7412314886983635,0.0,2.922837100545596,0.8183943881527669
gRNA_1116,772,0,772,769,2,1,399,1,2,372,0,371,1,0.1295336787564767,0.2590673575129534,51.68393782383419,48.18652849740933,0.0,48.056994818652846,0.1295336787564767
gRNA_11160,35,0,35,28,2,5,1,0,2,34,0,29,5,0.0,5.714285714285714,2.857142857142857,97.14285714285714,0.0,82.85714285714286,14.285714285714285
gRNA_11163,405,0,405,0,404,1,0,377,404,28,0,27,1,93.08641975308643,99.75308641975309,0.0,6.91358024691358,0.0,6.666666666666667,0.24691358024691357
gRNA_11165,129,0,129,129,0,0,82,0,0,47,1,46,0,0.0,0.0,63.565891472868216,36.434108527131784,0.7751937984496124,35.65891472868217,0.0
gRNA_11186,323,0,323,0,323,0,0,0,323,323,0,323,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11188,2416,0,2416,0,2412,4,0,0,2412,2416,0,2412,4,0.0,99.83443708609272,0.0,100.0,0.0,99.83443708609272,0.16556291390728478
gRNA_11223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1128,2415,0,2415,2158,99,158,2077,88,99,250,0,92,158,3.6438923395445135,4.099378881987578,86.00414078674949,10.351966873706004,0.0,3.8095238095238098,6.542443064182195
gRNA_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,33,0,33,0,33,0,0,0,33,33,0,33,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,3036,0,3036,2946,34,56,2627,17,34,392,0,336,56,0.5599472990777339,1.1198945981554678,86.52832674571805,12.911725955204217,0.0,11.067193675889328,1.844532279314888
gRNA_11371,212,0,212,15,197,0,0,0,197,212,0,212,0,0.0,92.9245283018868,0.0,100.0,0.0,100.0,0.0
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,65,63,2,2,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
gRNA_11375,16,0,16,0,16,0,0,15,16,1,0,1,0,93.75,100.0,0.0,6.25,0.0,6.25,0.0
gRNA_11380,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11386,211,0,211,0,211,0,0,174,211,37,0,37,0,82.46445497630332,100.0,0.0,17.535545023696685,0.0,17.535545023696685,0.0
gRNA_11398,3151,0,3151,0,3151,0,0,2,3151,3149,515,2631,3,0.06347191367819739,100.0,0.0,99.9365280863218,16.344017772135828,83.49730244366867,0.0952078705172961
gRNA_11401,14117,0,14117,14092,0,25,122,0,0,13995,0,13970,25,0.0,0.0,0.8642062761209889,99.135793723879,0.0,98.95870227385421,0.17709145002479282
gRNA_11407,8599,0,8599,5628,2964,7,2652,82,2964,5865,820,5031,14,0.9535992557274102,34.46912431678102,30.84079544133039,68.2056053029422,9.535992557274103,58.50680311664147,0.162809629026631
gRNA_1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11411,869,0,869,868,0,1,620,0,0,249,0,248,1,0.0,0.0,71.3463751438435,28.6536248561565,0.0,28.5385500575374,0.11507479861910241
gRNA_11416,534,0,534,307,89,138,272,71,89,191,0,53,138,13.295880149812733,16.666666666666664,50.936329588014985,35.767790262172284,0.0,9.925093632958802,25.842696629213485
