Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,417,0,417,357,24,36,327,18,24,72,0,36,36,4.316546762589928,5.755395683453238,78.41726618705036,17.26618705035971,0.0,8.633093525179856,8.633093525179856
gRNA_10049,153,0,153,153,0,0,97,0,0,56,0,56,0,0.0,0.0,63.39869281045751,36.60130718954248,0.0,36.60130718954248,0.0
gRNA_1006,14,0,14,0,14,0,0,0,14,14,0,14,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10106,858,0,858,0,858,0,0,0,858,858,0,858,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,616,615,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1023,261,0,261,0,261,0,0,0,261,261,0,261,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10271,479,0,479,479,0,0,0,0,0,479,25,454,0,0.0,0.0,0.0,100.0,5.219206680584551,94.78079331941545,0.0
gRNA_10272,581,7,574,574,0,0,0,0,0,574,0,192,382,0.0,0.0,0.0,100.0,0.0,33.44947735191638,66.55052264808361
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,505,0,505,55,449,1,48,1,449,456,0,455,1,0.19801980198019803,88.91089108910892,9.504950495049505,90.2970297029703,0.0,90.0990099009901,0.19801980198019803
gRNA_1034,688,0,688,479,209,0,456,206,209,26,0,26,0,29.941860465116278,30.377906976744185,66.27906976744185,3.77906976744186,0.0,3.77906976744186,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,2062,0,2062,0,2062,0,0,0,2062,2062,0,2062,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10425,3763,0,3763,3416,325,22,3154,313,325,296,0,274,22,8.317831517406326,8.636726016476217,83.81610417220303,7.866064310390645,0.0,7.281424395429179,0.5846399149614669
gRNA_10429,139,0,139,139,0,0,130,0,0,9,0,9,0,0.0,0.0,93.5251798561151,6.474820143884892,0.0,6.474820143884892,0.0
gRNA_10432,606,0,606,606,0,0,499,0,0,107,0,107,0,0.0,0.0,82.34323432343234,17.656765676567655,0.0,17.656765676567655,0.0
gRNA_10438,365,0,365,0,365,0,0,0,365,365,0,365,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10461,623,0,623,100,522,1,94,507,522,22,0,21,1,81.38041733547352,83.78812199036918,15.08828250401284,3.5313001605136436,0.0,3.3707865168539324,0.16051364365971107
gRNA_10465,333,0,333,1,331,1,0,264,331,69,0,68,1,79.27927927927928,99.3993993993994,0.0,20.72072072072072,0.0,20.42042042042042,0.3003003003003003
gRNA_10473,1521,0,1521,380,1118,23,0,0,1118,1521,0,1498,23,0.0,73.50427350427351,0.0,100.0,0.0,98.4878369493754,1.5121630506245891
gRNA_10504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1052,375,0,375,266,2,107,147,0,2,228,0,121,107,0.0,0.5333333333333333,39.2,60.8,0.0,32.266666666666666,28.53333333333333
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,752,73,679,579,35,65,571,33,35,75,0,10,65,4.860088365243005,5.154639175257731,84.09425625920471,11.045655375552283,0.0,1.4727540500736376,9.572901325478647
gRNA_10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10598,366,0,366,0,366,0,0,0,366,366,0,366,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1062,384,0,384,268,106,10,145,105,106,134,0,124,10,27.34375,27.604166666666668,37.76041666666667,34.89583333333333,0.0,32.29166666666667,2.604166666666667
gRNA_10634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10738,52,0,52,52,0,0,52,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10745,2628,0,2628,2217,30,381,56,0,30,2572,0,2191,381,0.0,1.141552511415525,2.13089802130898,97.86910197869102,0.0,83.37138508371386,14.49771689497717
gRNA_10750,635,0,635,2,633,0,0,0,633,635,1,634,0,0.0,99.68503937007874,0.0,100.0,0.15748031496062992,99.84251968503936,0.0
gRNA_10752,135,0,135,0,135,0,0,0,135,135,0,135,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10775,453,0,453,0,453,0,0,426,453,27,0,27,0,94.03973509933775,100.0,0.0,5.960264900662252,0.0,5.960264900662252,0.0
gRNA_10777,1043,0,1043,939,99,5,934,98,99,11,0,6,5,9.395973154362416,9.491850431447748,89.54937679769894,1.0546500479386385,0.0,0.5752636625119847,0.4793863854266539
gRNA_10781,1048,0,1048,6,1038,4,2,932,1038,114,0,110,4,88.93129770992367,99.04580152671755,0.19083969465648853,10.877862595419847,0.0,10.49618320610687,0.38167938931297707
gRNA_10784,606,0,606,0,606,0,0,0,606,606,0,606,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,10,0,10,10,0,0,7,0,0,3,0,3,0,0.0,0.0,70.0,30.0,0.0,30.0,0.0
gRNA_10917,208,0,208,5,203,0,0,123,203,85,0,85,0,59.13461538461539,97.59615384615384,0.0,40.86538461538461,0.0,40.86538461538461,0.0
gRNA_10925,4,0,4,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10942,13,0,13,13,0,0,13,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,1247,1101,146,1,145,0,0,0,145,146,0,146,0,0.0,99.31506849315068,0.0,100.0,0.0,100.0,0.0
gRNA_10961,197,0,197,0,197,0,0,190,197,7,0,7,0,96.44670050761421,100.0,0.0,3.5532994923857872,0.0,3.5532994923857872,0.0
gRNA_10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,383,0,383,237,145,1,2,0,145,381,0,380,1,0.0,37.85900783289817,0.5221932114882507,99.47780678851174,0.0,99.21671018276761,0.26109660574412535
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,494,2,492,2,490,0,2,15,490,475,0,475,0,3.048780487804878,99.59349593495935,0.40650406504065045,96.54471544715447,0.0,96.54471544715447,0.0
gRNA_11100,1916,0,1916,1808,107,1,13,107,107,1796,27,1768,1,5.5845511482254695,5.5845511482254695,0.6784968684759917,93.73695198329854,1.4091858037578289,92.27557411273486,0.052192066805845504
gRNA_11101,1779,4,1775,326,1448,1,0,0,1448,1775,0,1448,327,0.0,81.57746478873239,0.0,100.0,0.0,81.57746478873239,18.422535211267604
gRNA_11110,1027,0,1027,980,16,31,657,15,16,355,311,13,31,1.4605647517039921,1.557935735150925,63.97273612463486,34.56669912366115,30.282375851996107,1.2658227848101267,3.0185004868549172
gRNA_11118,243,1,242,200,0,42,1,0,0,241,0,199,42,0.0,0.0,0.4132231404958678,99.58677685950413,0.0,82.23140495867769,17.355371900826448
gRNA_11120,960,0,960,667,289,4,544,274,289,142,73,59,10,28.541666666666664,30.104166666666664,56.666666666666664,14.791666666666666,7.604166666666666,6.145833333333333,1.0416666666666665
gRNA_11149,4461,0,4461,211,4250,0,186,930,4250,3345,0,3345,0,20.847343644922663,95.27011880744227,4.169468728984533,74.9831876260928,0.0,74.9831876260928,0.0
gRNA_11151,242,0,242,25,209,8,23,205,209,14,0,6,8,84.71074380165288,86.36363636363636,9.50413223140496,5.785123966942149,0.0,2.479338842975207,3.3057851239669422
gRNA_1116,1222,0,1222,1218,2,2,1094,1,2,127,0,125,2,0.08183306055646482,0.16366612111292964,89.52536824877251,10.39279869067103,0.0,10.229132569558102,0.16366612111292964
gRNA_11160,2609,0,2609,2566,19,24,14,3,19,2592,0,2568,24,0.11498658489842851,0.7282483710233806,0.536604062859333,99.34840935224224,0.0,98.42851667305482,0.9198926791874281
gRNA_11163,1579,500,1079,4,1075,0,0,0,1075,1079,0,1076,3,0.0,99.62928637627432,0.0,100.0,0.0,99.72196478220575,0.27803521779425394
gRNA_11165,259,0,259,259,0,0,150,0,0,109,0,109,0,0.0,0.0,57.91505791505791,42.084942084942085,0.0,42.084942084942085,0.0
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,53,0,53,0,53,0,0,0,53,53,0,53,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_11223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1128,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,620,0,620,1,619,0,0,0,619,620,0,620,0,0.0,99.83870967741936,0.0,100.0,0.0,100.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,61,0,61,61,0,0,55,0,0,6,0,6,0,0.0,0.0,90.1639344262295,9.836065573770492,0.0,9.836065573770492,0.0
gRNA_11371,4791,0,4791,4784,0,7,1,0,0,4790,0,4783,7,0.0,0.0,0.02087246921310791,99.9791275307869,0.0,99.83302024629513,0.1461072844917554
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11380,194,0,194,73,47,74,26,17,47,151,0,77,74,8.762886597938143,24.22680412371134,13.402061855670103,77.83505154639175,0.0,39.69072164948454,38.144329896907216
gRNA_11386,27,0,27,0,27,0,0,2,27,25,0,24,1,7.4074074074074066,100.0,0.0,92.5925925925926,0.0,88.88888888888889,3.7037037037037033
gRNA_11398,3283,0,3283,1,3282,0,1,3,3282,3279,2809,461,9,0.09137983551629607,99.9695400548279,0.03045994517209869,99.87816021931161,85.56198598842522,14.042034724337496,0.27413950654888825
gRNA_11401,2016,0,2016,2011,0,5,5,0,0,2011,0,2006,5,0.0,0.0,0.248015873015873,99.75198412698413,0.0,99.50396825396825,0.248015873015873
gRNA_11407,5217,0,5217,1295,3918,4,18,0,3918,5199,0,5195,4,0.0,75.10063254744107,0.3450258769407705,99.65497412305922,0.0,99.57830170596128,0.07667241709794902
gRNA_1141,735,0,735,722,10,3,700,10,10,25,0,22,3,1.3605442176870748,1.3605442176870748,95.23809523809523,3.4013605442176873,0.0,2.9931972789115644,0.40816326530612246
gRNA_11411,359,0,359,358,0,1,218,0,0,141,0,140,1,0.0,0.0,60.724233983286915,39.27576601671309,0.0,38.99721448467967,0.2785515320334262
gRNA_11416,314,0,314,0,314,0,0,301,314,13,0,13,0,95.85987261146497,100.0,0.0,4.140127388535031,0.0,4.140127388535031,0.0
gRNA_11422,30128,0,30128,696,29307,125,680,28486,29307,962,0,837,125,94.54992033988316,97.27496016994158,2.257036643653744,3.1930430164630907,0.0,2.778146574614976,0.4148964418481147
