Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1004,414,0,414,361,24,29,333,21,24,60,0,31,29,5.072463768115942,5.797101449275362,80.43478260869566,14.492753623188406,0.0,7.487922705314009,7.004830917874397
gRNA_10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1006,104,0,104,9,95,0,0,0,95,104,0,104,0,0.0,91.34615384615384,0.0,100.0,0.0,100.0,0.0
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1019,2051,0,2051,222,1829,0,204,1772,1829,75,0,75,0,86.39687957094101,89.17601170160897,9.946367625548513,3.656752803510482,0.0,3.656752803510482,0.0
gRNA_1023,5826,75,5751,720,5031,0,531,0,5031,5220,0,5220,0,0.0,87.48043818466354,9.233176838810643,90.76682316118936,0.0,90.76682316118936,0.0
gRNA_10271,998,0,998,997,0,1,0,0,0,998,0,401,597,0.0,0.0,0.0,100.0,0.0,40.18036072144289,59.81963927855711
gRNA_10272,3000,0,3000,0,3000,0,0,0,3000,3000,0,3000,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10278,80,0,80,58,10,12,18,1,10,61,0,49,12,1.25,12.5,22.5,76.25,0.0,61.25000000000001,15.0
gRNA_1032,430,0,430,0,430,0,0,0,430,430,91,334,5,0.0,100.0,0.0,100.0,21.16279069767442,77.67441860465117,1.1627906976744187
gRNA_1034,492,0,492,0,321,171,0,320,321,172,0,1,171,65.04065040650406,65.2439024390244,0.0,34.959349593495936,0.0,0.20325203252032523,34.756097560975604
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10424,4219,1,4218,1,4217,0,0,0,4217,4218,0,4218,0,0.0,99.97629208155524,0.0,100.0,0.0,100.0,0.0
gRNA_10425,1909,0,1909,843,527,539,730,5,527,1174,0,635,539,0.26191723415400736,27.606076479832375,38.239916186485075,61.49816657936093,0.0,33.26348873755893,28.234677841801993
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
