Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,283,0,283,274,9,0,126,0,9,157,0,157,0,0.0,3.180212014134275,44.522968197879855,55.47703180212014,0.0,55.47703180212014,0.0
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,476,3,473,386,79,8,93,0,79,380,0,370,10,0.0,16.701902748414376,19.661733615221987,80.33826638477801,0.0,78.22410147991543,2.1141649048625792
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,166,72,94,41,52,1,16,0,52,78,0,77,1,0.0,55.319148936170215,17.02127659574468,82.97872340425532,0.0,81.91489361702128,1.0638297872340425
gRNA_10107,250,0,250,232,17,1,62,4,17,184,0,177,7,1.6,6.800000000000001,24.8,73.6,0.0,70.8,2.8000000000000003
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,116,2,114,94,20,0,37,9,20,68,0,68,0,7.894736842105263,17.543859649122805,32.45614035087719,59.64912280701754,0.0,59.64912280701754,0.0
gRNA_10343,724,7,717,647,36,34,83,5,36,629,1,592,36,0.697350069735007,5.02092050209205,11.576011157601116,87.72663877266388,0.1394700139470014,82.56624825662483,5.02092050209205
gRNA_1036,12,0,12,3,9,0,0,0,9,12,0,10,2,0.0,75.0,0.0,100.0,0.0,83.33333333333334,16.666666666666664
gRNA_10363,184,7,177,148,28,1,69,16,28,92,0,91,1,9.03954802259887,15.819209039548024,38.983050847457626,51.9774011299435,0.0,51.41242937853108,0.5649717514124294
gRNA_10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10504,208,9,199,152,46,1,70,9,46,120,0,109,11,4.522613065326634,23.115577889447238,35.175879396984925,60.30150753768844,0.0,54.773869346733676,5.527638190954774
gRNA_1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10547,26,0,26,12,14,0,6,0,14,20,0,18,2,0.0,53.84615384615385,23.076923076923077,76.92307692307693,0.0,69.23076923076923,7.6923076923076925
gRNA_10548,21,0,21,4,17,0,3,0,17,18,0,18,0,0.0,80.95238095238095,14.285714285714285,85.71428571428571,0.0,85.71428571428571,0.0
gRNA_1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10596,174,7,167,125,41,1,9,0,41,158,0,143,15,0.0,24.550898203592812,5.389221556886228,94.61077844311377,0.0,85.62874251497006,8.982035928143713
gRNA_10598,80,0,80,39,40,1,8,0,40,72,0,71,1,0.0,50.0,10.0,90.0,0.0,88.75,1.25
gRNA_10617,1843,11,1832,1759,72,1,457,34,72,1341,5,1330,6,1.8558951965065504,3.9301310043668125,24.945414847161572,73.19868995633188,0.2729257641921397,72.59825327510917,0.32751091703056767
gRNA_1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10634,248,6,242,189,16,37,33,4,16,205,0,146,59,1.6528925619834711,6.6115702479338845,13.636363636363635,84.71074380165288,0.0,60.33057851239669,24.380165289256198
gRNA_10657,4,0,4,2,2,0,1,0,2,3,0,3,0,0.0,50.0,25.0,75.0,0.0,75.0,0.0
gRNA_10664,428,59,369,340,29,0,21,4,29,344,24,252,68,1.084010840108401,7.8590785907859075,5.691056910569105,93.22493224932249,6.504065040650407,68.29268292682927,18.428184281842817
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10750,3,0,3,3,0,0,2,0,0,1,0,1,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10909,645,5,640,610,15,15,3,3,15,634,3,608,23,0.46875,2.34375,0.46875,99.0625,0.46875,95.0,3.5937499999999996
gRNA_10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
