Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,587,6,581,580,0,1,215,0,0,366,1,364,1,0.0,0.0,37.005163511187604,62.99483648881239,0.17211703958691912,62.65060240963856,0.17211703958691912
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,475,12,463,447,5,11,94,2,5,367,0,348,19,0.4319654427645789,1.079913606911447,20.302375809935207,79.26565874730022,0.0,75.16198704103671,4.103671706263499
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,117,41,76,75,0,1,26,0,0,50,3,43,4,0.0,0.0,34.21052631578947,65.78947368421053,3.9473684210526314,56.57894736842105,5.263157894736842
gRNA_10107,251,7,244,242,0,2,66,0,0,178,0,164,14,0.0,0.0,27.049180327868854,72.95081967213115,0.0,67.21311475409836,5.737704918032787
gRNA_1019,6,0,6,6,0,0,0,0,0,6,0,6,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,137,14,123,123,0,0,49,0,0,74,0,72,2,0.0,0.0,39.83739837398374,60.16260162601627,0.0,58.536585365853654,1.6260162601626018
gRNA_10343,610,26,584,549,7,28,82,0,7,502,0,463,39,0.0,1.1986301369863013,14.04109589041096,85.95890410958904,0.0,79.28082191780823,6.678082191780822
gRNA_1036,19,11,8,8,0,0,1,0,0,7,0,0,7,0.0,0.0,12.5,87.5,0.0,0.0,87.5
gRNA_10363,324,20,304,294,3,7,114,2,3,188,3,165,20,0.6578947368421052,0.9868421052631579,37.5,61.8421052631579,0.9868421052631579,54.276315789473685,6.578947368421052
gRNA_10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,1,0,1,0,1,0,0,0,1,1,0,0,1,0.0,100.0,0.0,100.0,0.0,0.0,100.0
gRNA_10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10473,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10504,177,15,162,161,0,1,77,0,0,85,3,78,4,0.0,0.0,47.53086419753087,52.46913580246913,1.8518518518518516,48.148148148148145,2.4691358024691357
gRNA_1052,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10547,36,4,32,32,0,0,13,0,0,19,0,10,9,0.0,0.0,40.625,59.375,0.0,31.25,28.125
gRNA_10548,8,0,8,8,0,0,5,0,0,3,0,3,0,0.0,0.0,62.5,37.5,0.0,37.5,0.0
gRNA_1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10596,141,11,130,125,0,5,18,0,0,112,0,107,5,0.0,0.0,13.846153846153847,86.15384615384616,0.0,82.3076923076923,3.8461538461538463
gRNA_10598,91,6,85,85,0,0,8,0,0,77,0,77,0,0.0,0.0,9.411764705882353,90.58823529411765,0.0,90.58823529411765,0.0
gRNA_10617,2347,17,2330,2327,1,2,605,0,1,1725,8,1708,9,0.0,0.04291845493562232,25.9656652360515,74.0343347639485,0.34334763948497854,73.30472103004291,0.38626609442060084
gRNA_1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10634,413,12,401,340,17,44,61,1,17,339,4,281,54,0.24937655860349126,4.239401496259352,15.211970074812967,84.53865336658353,0.997506234413965,70.07481296758104,13.466334164588527
gRNA_10657,8,0,8,8,0,0,0,0,0,8,0,8,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10664,395,37,358,358,0,0,28,0,0,330,5,320,5,0.0,0.0,7.82122905027933,92.17877094972067,1.3966480446927374,89.3854748603352,1.3966480446927374
gRNA_10738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10745,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10750,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10752,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10775,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10777,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10781,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10909,111,11,100,59,0,41,0,0,0,100,0,37,63,0.0,0.0,0.0,100.0,0.0,37.0,63.0
gRNA_10912,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10969,363,7,356,351,1,4,65,0,1,291,2,249,40,0.0,0.2808988764044944,18.258426966292134,81.74157303370787,0.5617977528089888,69.9438202247191,11.235955056179774
gRNA_10971,38,12,26,26,0,0,5,0,0,21,0,21,0,0.0,0.0,19.230769230769234,80.76923076923077,0.0,80.76923076923077,0.0
gRNA_10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11071,60,16,44,40,0,4,6,0,0,38,0,25,13,0.0,0.0,13.636363636363635,86.36363636363636,0.0,56.81818181818182,29.545454545454547
gRNA_11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11100,3,0,3,3,0,0,2,0,0,1,0,1,0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11110,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11151,2,0,2,1,1,0,0,0,1,2,0,2,0,0.0,50.0,0.0,100.0,0.0,100.0,0.0
gRNA_1116,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,3346,23,3323,3321,1,1,2678,1,1,644,12,627,5,0.03009328919650918,0.03009328919650918,80.58982846825158,19.38007824255191,0.3611194703581101,18.868492326211257,0.15046644598254588
gRNA_1128,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11284,105,27,78,71,1,6,14,0,1,64,1,53,10,0.0,1.282051282051282,17.94871794871795,82.05128205128204,1.282051282051282,67.94871794871796,12.82051282051282
gRNA_11285,47,1,46,43,3,0,5,0,3,41,3,27,11,0.0,6.521739130434782,10.869565217391305,89.13043478260869,6.521739130434782,58.69565217391305,23.91304347826087
gRNA_11305,101,0,101,101,0,0,22,0,0,79,2,76,1,0.0,0.0,21.782178217821784,78.21782178217822,1.9801980198019802,75.24752475247524,0.9900990099009901
gRNA_11315,56,0,56,56,0,0,14,0,0,42,1,40,1,0.0,0.0,25.0,75.0,1.7857142857142856,71.42857142857143,1.7857142857142856
gRNA_11324,500,9,491,488,1,2,197,1,1,293,2,283,8,0.20366598778004072,0.20366598778004072,40.122199592668025,59.67413441955194,0.40733197556008144,57.63747454175153,1.6293279022403258
gRNA_11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11380,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11407,4,0,4,2,0,2,0,0,0,4,0,2,2,0.0,0.0,0.0,100.0,0.0,50.0,50.0
gRNA_1141,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_11411,2,0,2,2,0,0,1,0,0,1,0,1,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_11416,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11423,3,0,3,2,1,0,0,0,1,3,0,3,0,0.0,33.33333333333333,0.0,100.0,0.0,100.0,0.0
gRNA_11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11432,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11467,1,0,1,0,1,0,0,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
gRNA_1147,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_11474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1149,59,5,54,54,0,0,8,0,0,46,3,37,6,0.0,0.0,14.814814814814813,85.18518518518519,5.555555555555555,68.51851851851852,11.11111111111111
gRNA_11495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11534,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1154,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11607,140,5,135,104,6,25,41,1,6,93,0,67,26,0.7407407407407408,4.444444444444445,30.37037037037037,68.88888888888889,0.0,49.629629629629626,19.25925925925926
gRNA_11608,110,2,108,90,3,15,28,0,3,80,1,61,18,0.0,2.7777777777777777,25.925925925925924,74.07407407407408,0.9259259259259258,56.481481481481474,16.666666666666664
