Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,420,2,418,216,201,1,0,0,201,418,0,416,2,0.0,48.08612440191388,0.0,100.0,0.0,99.52153110047847,0.4784688995215311
gRNA_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10049,1156,0,1156,251,869,36,5,22,869,1129,0,1090,39,1.9031141868512111,75.17301038062284,0.43252595155709345,97.66435986159169,0.0,94.29065743944636,3.373702422145329
gRNA_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10106,723,0,723,66,653,4,0,20,653,703,0,696,7,2.7662517289073305,90.31811894882435,0.0,97.23374827109267,0.0,96.2655601659751,0.9681881051175657
gRNA_10107,323,0,323,40,281,2,2,22,281,299,0,297,2,6.811145510835913,86.9969040247678,0.6191950464396285,92.56965944272446,0.0,91.95046439628483,0.6191950464396285
gRNA_1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10342,570,21,549,6,407,136,2,206,407,341,2,203,136,37.52276867030965,74.13479052823315,0.36429872495446264,62.11293260473588,0.36429872495446264,36.97632058287796,24.772313296903462
