Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,20,0,20,20,0,0,8,0,0,12,0,12,0,0.0,0.0,40.0,60.0,0.0,60.0,0.0
gRNA_1004,20,0,20,12,4,4,7,3,4,10,0,6,4,15.0,20.0,35.0,50.0,0.0,30.0,20.0
gRNA_10049,4,0,4,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1006,12,0,12,10,1,1,2,0,1,10,0,9,1,0.0,8.333333333333332,16.666666666666664,83.33333333333334,0.0,75.0,8.333333333333332
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1019,70,0,70,70,0,0,49,0,0,21,0,21,0,0.0,0.0,70.0,30.0,0.0,30.0,0.0
gRNA_1023,40,0,40,40,0,0,9,0,0,31,0,25,6,0.0,0.0,22.5,77.5,0.0,62.5,15.0
gRNA_10271,31,0,31,31,0,0,18,0,0,13,0,13,0,0.0,0.0,58.06451612903226,41.935483870967744,0.0,41.935483870967744,0.0
gRNA_10272,5,3,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10278,29,0,29,16,5,8,1,0,5,28,0,20,8,0.0,17.24137931034483,3.4482758620689653,96.55172413793103,0.0,68.96551724137932,27.586206896551722
gRNA_1032,61,0,61,45,6,10,21,2,6,38,2,25,11,3.278688524590164,9.836065573770492,34.42622950819672,62.295081967213115,3.278688524590164,40.98360655737705,18.0327868852459
gRNA_1034,39,0,39,39,0,0,30,0,0,9,0,9,0,0.0,0.0,76.92307692307693,23.076923076923077,0.0,23.076923076923077,0.0
gRNA_10342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10343,4,0,4,2,1,1,0,0,1,4,0,3,1,0.0,25.0,0.0,100.0,0.0,75.0,25.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,2,0,2,2,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,100.0,50.0,50.0,0.0
gRNA_10424,35,0,35,27,4,4,14,1,4,20,0,16,4,2.857142857142857,11.428571428571429,40.0,57.14285714285714,0.0,45.714285714285715,11.428571428571429
gRNA_10425,34,0,34,31,2,1,17,1,2,16,0,8,8,2.941176470588235,5.88235294117647,50.0,47.05882352941176,0.0,23.52941176470588,23.52941176470588
gRNA_10429,19,0,19,16,0,3,9,0,0,10,0,7,3,0.0,0.0,47.368421052631575,52.63157894736842,0.0,36.84210526315789,15.789473684210526
gRNA_10432,52,0,52,51,1,0,27,1,1,24,0,24,0,1.9230769230769231,1.9230769230769231,51.92307692307693,46.15384615384615,0.0,46.15384615384615,0.0
gRNA_10438,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10461,55,0,55,40,11,4,22,2,11,31,0,18,13,3.6363636363636362,20.0,40.0,56.36363636363636,0.0,32.72727272727273,23.636363636363637
gRNA_10465,11,0,11,5,2,4,0,0,2,11,0,7,4,0.0,18.181818181818183,0.0,100.0,0.0,63.63636363636363,36.36363636363637
gRNA_10473,27,0,27,15,4,8,7,2,4,18,0,10,8,7.4074074074074066,14.814814814814813,25.925925925925924,66.66666666666666,0.0,37.03703703703704,29.629629629629626
gRNA_10504,6,0,6,6,0,0,3,0,0,3,0,3,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
