Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1004,151,0,151,54,47,50,16,7,47,128,0,78,50,4.635761589403973,31.125827814569533,10.596026490066226,84.76821192052981,0.0,51.65562913907284,33.11258278145696
gRNA_10049,163,0,163,146,4,13,5,0,4,158,0,145,13,0.0,2.4539877300613497,3.067484662576687,96.93251533742331,0.0,88.95705521472392,7.975460122699387
gRNA_1006,121,0,121,67,24,30,3,3,24,115,0,85,30,2.479338842975207,19.834710743801654,2.479338842975207,95.0413223140496,0.0,70.24793388429752,24.793388429752067
gRNA_10106,31,0,31,0,31,0,0,0,31,31,0,31,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,5,0,5,5,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1019,3093,0,3093,2957,57,79,540,3,57,2550,0,2471,79,0.09699321047526674,1.842870999030068,17.458777885548013,82.44422890397672,0.0,79.89007436146136,2.554154542515357
gRNA_1023,937,2,935,932,2,1,0,0,2,935,0,20,915,0.0,0.21390374331550802,0.0,100.0,0.0,2.13903743315508,97.86096256684492
gRNA_10271,390,0,390,345,16,29,42,1,16,347,0,318,29,0.2564102564102564,4.102564102564102,10.76923076923077,88.97435897435896,0.0,81.53846153846153,7.435897435897436
gRNA_10272,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10278,234,0,234,61,67,106,0,1,67,233,1,126,106,0.4273504273504274,28.63247863247863,0.0,99.57264957264957,0.4273504273504274,53.84615384615385,45.2991452991453
gRNA_1032,533,0,533,220,107,206,13,9,107,511,0,305,206,1.6885553470919326,20.075046904315197,2.4390243902439024,95.87242026266416,0.0,57.223264540337716,38.649155722326455
gRNA_1034,241,0,241,223,8,10,62,2,8,177,0,167,10,0.8298755186721992,3.319502074688797,25.72614107883817,73.44398340248964,0.0,69.29460580912863,4.149377593360995
gRNA_10342,4,0,4,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10343,163,1,162,121,9,32,2,0,9,160,0,128,32,0.0,5.555555555555555,1.2345679012345678,98.76543209876543,0.0,79.01234567901234,19.753086419753085
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,120,0,120,115,1,4,6,1,1,113,0,109,4,0.8333333333333334,0.8333333333333334,5.0,94.16666666666667,0.0,90.83333333333333,3.3333333333333335
gRNA_10424,72,0,72,40,13,19,5,1,13,66,0,47,19,1.3888888888888888,18.055555555555554,6.944444444444445,91.66666666666666,0.0,65.27777777777779,26.38888888888889
gRNA_10425,55,0,55,31,8,16,2,0,8,53,0,37,16,0.0,14.545454545454545,3.6363636363636362,96.36363636363636,0.0,67.27272727272727,29.09090909090909
gRNA_10429,272,0,272,196,36,40,65,14,36,193,0,153,40,5.147058823529411,13.23529411764706,23.897058823529413,70.95588235294117,0.0,56.25,14.705882352941178
gRNA_10432,152,0,152,146,2,4,26,1,2,125,0,121,4,0.6578947368421052,1.3157894736842104,17.105263157894736,82.23684210526315,0.0,79.60526315789474,2.631578947368421
gRNA_10438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10461,639,0,639,438,89,112,75,9,89,555,0,442,113,1.4084507042253522,13.928012519561817,11.737089201877934,86.85446009389672,0.0,69.17057902973396,17.683881064162755
gRNA_10465,1,0,1,1,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
gRNA_10473,532,0,532,195,148,189,36,29,148,467,0,278,189,5.451127819548872,27.819548872180448,6.7669172932330826,87.78195488721805,0.0,52.255639097744364,35.526315789473685
gRNA_10504,4,0,4,4,0,0,1,0,0,3,0,3,0,0.0,0.0,25.0,75.0,0.0,75.0,0.0
gRNA_1052,1238,1111,127,74,18,35,3,2,18,122,0,80,42,1.574803149606299,14.173228346456693,2.3622047244094486,96.06299212598425,0.0,62.99212598425197,33.07086614173229
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,208,0,208,67,55,86,36,32,55,140,0,54,86,15.384615384615385,26.442307692307693,17.307692307692307,67.3076923076923,0.0,25.961538461538463,41.34615384615385
gRNA_10596,4,0,4,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,400,0,400,399,1,0,16,1,1,383,0,383,0,0.25,0.25,4.0,95.75,0.0,95.75,0.0
gRNA_1062,346,0,346,103,81,162,14,12,81,320,0,157,163,3.4682080924855487,23.410404624277454,4.046242774566474,92.48554913294798,0.0,45.3757225433526,47.10982658959538
gRNA_10634,660,0,660,378,70,212,32,3,70,625,0,413,212,0.45454545454545453,10.606060606060606,4.848484848484849,94.6969696969697,0.0,62.57575757575757,32.121212121212125
gRNA_10657,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10664,43,1,42,42,0,0,0,0,0,42,0,42,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10738,16,0,16,15,0,1,4,0,0,12,0,11,1,0.0,0.0,25.0,75.0,0.0,68.75,6.25
gRNA_10745,81,0,81,40,13,28,2,1,13,78,0,50,28,1.2345679012345678,16.049382716049383,2.4691358024691357,96.29629629629629,0.0,61.72839506172839,34.5679012345679
gRNA_10750,2184,0,2184,1984,112,88,222,4,112,1958,22,1796,140,0.18315018315018314,5.128205128205128,10.164835164835164,89.65201465201466,1.0073260073260073,82.23443223443223,6.41025641025641
gRNA_10752,367,0,367,347,10,10,140,6,10,221,80,102,39,1.6348773841961852,2.7247956403269753,38.14713896457766,60.217983651226156,21.798365122615802,27.79291553133515,10.626702997275205
gRNA_10775,644,0,644,580,29,35,37,0,29,607,0,572,35,0.0,4.503105590062112,5.745341614906832,94.25465838509317,0.0,88.81987577639751,5.434782608695652
gRNA_10777,566,0,566,366,96,104,182,30,96,354,0,250,104,5.30035335689046,16.96113074204947,32.15547703180212,62.544169611307424,0.0,44.16961130742049,18.374558303886925
gRNA_10781,204,0,204,54,72,78,10,9,72,185,0,107,78,4.411764705882353,35.294117647058826,4.901960784313726,90.68627450980392,0.0,52.450980392156865,38.23529411764706
gRNA_10784,433,0,433,192,104,137,7,0,104,426,0,288,138,0.0,24.018475750577366,1.6166281755196306,98.38337182448036,0.0,66.51270207852194,31.87066974595843
gRNA_10909,9,0,9,2,5,2,0,0,5,9,0,7,2,0.0,55.55555555555556,0.0,100.0,0.0,77.77777777777779,22.22222222222222
gRNA_10912,21,0,21,16,3,2,0,0,3,21,0,19,2,0.0,14.285714285714285,0.0,100.0,0.0,90.47619047619048,9.523809523809524
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,2,0,2,1,0,1,0,0,0,2,0,1,1,0.0,0.0,0.0,100.0,0.0,50.0,50.0
gRNA_10942,106,1,105,68,14,23,19,1,14,85,0,62,23,0.9523809523809524,13.333333333333334,18.095238095238095,80.95238095238095,0.0,59.04761904761905,21.904761904761905
gRNA_10945,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10949,199,0,199,38,79,82,0,2,79,197,0,115,82,1.0050251256281406,39.698492462311556,0.0,98.99497487437185,0.0,57.78894472361809,41.20603015075377
gRNA_10961,18,0,18,17,0,1,1,0,0,17,0,16,1,0.0,0.0,5.555555555555555,94.44444444444444,0.0,88.88888888888889,5.555555555555555
gRNA_10969,18,0,18,8,10,0,0,4,10,14,0,14,0,22.22222222222222,55.55555555555556,0.0,77.77777777777779,0.0,77.77777777777779,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,26,0,26,10,2,14,0,0,2,26,0,12,14,0.0,7.6923076923076925,0.0,100.0,0.0,46.15384615384615,53.84615384615385
gRNA_11071,3,0,3,3,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11077,4,0,4,3,0,1,2,0,0,2,0,1,1,0.0,0.0,50.0,50.0,0.0,25.0,25.0
gRNA_11100,2138,2,2136,1229,340,567,513,151,340,1472,53,786,633,7.069288389513109,15.917602996254681,24.01685393258427,68.91385767790263,2.4812734082397006,36.79775280898877,29.634831460674153
gRNA_11101,4,0,4,2,1,1,0,0,1,4,0,3,1,0.0,25.0,0.0,100.0,0.0,75.0,25.0
gRNA_11110,348,0,348,172,73,103,45,16,73,287,0,184,103,4.597701149425287,20.977011494252874,12.931034482758621,82.47126436781609,0.0,52.87356321839081,29.597701149425287
gRNA_11118,26,0,26,22,2,2,1,0,2,25,0,23,2,0.0,7.6923076923076925,3.8461538461538463,96.15384615384616,0.0,88.46153846153845,7.6923076923076925
gRNA_11120,64,0,64,47,7,10,2,0,7,62,0,52,10,0.0,10.9375,3.125,96.875,0.0,81.25,15.625
gRNA_11149,1292,0,1292,1213,36,43,102,0,36,1190,0,1145,45,0.0,2.786377708978328,7.894736842105263,92.10526315789474,0.0,88.62229102167183,3.48297213622291
gRNA_11151,1572,0,1572,389,488,695,39,83,488,1450,1,754,695,5.2798982188295165,31.043256997455472,2.480916030534351,92.23918575063614,0.06361323155216285,47.96437659033079,44.211195928753185
gRNA_1116,439,0,439,305,60,74,56,10,60,373,1,298,74,2.277904328018223,13.66742596810934,12.756264236902052,84.96583143507974,0.22779043280182232,67.88154897494306,16.856492027334852
gRNA_11160,344,0,344,106,85,153,0,1,85,343,0,188,155,0.29069767441860467,24.709302325581394,0.0,99.70930232558139,0.0,54.65116279069767,45.05813953488372
gRNA_11163,201,0,201,50,55,96,4,9,55,188,0,91,97,4.477611940298507,27.363184079601986,1.9900497512437811,93.53233830845771,0.0,45.27363184079602,48.258706467661696
gRNA_11165,134,0,134,124,3,7,3,0,3,131,0,124,7,0.0,2.2388059701492535,2.2388059701492535,97.76119402985076,0.0,92.53731343283582,5.223880597014925
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,53,0,53,53,0,0,22,0,0,31,0,31,0,0.0,0.0,41.509433962264154,58.490566037735846,0.0,58.490566037735846,0.0
gRNA_1128,2969,0,2969,1096,748,1125,213,143,748,2613,0,1485,1128,4.816436510609632,25.193667901650386,7.174132704614348,88.00943078477601,0.0,50.01684068710003,37.992590097675986
gRNA_11284,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_11285,2,0,2,2,0,0,0,0,0,2,0,1,1,0.0,0.0,0.0,100.0,0.0,50.0,50.0
gRNA_11305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11371,50,0,50,46,4,0,10,0,4,40,0,40,0,0.0,8.0,20.0,80.0,0.0,80.0,0.0
gRNA_11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11380,116,0,116,19,37,60,0,0,37,116,0,56,60,0.0,31.896551724137932,0.0,100.0,0.0,48.275862068965516,51.724137931034484
gRNA_11386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11401,549,0,549,479,29,41,35,0,29,514,0,473,41,0.0,5.2823315118397085,6.375227686703097,93.6247723132969,0.0,86.15664845173042,7.468123861566485
gRNA_11407,8004,0,8004,6868,467,669,451,19,467,7534,0,6860,674,0.23738130934532736,5.8345827086456765,5.634682658670664,94.127936031984,0.0,85.70714642678661,8.4207896051974
gRNA_1141,1352,0,1352,1024,139,189,356,26,139,970,0,781,189,1.9230769230769231,10.281065088757396,26.331360946745562,71.7455621301775,0.0,57.76627218934911,13.979289940828401
gRNA_11411,697,0,697,638,26,33,39,0,26,658,0,625,33,0.0,3.7302725968436152,5.5954088952654235,94.40459110473458,0.0,89.6700143472023,4.734576757532281
gRNA_11416,33,0,33,8,11,14,1,3,11,29,0,15,14,9.090909090909092,33.33333333333333,3.0303030303030303,87.87878787878788,0.0,45.45454545454545,42.42424242424242
gRNA_11422,77,0,77,32,14,31,6,4,14,67,0,36,31,5.194805194805195,18.181818181818183,7.792207792207792,87.01298701298701,0.0,46.75324675324675,40.25974025974026
gRNA_11423,1438,0,1438,671,298,469,188,97,298,1153,27,550,576,6.7454798331015295,20.723226703755216,13.073713490959666,80.18080667593881,1.8776077885952713,38.24756606397774,40.055632823365784
gRNA_11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11432,1381,0,1381,1368,6,7,1006,2,6,373,0,366,7,0.1448225923244026,0.4344677769732078,72.84576393917452,27.009413468501087,0.0,26.50253439536568,0.5068790731354091
gRNA_11467,383,0,383,135,71,177,22,9,71,352,0,175,177,2.3498694516971277,18.5378590078329,5.7441253263707575,91.90600522193212,0.0,45.69190600522193,46.21409921671018
gRNA_1147,50,0,50,15,15,20,5,6,15,39,0,19,20,12.0,30.0,10.0,78.0,0.0,38.0,40.0
gRNA_11474,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_11478,18,0,18,11,5,2,0,0,5,18,0,15,3,0.0,27.77777777777778,0.0,100.0,0.0,83.33333333333334,16.666666666666664
gRNA_11482,7,0,7,5,1,1,0,0,1,7,0,6,1,0.0,14.285714285714285,0.0,100.0,0.0,85.71428571428571,14.285714285714285
gRNA_1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11495,66,0,66,29,15,22,5,5,15,56,0,34,22,7.575757575757576,22.727272727272727,7.575757575757576,84.84848484848484,0.0,51.515151515151516,33.33333333333333
gRNA_11507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11516,13,0,13,12,1,0,0,0,1,13,0,13,0,0.0,7.6923076923076925,0.0,100.0,0.0,100.0,0.0
gRNA_11519,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11523,3,0,3,1,1,1,0,0,1,3,0,2,1,0.0,33.33333333333333,0.0,100.0,0.0,66.66666666666666,33.33333333333333
gRNA_11534,251,0,251,149,32,70,0,0,32,251,0,181,70,0.0,12.749003984063744,0.0,100.0,0.0,72.11155378486056,27.88844621513944
gRNA_11536,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_1154,859,0,859,817,21,21,136,1,21,722,0,701,21,0.11641443538998836,2.4447031431897557,15.832363213038416,84.0512223515716,0.0,81.60651920838184,2.4447031431897557
gRNA_11541,36,0,36,11,8,17,0,0,8,36,0,19,17,0.0,22.22222222222222,0.0,100.0,0.0,52.77777777777778,47.22222222222222
gRNA_1157,151,0,151,106,17,28,23,2,17,126,0,98,28,1.3245033112582782,11.258278145695364,15.2317880794702,83.44370860927152,0.0,64.90066225165563,18.543046357615893
gRNA_11607,10,0,10,6,2,2,0,0,2,10,0,8,2,0.0,20.0,0.0,100.0,0.0,80.0,20.0
gRNA_11608,23,0,23,16,0,7,1,0,0,22,0,15,7,0.0,0.0,4.3478260869565215,95.65217391304348,0.0,65.21739130434783,30.434782608695656
gRNA_11670,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11817,255,0,255,180,22,53,27,7,22,221,0,168,53,2.7450980392156863,8.627450980392156,10.588235294117647,86.66666666666667,0.0,65.88235294117646,20.784313725490197
gRNA_11821,171,0,171,33,33,105,1,0,33,170,0,65,105,0.0,19.298245614035086,0.5847953216374269,99.41520467836257,0.0,38.01169590643275,61.40350877192983
gRNA_11827,85,0,85,29,27,29,0,0,27,85,0,56,29,0.0,31.76470588235294,0.0,100.0,0.0,65.88235294117646,34.11764705882353
gRNA_11829,259,0,259,194,27,38,17,1,27,241,0,203,38,0.3861003861003861,10.424710424710424,6.563706563706563,93.05019305019306,0.0,78.37837837837837,14.671814671814673
gRNA_11835,187,0,187,149,14,24,1,0,14,186,0,162,24,0.0,7.4866310160427805,0.53475935828877,99.46524064171123,0.0,86.63101604278076,12.834224598930483
gRNA_11839,366,0,366,198,57,111,7,2,57,357,0,246,111,0.546448087431694,15.573770491803279,1.912568306010929,97.54098360655738,0.0,67.21311475409836,30.327868852459016
gRNA_11848,2,0,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11850,66,0,66,22,21,23,1,1,21,64,0,41,23,1.5151515151515151,31.818181818181817,1.5151515151515151,96.96969696969697,0.0,62.121212121212125,34.84848484848485
gRNA_11863,705,0,705,583,53,69,5,0,53,700,0,630,70,0.0,7.5177304964539005,0.7092198581560284,99.29078014184397,0.0,89.36170212765957,9.929078014184398
gRNA_11866,43,1,42,34,4,4,0,0,4,42,0,11,31,0.0,9.523809523809524,0.0,100.0,0.0,26.190476190476193,73.80952380952381
gRNA_11872,50,0,50,11,14,25,0,1,14,49,0,24,25,2.0,28.000000000000004,0.0,98.0,0.0,48.0,50.0
gRNA_11948,1050,0,1050,512,177,361,148,43,177,859,0,497,362,4.095238095238096,16.857142857142858,14.095238095238095,81.80952380952381,0.0,47.333333333333336,34.476190476190474
gRNA_11970,2561,0,2561,1411,430,720,148,40,430,2373,0,1653,720,1.5618898867629831,16.79031628270207,5.778992581023038,92.65911753221397,0.0,64.54509957048028,28.1140179617337
gRNA_11971,136,0,136,127,2,7,24,0,2,112,0,105,7,0.0,1.4705882352941175,17.647058823529413,82.35294117647058,0.0,77.20588235294117,5.147058823529411
gRNA_11980,509,0,509,493,7,9,117,0,7,392,0,383,9,0.0,1.37524557956778,22.98624754420432,77.01375245579568,0.0,75.24557956777997,1.768172888015717
gRNA_11982,13,0,13,9,2,2,0,0,2,13,0,11,2,0.0,15.384615384615385,0.0,100.0,0.0,84.61538461538461,15.384615384615385
gRNA_11983,111,0,111,64,18,29,1,0,18,110,0,81,29,0.0,16.216216216216218,0.9009009009009009,99.09909909909909,0.0,72.97297297297297,26.126126126126124
gRNA_11986,351,0,351,298,26,27,23,2,26,326,0,299,27,0.5698005698005698,7.4074074074074066,6.552706552706552,92.87749287749287,0.0,85.18518518518519,7.6923076923076925
gRNA_12024,10,0,10,8,2,0,0,0,2,10,0,10,0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
gRNA_12026,4,0,4,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_12164,2,0,2,0,2,0,0,0,2,2,0,2,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_12197,3,0,3,3,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_12271,157,0,157,106,15,36,0,1,15,156,0,120,36,0.6369426751592357,9.554140127388536,0.0,99.36305732484077,0.0,76.43312101910828,22.929936305732486
gRNA_12272,36,0,36,27,3,6,0,0,3,36,0,30,6,0.0,8.333333333333332,0.0,100.0,0.0,83.33333333333334,16.666666666666664
gRNA_12349,43,0,43,11,3,29,0,0,3,43,0,14,29,0.0,6.976744186046512,0.0,100.0,0.0,32.55813953488372,67.44186046511628
gRNA_12351,183,0,183,163,7,13,42,0,7,141,0,128,13,0.0,3.825136612021858,22.950819672131146,77.04918032786885,0.0,69.94535519125684,7.103825136612022
gRNA_12364,8,0,8,7,1,0,0,0,1,8,0,8,0,0.0,12.5,0.0,100.0,0.0,100.0,0.0
gRNA_12371,168,0,168,91,28,49,9,5,28,154,0,105,49,2.976190476190476,16.666666666666664,5.357142857142857,91.66666666666666,0.0,62.5,29.166666666666668
gRNA_12377,297,0,297,172,39,86,80,17,39,200,0,114,86,5.723905723905724,13.131313131313133,26.936026936026934,67.34006734006735,0.0,38.38383838383838,28.95622895622896
gRNA_12386,483,0,483,473,1,9,11,0,1,472,0,463,9,0.0,0.2070393374741201,2.2774327122153206,97.72256728778468,0.0,95.8592132505176,1.8633540372670807
gRNA_12496,3,1,2,1,1,0,0,0,1,2,0,2,0,0.0,50.0,0.0,100.0,0.0,100.0,0.0
gRNA_12497,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_12503,124,0,124,38,39,47,5,1,39,118,0,71,47,0.8064516129032258,31.451612903225808,4.032258064516129,95.16129032258065,0.0,57.25806451612904,37.903225806451616
gRNA_12504,199,0,199,65,44,90,7,8,44,184,0,94,90,4.0201005025125625,22.110552763819097,3.5175879396984926,92.46231155778895,0.0,47.23618090452261,45.22613065326633
gRNA_12505,26,0,26,20,2,4,2,0,2,24,0,20,4,0.0,7.6923076923076925,7.6923076923076925,92.3076923076923,0.0,76.92307692307693,15.384615384615385
gRNA_12506,80,0,80,65,5,10,3,0,5,77,0,67,10,0.0,6.25,3.75,96.25,0.0,83.75,12.5
gRNA_12507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_12511,12,0,12,6,3,3,0,1,3,11,0,8,3,8.333333333333332,25.0,0.0,91.66666666666666,0.0,66.66666666666666,25.0
gRNA_12512,123,0,123,35,26,62,0,1,26,122,0,60,62,0.8130081300813009,21.138211382113823,0.0,99.1869918699187,0.0,48.78048780487805,50.40650406504065
gRNA_12513,585,0,585,149,168,268,3,0,168,582,0,313,269,0.0,28.717948717948715,0.5128205128205128,99.48717948717949,0.0,53.504273504273506,45.98290598290598
gRNA_12514,1219,7,1212,1076,34,102,81,0,34,1131,0,1023,108,0.0,2.8052805280528053,6.683168316831684,93.31683168316832,0.0,84.4059405940594,8.91089108910891
gRNA_12515,2547,0,2547,2391,55,101,695,7,55,1845,0,1744,101,0.27483313702394974,2.159403219473891,27.28700431880644,72.43816254416961,0.0,68.47271299568119,3.965449548488418
gRNA_12516,13128,0,13128,12042,429,657,1194,31,429,11903,0,11246,657,0.23613650213284584,3.2678244972577692,9.095063985374772,90.66879951249238,0.0,85.66422912858013,5.004570383912248
gRNA_12517,1635,0,1635,1381,108,146,35,1,108,1599,0,1453,146,0.06116207951070336,6.605504587155964,2.1406727828746175,97.79816513761467,0.0,88.868501529052,8.929663608562691
gRNA_12518,18,0,18,17,0,1,1,0,0,17,0,16,1,0.0,0.0,5.555555555555555,94.44444444444444,0.0,88.88888888888889,5.555555555555555
gRNA_12519,416,0,416,367,27,22,146,6,27,264,0,242,22,1.4423076923076923,6.490384615384616,35.09615384615385,63.46153846153846,0.0,58.17307692307693,5.288461538461538
gRNA_12520,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_12523,56,0,56,54,1,1,8,0,1,48,0,47,1,0.0,1.7857142857142856,14.285714285714285,85.71428571428571,0.0,83.92857142857143,1.7857142857142856
gRNA_12524,97,18,79,48,6,25,5,0,6,74,0,49,25,0.0,7.59493670886076,6.329113924050633,93.67088607594937,0.0,62.0253164556962,31.645569620253166
gRNA_12525,307,0,307,284,11,12,30,2,11,275,0,263,12,0.6514657980456027,3.5830618892508146,9.77198697068404,89.57654723127035,0.0,85.66775244299674,3.908794788273615
gRNA_12526,121,0,121,113,2,6,7,0,2,114,0,108,6,0.0,1.6528925619834711,5.785123966942149,94.21487603305785,0.0,89.25619834710744,4.958677685950414
gRNA_12527,1001,0,1001,588,143,270,101,19,143,881,0,611,270,1.898101898101898,14.285714285714285,10.08991008991009,88.01198801198801,0.0,61.038961038961034,26.973026973026975
gRNA_12531,471,0,471,157,125,189,3,7,125,461,0,272,189,1.48619957537155,26.53927813163482,0.6369426751592357,97.87685774946921,0.0,57.74946921443737,40.12738853503185
gRNA_12532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_12533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_12536,10,0,10,8,2,0,0,0,2,10,0,10,0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
gRNA_12539,3243,0,3243,2321,311,611,75,3,311,3165,0,2552,613,0.09250693802035154,9.589885908109775,2.3126734505087883,97.59481961147087,0.0,78.69256860931236,18.902251002158497
gRNA_12540,86,0,86,49,20,17,17,7,20,62,0,45,17,8.13953488372093,23.25581395348837,19.767441860465116,72.09302325581395,0.0,52.32558139534884,19.767441860465116
gRNA_12541,83,0,83,34,24,25,6,8,24,69,0,44,25,9.63855421686747,28.915662650602407,7.228915662650602,83.13253012048193,0.0,53.01204819277109,30.120481927710845
gRNA_12542,178,0,178,96,42,40,10,4,42,164,0,124,40,2.247191011235955,23.595505617977526,5.617977528089887,92.13483146067416,0.0,69.66292134831461,22.47191011235955
gRNA_12543,105,0,105,70,17,18,12,0,17,93,1,72,20,0.0,16.19047619047619,11.428571428571429,88.57142857142857,0.9523809523809524,68.57142857142857,19.047619047619047
gRNA_12544,177,0,177,105,32,40,18,3,32,156,0,116,40,1.694915254237288,18.07909604519774,10.16949152542373,88.13559322033898,0.0,65.5367231638418,22.598870056497177
gRNA_12545,4,0,4,1,0,3,0,0,0,4,0,1,3,0.0,0.0,0.0,100.0,0.0,25.0,75.0
