Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,981,23,958,957,0,1,143,0,0,815,6,499,310,0.0,0.0,14.926931106471816,85.07306889352819,0.6263048016701461,52.087682672233825,32.35908141962422
gRNA_1004,1148,0,1148,598,252,298,423,156,252,569,0,271,298,13.588850174216027,21.951219512195124,36.846689895470384,49.56445993031359,0.0,23.606271777003485,25.958188153310104
gRNA_10049,106,0,106,106,0,0,4,0,0,102,3,98,1,0.0,0.0,3.7735849056603774,96.22641509433963,2.8301886792452833,92.45283018867924,0.9433962264150944
gRNA_1006,460,0,460,248,193,19,69,61,193,330,7,275,48,13.260869565217392,41.95652173913044,15.0,71.73913043478261,1.5217391304347827,59.78260869565217,10.434782608695652
gRNA_10106,298,1,297,297,0,0,1,0,0,296,0,295,1,0.0,0.0,0.33670033670033667,99.66329966329967,0.0,99.32659932659934,0.33670033670033667
gRNA_10107,429,40,389,389,0,0,1,0,0,388,1,375,12,0.0,0.0,0.2570694087403599,99.74293059125964,0.2570694087403599,96.40102827763496,3.0848329048843186
gRNA_1019,3248,133,3115,599,2448,68,194,1813,2448,1108,33,989,86,58.20224719101124,78.58747993579455,6.22792937399679,35.569823434991974,1.059390048154093,31.749598715890855,2.7608346709470304
gRNA_1023,3580,8,3572,593,2878,101,121,16,2878,3435,23,3284,128,0.4479283314669653,80.57110862262039,3.387458006718925,96.16461366181412,0.6438969764837625,91.93729003359462,3.5834266517357225
gRNA_10271,5807,200,5607,5485,87,35,116,3,87,5488,83,4803,602,0.05350454788657035,1.5516318887105405,2.0688425182807206,97.8776529338327,1.4802924915284466,85.66078116639915,10.736579275905118
gRNA_10272,5128,1112,4016,575,3348,93,5,28,3348,3983,147,3472,364,0.697211155378486,83.36653386454184,0.12450199203187251,99.17828685258964,3.660358565737052,86.45418326693228,9.063745019920319
gRNA_10278,1448,22,1426,33,1376,17,0,18,1376,1408,2,1361,45,1.262272089761571,96.4936886395512,0.0,98.73772791023842,0.1402524544179523,95.44179523141655,3.155680224403927
gRNA_1032,2535,11,2524,201,2277,46,23,63,2277,2438,72,2104,262,2.496038034865293,90.21394611727416,0.9112519809825673,96.59270998415214,2.8526148969889067,83.35974643423137,10.380348652931854
gRNA_1034,2440,10,2430,1152,1251,27,844,1030,1251,556,0,529,27,42.38683127572017,51.48148148148148,34.732510288065846,22.88065843621399,0.0,21.76954732510288,1.1111111111111112
gRNA_10342,353,0,353,353,0,0,2,0,0,351,0,351,0,0.0,0.0,0.56657223796034,99.43342776203966,0.0,99.43342776203966,0.0
gRNA_10343,530,17,513,497,4,12,8,0,4,505,0,486,19,0.0,0.7797270955165692,1.5594541910331383,98.44054580896686,0.0,94.73684210526315,3.7037037037037033
gRNA_1036,30,0,30,30,0,0,1,0,0,29,0,29,0,0.0,0.0,3.3333333333333335,96.66666666666667,0.0,96.66666666666667,0.0
gRNA_10363,1480,0,1480,1475,0,5,0,0,0,1480,4,1466,10,0.0,0.0,0.0,100.0,0.2702702702702703,99.05405405405405,0.6756756756756757
gRNA_10424,3774,92,3682,582,2926,174,95,4,2926,3583,52,3323,208,0.10863661053775121,79.46768060836501,2.5801195002715915,97.31124388919066,1.4122759369907658,90.24986420423683,5.649103747963063
gRNA_10425,1835,42,1793,620,1064,109,260,537,1064,996,14,718,264,29.949804796430563,59.34188510875627,14.500836586726157,55.54935861684328,0.7808142777467931,40.04461795872839,14.723926380368098
gRNA_10429,972,52,920,516,369,35,354,329,369,237,7,194,36,35.76086956521739,40.108695652173914,38.47826086956522,25.76086956521739,0.7608695652173914,21.086956521739133,3.91304347826087
gRNA_10432,2679,0,2679,2624,31,24,1389,5,31,1285,1,1260,24,0.1866368047779022,1.1571481896229938,51.847704367301226,47.96565882792086,0.03732736095558044,47.03247480403135,0.8958566629339306
gRNA_10438,534,196,338,12,299,27,0,6,299,332,29,247,56,1.7751479289940828,88.46153846153845,0.0,98.22485207100591,8.579881656804734,73.07692307692307,16.56804733727811
gRNA_10461,2284,3,2281,1273,844,164,705,477,844,1099,10,769,320,20.91188075405524,37.00131521262604,30.907496711968435,48.180622533976326,0.4384042086804033,33.71328364752302,14.028934677772906
gRNA_10465,1218,41,1177,117,1054,6,3,366,1054,808,27,771,10,31.096006796941378,89.54970263381479,0.2548853016142736,68.64910790144435,2.2939677145284625,65.5055225148683,0.8496176720475787
gRNA_10473,2410,0,2410,501,1781,128,96,34,1781,2280,44,2062,174,1.4107883817427387,73.90041493775934,3.9834024896265556,94.6058091286307,1.8257261410788383,85.56016597510373,7.219917012448132
gRNA_10504,1468,0,1468,1464,2,2,169,0,2,1299,0,1297,2,0.0,0.13623978201634876,11.512261580381471,88.48773841961854,0.0,88.35149863760218,0.13623978201634876
gRNA_1052,1005,52,953,582,259,112,21,10,259,922,6,787,129,1.049317943336831,27.177334732423926,2.2035676810073452,96.74711437565581,0.6295907660020986,82.5813221406086,13.53620146904512
gRNA_10547,1397,0,1397,1396,0,1,3,0,0,1394,0,1393,1,0.0,0.0,0.21474588403722264,99.78525411596277,0.0,99.71367215461704,0.07158196134574087
gRNA_10548,447,1,446,444,0,2,0,0,0,446,6,378,62,0.0,0.0,0.0,100.0,1.345291479820628,84.75336322869956,13.901345291479823
gRNA_1055,2890,37,2853,1477,821,555,211,451,821,2191,96,1537,558,15.807921486154925,28.776726253066947,7.3957237995092875,76.79635471433579,3.3648790746582544,53.87311601822643,19.558359621451103
gRNA_10596,315,0,315,308,0,7,3,0,0,312,0,263,49,0.0,0.0,0.9523809523809524,99.04761904761905,0.0,83.4920634920635,15.555555555555555
gRNA_10598,297,21,276,263,0,13,2,0,0,274,0,218,56,0.0,0.0,0.7246376811594203,99.27536231884058,0.0,78.98550724637681,20.28985507246377
gRNA_10617,259,0,259,254,4,1,16,1,4,242,0,241,1,0.3861003861003861,1.5444015444015444,6.177606177606178,93.43629343629344,0.0,93.05019305019306,0.3861003861003861
gRNA_1062,624,0,624,385,139,100,128,63,139,433,21,308,104,10.096153846153847,22.275641025641026,20.51282051282051,69.39102564102564,3.3653846153846154,49.358974358974365,16.666666666666664
gRNA_10634,257,0,257,202,11,44,8,0,11,249,3,195,51,0.0,4.280155642023346,3.11284046692607,96.88715953307393,1.1673151750972763,75.87548638132296,19.844357976653697
gRNA_10657,122,1,121,121,0,0,0,0,0,121,0,118,3,0.0,0.0,0.0,100.0,0.0,97.52066115702479,2.479338842975207
gRNA_10664,883,58,825,792,6,27,19,0,6,806,79,631,96,0.0,0.7272727272727273,2.3030303030303028,97.69696969696969,9.575757575757576,76.48484848484848,11.636363636363637
gRNA_10738,85,0,85,84,0,1,69,0,0,16,0,15,1,0.0,0.0,81.17647058823529,18.823529411764707,0.0,17.647058823529413,1.1764705882352942
gRNA_10745,1649,50,1599,719,722,158,23,1,722,1575,20,1369,186,0.06253908692933083,45.15322076297686,1.4383989993746091,98.49906191369607,1.2507817385866167,85.6160100062539,11.632270168855536
gRNA_10750,1254,32,1222,565,642,15,161,33,642,1028,127,758,143,2.7004909983633385,52.53682487725041,13.175122749590834,84.12438625204582,10.39279869067103,62.02945990180033,11.702127659574469
