Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,4,0,4,4,0,0,2,0,0,2,0,2,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_1004,50,0,50,24,14,12,15,9,14,26,0,14,12,18.0,28.000000000000004,30.0,52.0,0.0,28.000000000000004,24.0
gRNA_10049,4,0,4,4,0,0,2,0,0,2,0,2,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_1006,23,0,23,22,0,1,10,0,0,13,0,12,1,0.0,0.0,43.47826086956522,56.52173913043478,0.0,52.17391304347826,4.3478260869565215
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,3,0,3,3,0,0,0,0,0,3,1,2,0,0.0,0.0,0.0,100.0,33.33333333333333,66.66666666666666,0.0
gRNA_1019,108,0,108,108,0,0,68,0,0,40,1,39,0,0.0,0.0,62.96296296296296,37.03703703703704,0.9259259259259258,36.11111111111111,0.0
gRNA_1023,47,0,47,46,0,1,5,0,0,42,0,38,4,0.0,0.0,10.638297872340425,89.36170212765957,0.0,80.85106382978722,8.51063829787234
gRNA_10271,57,0,57,55,1,1,18,0,1,39,2,33,4,0.0,1.7543859649122806,31.57894736842105,68.42105263157895,3.508771929824561,57.89473684210527,7.017543859649122
gRNA_10272,17,15,2,2,0,0,0,0,0,2,0,2,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10278,52,0,52,22,13,17,2,0,13,50,0,33,17,0.0,25.0,3.8461538461538463,96.15384615384616,0.0,63.46153846153846,32.69230769230769
gRNA_1032,39,0,39,27,3,9,8,2,3,29,0,20,9,5.128205128205128,7.6923076923076925,20.51282051282051,74.35897435897436,0.0,51.28205128205128,23.076923076923077
gRNA_1034,90,0,90,86,1,3,65,0,1,25,0,20,5,0.0,1.1111111111111112,72.22222222222221,27.77777777777778,0.0,22.22222222222222,5.555555555555555
gRNA_10342,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10343,3,0,3,3,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10363,2,0,2,2,0,0,0,0,0,2,0,1,1,0.0,0.0,0.0,100.0,0.0,50.0,50.0
gRNA_10424,87,0,87,62,4,21,21,0,4,66,0,45,21,0.0,4.597701149425287,24.137931034482758,75.86206896551724,0.0,51.724137931034484,24.137931034482758
gRNA_10425,35,1,34,28,4,2,16,1,4,17,0,13,4,2.941176470588235,11.76470588235294,47.05882352941176,50.0,0.0,38.23529411764706,11.76470588235294
gRNA_10429,34,1,33,28,2,3,20,1,2,12,0,9,3,3.0303030303030303,6.0606060606060606,60.60606060606061,36.36363636363637,0.0,27.27272727272727,9.090909090909092
gRNA_10432,126,0,126,125,0,1,71,0,0,55,0,54,1,0.0,0.0,56.34920634920635,43.65079365079365,0.0,42.857142857142854,0.7936507936507936
gRNA_10438,17,10,7,4,3,0,0,0,3,7,0,1,6,0.0,42.857142857142854,0.0,100.0,0.0,14.285714285714285,85.71428571428571
gRNA_10461,114,1,113,73,30,10,31,2,30,80,2,44,34,1.7699115044247788,26.548672566371685,27.43362831858407,70.79646017699115,1.7699115044247788,38.93805309734513,30.08849557522124
gRNA_10465,11,4,7,7,0,0,0,0,0,7,6,1,0,0.0,0.0,0.0,100.0,85.71428571428571,14.285714285714285,0.0
gRNA_10473,54,0,54,32,13,9,17,7,13,30,0,21,9,12.962962962962962,24.074074074074073,31.48148148148148,55.55555555555556,0.0,38.88888888888889,16.666666666666664
gRNA_10504,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_1052,14,1,13,7,4,2,3,0,4,10,0,8,2,0.0,30.76923076923077,23.076923076923077,76.92307692307693,0.0,61.53846153846154,15.384615384615385
gRNA_10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1055,46,1,45,24,7,14,22,4,7,19,0,5,14,8.88888888888889,15.555555555555555,48.888888888888886,42.22222222222222,0.0,11.11111111111111,31.11111111111111
gRNA_10596,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10617,36,0,36,36,0,0,11,0,0,25,0,25,0,0.0,0.0,30.555555555555557,69.44444444444444,0.0,69.44444444444444,0.0
gRNA_1062,24,0,24,13,4,7,8,2,4,14,0,7,7,8.333333333333332,16.666666666666664,33.33333333333333,58.333333333333336,0.0,29.166666666666668,29.166666666666668
gRNA_10634,10,0,10,8,1,1,2,0,1,8,0,7,1,0.0,10.0,20.0,80.0,0.0,70.0,10.0
gRNA_10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10664,5,0,5,5,0,0,1,0,0,4,0,4,0,0.0,0.0,20.0,80.0,0.0,80.0,0.0
gRNA_10738,9,0,9,9,0,0,6,0,0,3,0,1,2,0.0,0.0,66.66666666666666,33.33333333333333,0.0,11.11111111111111,22.22222222222222
gRNA_10745,8,0,8,8,0,0,5,0,0,3,0,3,0,0.0,0.0,62.5,37.5,0.0,37.5,0.0
gRNA_10750,33,0,33,31,2,0,19,0,2,14,0,14,0,0.0,6.0606060606060606,57.57575757575758,42.42424242424242,0.0,42.42424242424242,0.0
gRNA_10752,21,0,21,21,0,0,19,0,0,2,0,1,1,0.0,0.0,90.47619047619048,9.523809523809524,0.0,4.761904761904762,4.761904761904762
gRNA_10775,55,0,55,49,3,3,15,0,3,40,0,37,3,0.0,5.454545454545454,27.27272727272727,72.72727272727273,0.0,67.27272727272727,5.454545454545454
gRNA_10777,53,0,53,48,1,4,44,1,1,8,0,4,4,1.8867924528301887,1.8867924528301887,83.01886792452831,15.09433962264151,0.0,7.547169811320755,7.547169811320755
gRNA_10781,58,0,58,19,18,21,8,10,18,40,0,19,21,17.24137931034483,31.03448275862069,13.793103448275861,68.96551724137932,0.0,32.758620689655174,36.206896551724135
gRNA_10784,47,0,47,31,7,9,4,0,7,43,0,34,9,0.0,14.893617021276595,8.51063829787234,91.48936170212765,0.0,72.3404255319149,19.148936170212767
gRNA_10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10912,7,3,4,4,0,0,0,0,0,4,0,0,4,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10925,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10942,34,3,31,24,5,2,21,2,5,8,0,6,2,6.451612903225806,16.129032258064516,67.74193548387096,25.806451612903224,0.0,19.35483870967742,6.451612903225806
gRNA_10945,3,0,3,2,1,0,0,0,1,3,3,0,0,0.0,33.33333333333333,0.0,100.0,100.0,0.0,0.0
gRNA_10946,1,0,1,0,1,0,0,0,1,1,0,0,1,0.0,100.0,0.0,100.0,0.0,0.0,100.0
gRNA_10949,4,0,4,3,0,1,0,0,0,4,0,3,1,0.0,0.0,0.0,100.0,0.0,75.0,25.0
gRNA_10961,5,0,5,5,0,0,2,0,0,3,0,3,0,0.0,0.0,40.0,60.0,0.0,60.0,0.0
gRNA_10969,5,0,5,5,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10974,2,0,2,1,0,1,0,0,0,2,0,1,1,0.0,0.0,0.0,100.0,0.0,50.0,50.0
gRNA_11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11077,6,0,6,6,0,0,3,0,0,3,0,3,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_11100,103,1,102,77,13,12,65,11,13,26,1,10,15,10.784313725490197,12.745098039215685,63.725490196078425,25.49019607843137,0.9803921568627451,9.803921568627452,14.705882352941178
gRNA_11101,2,0,2,1,0,1,1,0,0,1,0,0,1,0.0,0.0,50.0,50.0,0.0,0.0,50.0
gRNA_11110,114,1,113,75,12,26,55,8,12,50,0,24,26,7.079646017699115,10.619469026548673,48.67256637168141,44.24778761061947,0.0,21.238938053097346,23.008849557522122
gRNA_11118,5,0,5,5,0,0,2,0,0,3,0,3,0,0.0,0.0,40.0,60.0,0.0,60.0,0.0
gRNA_11120,7,0,7,5,1,1,2,0,1,5,0,4,1,0.0,14.285714285714285,28.57142857142857,71.42857142857143,0.0,57.14285714285714,14.285714285714285
gRNA_11149,92,2,90,88,2,0,30,0,2,60,1,57,2,0.0,2.2222222222222223,33.33333333333333,66.66666666666666,1.1111111111111112,63.33333333333333,2.2222222222222223
gRNA_11151,157,0,157,55,39,63,32,24,39,101,0,38,63,15.286624203821656,24.840764331210192,20.382165605095544,64.3312101910828,0.0,24.203821656050955,40.12738853503185
gRNA_1116,69,0,69,64,2,3,36,0,2,33,0,30,3,0.0,2.898550724637681,52.17391304347826,47.82608695652174,0.0,43.47826086956522,4.3478260869565215
gRNA_11160,17,0,17,10,2,5,2,0,2,15,0,9,6,0.0,11.76470588235294,11.76470588235294,88.23529411764706,0.0,52.94117647058824,35.294117647058826
gRNA_11163,16,0,16,3,1,12,2,0,1,14,0,2,12,0.0,6.25,12.5,87.5,0.0,12.5,75.0
gRNA_11165,14,0,14,13,0,1,3,0,0,11,0,10,1,0.0,0.0,21.428571428571427,78.57142857142857,0.0,71.42857142857143,7.142857142857142
gRNA_11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11223,26,0,26,26,0,0,22,0,0,4,0,4,0,0.0,0.0,84.61538461538461,15.384615384615385,0.0,15.384615384615385,0.0
gRNA_1128,52,0,52,28,9,15,19,4,9,29,0,14,15,7.6923076923076925,17.307692307692307,36.53846153846153,55.769230769230774,0.0,26.923076923076923,28.846153846153843
gRNA_11284,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11305,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_11324,4,0,4,4,0,0,2,0,0,2,0,2,0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
gRNA_11361,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_11371,34,0,34,30,2,2,6,1,2,27,0,24,3,2.941176470588235,5.88235294117647,17.647058823529413,79.41176470588235,0.0,70.58823529411765,8.823529411764707
