Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1000,4,0,4,4,0,0,1,0,0,3,0,3,0,0.0,0.0,25.0,75.0,0.0,75.0,0.0
gRNA_1004,396,0,396,161,160,75,107,120,160,169,0,94,75,30.303030303030305,40.4040404040404,27.02020202020202,42.676767676767675,0.0,23.737373737373737,18.939393939393938
gRNA_10049,25,0,25,14,11,0,1,0,11,24,0,24,0,0.0,44.0,4.0,96.0,0.0,96.0,0.0
gRNA_1006,45,0,45,25,19,1,2,0,19,43,0,42,1,0.0,42.22222222222222,4.444444444444445,95.55555555555556,0.0,93.33333333333333,2.2222222222222223
gRNA_10106,4,0,4,0,4,0,0,0,4,4,0,4,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10107,55,0,55,55,0,0,0,0,0,55,30,5,20,0.0,0.0,0.0,100.0,54.54545454545454,9.090909090909092,36.36363636363637
gRNA_1019,463,0,463,8,454,1,0,357,454,106,0,105,1,77.10583153347731,98.0561555075594,0.0,22.894168466522675,0.0,22.67818574514039,0.21598272138228944
gRNA_1023,447,0,447,9,438,0,0,0,438,447,0,447,0,0.0,97.98657718120806,0.0,100.0,0.0,100.0,0.0
gRNA_10271,2932,0,2932,2703,183,46,25,65,183,2842,443,1684,715,2.2169167803547065,6.241473396998636,0.8526603001364257,96.93042291950886,15.109140518417464,57.43519781718963,24.386084583901773
gRNA_10272,35,0,35,3,32,0,0,0,32,35,0,35,0,0.0,91.42857142857143,0.0,100.0,0.0,100.0,0.0
gRNA_10278,90,0,90,0,90,0,0,0,90,90,0,90,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1032,384,1,383,0,383,0,0,0,383,383,0,383,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1034,318,0,318,190,128,0,134,116,128,68,0,68,0,36.477987421383645,40.25157232704403,42.138364779874216,21.38364779874214,0.0,21.38364779874214,0.0
gRNA_10342,128,0,128,128,0,0,1,0,0,127,0,127,0,0.0,0.0,0.78125,99.21875,0.0,99.21875,0.0
gRNA_10343,82,0,82,78,1,3,3,0,1,79,0,76,3,0.0,1.2195121951219512,3.6585365853658534,96.34146341463415,0.0,92.6829268292683,3.6585365853658534
gRNA_1036,96,0,96,96,0,0,0,0,0,96,0,96,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10363,479,0,479,478,0,1,0,0,0,479,0,408,71,0.0,0.0,0.0,100.0,0.0,85.17745302713988,14.822546972860126
gRNA_10424,1049,0,1049,12,1034,3,0,0,1034,1049,0,1034,15,0.0,98.57006673021925,0.0,100.0,0.0,98.57006673021925,1.4299332697807436
gRNA_10425,988,0,988,783,124,81,306,27,124,655,0,530,125,2.7327935222672064,12.550607287449392,30.971659919028337,66.29554655870446,0.0,53.64372469635627,12.651821862348179
gRNA_10429,234,1,233,214,8,11,147,6,8,80,0,69,11,2.575107296137339,3.4334763948497855,63.0901287553648,34.33476394849785,0.0,29.613733905579398,4.721030042918455
gRNA_10432,287,0,287,254,27,6,129,23,27,135,0,129,6,8.013937282229964,9.40766550522648,44.94773519163763,47.038327526132406,0.0,44.94773519163763,2.0905923344947737
gRNA_10438,91,1,90,48,39,3,11,3,39,76,21,13,42,3.3333333333333335,43.333333333333336,12.222222222222221,84.44444444444444,23.333333333333332,14.444444444444443,46.666666666666664
gRNA_10461,416,0,416,348,24,44,191,12,24,213,0,169,44,2.8846153846153846,5.769230769230769,45.91346153846153,51.20192307692307,0.0,40.625,10.576923076923077
